scene,config,n_clusters,seed,source,clustering,distance,weights,refine_variant,valid,invalid_reason,predicted,objective_unquantized,measured_train_clamped,measured_test_clamped,measured_train_raw,measured_test_raw,ratio_train_clamped,ratio_test_clamped,PSNR,SSIM,LPIPS,train_PSNR,train_SSIM,train_LPIPS,shn_only_PSNR,shn_only_SSIM,shn_only_LPIPS,size_bytes,zip_bytes,png_bytes,shN_bytes,meta_bytes,shN_centroids_bytes,shN_labels_bytes,file_bytes,kmeans_time_s,n_iters,refine_time_s,run3_PSNR,run3_size_bytes,run3_dPSNR,run3_size_equal,train_views,test_views,total_train_pixels,ckpt_sha1,gn_cache_key,gsplat_commit,timestamp
bicycle,upstream_l1,4096,0,recomputed,torchpq,manhattan,none,,True,,0.00022972731977300833,,0.00028155250223910205,0.0003023066444129993,0.00028939820289348945,0.0003033213921357871,0.8159306628286246,0.7599148878089625,25.1182861328125,0.758168637752533,0.23451390862464905,23.654497146606445,0.7560290098190308,0.2682351768016815,25.17469024658203,0.7605763077735901,0.23325473070144653,14385340,14387289,12620991,1763284,1065,97228,1665796,"{""means_l.png"": 3005217, ""means_u.png"": 1802661, ""meta.json"": 1065, ""opacities.png"": 502966, ""quats.png"": 3788627, ""scales.png"": 1695780, ""sh0.png"": 1825740, ""shN.npz"": 1763284}",99.04843364699991,100,,,,,,169,25,171702648,122a280de4da86448d1581e9fb27f90ae6f71b8c,"v1|122a280de4da86448d1581e9fb27f90ae6f71b8c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views169|seed0",cd3139c277dc,2026-09-20T10:51:10
bicycle,plain_l2,4096,0,recomputed,lloyd,euclidean,none,,True,,0.0002453333311403587,,0.00030694159871690735,0.00031559357536683385,0.00031473011182520826,0.00031640410409425053,0.7992834212303362,0.7773711199766746,25.12757682800293,0.7579488754272461,0.23505206406116486,23.658910751342773,0.7556657791137695,0.2687458395957947,25.183271408081055,0.7603100538253784,0.2337702512741089,14396759,14398655,12620991,1774704,1064,97316,1677128,"{""means_l.png"": 3005217, ""means_u.png"": 1802661, ""meta.json"": 1064, ""opacities.png"": 502966, ""quats.png"": 3788627, ""scales.png"": 1695780, ""sh0.png"": 1825740, ""shN.npz"": 1774704}",34.071331911000016,,,,,,,169,25,171702648,122a280de4da86448d1581e9fb27f90ae6f71b8c,"v1|122a280de4da86448d1581e9fb27f90ae6f71b8c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views169|seed0",cd3139c277dc,2026-09-20T10:53:15
bicycle,lloyd_wopa_area,4096,0,recomputed,lloyd,euclidean,opacity_area,,True,,0.00021215605025683615,,0.00025288851315653375,0.0002933743004922688,0.00025788195813342135,0.00029420590971198523,0.8389311464119966,0.7231582653996886,25.14873504638672,0.756718099117279,0.2347530722618103,23.693994522094727,0.7548021078109741,0.2684444487094879,25.20606231689453,0.7591322660446167,0.23344066739082336,14396171,14398981,12620991,1774115,1065,97931,1675924,"{""means_l.png"": 3005217, ""means_u.png"": 1802661, ""meta.json"": 1065, ""opacities.png"": 502966, ""quats.png"": 3788627, ""scales.png"": 1695780, ""sh0.png"": 1825740, ""shN.npz"": 1774115}",34.13606025099989,,,,,,,169,25,171702648,122a280de4da86448d1581e9fb27f90ae6f71b8c,"v1|122a280de4da86448d1581e9fb27f90ae6f71b8c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views169|seed0",cd3139c277dc,2026-09-20T10:55:20
bicycle,upstream_l1,16384,0,recomputed,torchpq,manhattan,none,,True,,0.00016520841657980385,,0.00018340907774383155,0.00020492034889932744,0.0001880322907326356,0.0002055533892494821,0.9007646655884249,0.8062079606401943,25.25277328491211,0.7615969777107239,0.2320195883512497,23.801734924316406,0.759960412979126,0.265497624874115,25.31191062927246,0.7640240788459778,0.23078271746635437,14891479,14888194,12620991,2269423,1065,397407,1871756,"{""means_l.png"": 3005217, ""means_u.png"": 1802661, ""meta.json"": 1065, ""opacities.png"": 502966, ""quats.png"": 3788627, ""scales.png"": 1695780, ""sh0.png"": 1825740, ""shN.npz"": 2269423}",105.3530034370001,100,,,,,,169,25,171702648,122a280de4da86448d1581e9fb27f90ae6f71b8c,"v1|122a280de4da86448d1581e9fb27f90ae6f71b8c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views169|seed0",cd3139c277dc,2026-09-20T10:58:36
bicycle,plain_l2,16384,0,recomputed,lloyd,euclidean,none,,True,,0.00017960265018758146,,0.00020264348675718931,0.0002164921928304484,0.0002067035764221688,0.00021700838674877404,0.8862986571228132,0.8296033581600887,25.237436294555664,0.7610697746276855,0.23228563368320465,23.792072296142578,0.7594746351242065,0.2658717930316925,25.295984268188477,0.7634755373001099,0.23102004826068878,14893593,14890840,12620991,2271537,1065,394044,1877233,"{""means_l.png"": 3005217, ""means_u.png"": 1802661, ""meta.json"": 1065, ""opacities.png"": 502966, ""quats.png"": 3788627, ""scales.png"": 1695780, ""sh0.png"": 1825740, ""shN.npz"": 2271537}",141.50844865699992,,,,,,,169,25,171702648,122a280de4da86448d1581e9fb27f90ae6f71b8c,"v1|122a280de4da86448d1581e9fb27f90ae6f71b8c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views169|seed0",cd3139c277dc,2026-09-20T11:02:29
bicycle,lloyd_wopa_area,16384,0,recomputed,lloyd,euclidean,opacity_area,,True,,0.00014589689441882317,,0.00016126385726423034,0.0001878774390488981,0.00016370755872562522,0.00018825794162810746,0.9047091945703094,0.7765535614994793,25.27816390991211,0.761086642742157,0.23146377503871918,23.843935012817383,0.7597612738609314,0.265178382396698,25.338232040405273,0.7635110020637512,0.2302016019821167,14909318,14909898,12620991,2287262,1065,399739,1887263,"{""means_l.png"": 3005217, ""means_u.png"": 1802661, ""meta.json"": 1065, ""opacities.png"": 502966, ""quats.png"": 3788627, ""scales.png"": 1695780, ""sh0.png"": 1825740, ""shN.npz"": 2287262}",141.85444005400018,,,,,,,169,25,171702648,122a280de4da86448d1581e9fb27f90ae6f71b8c,"v1|122a280de4da86448d1581e9fb27f90ae6f71b8c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views169|seed0",cd3139c277dc,2026-09-20T11:06:23
bicycle,upstream_l1,65536,0,run3_cache,torchpq,manhattan,none,,True,,0.00011883651022136095,,0.00012432232732121986,0.0001410741190874855,0.00012626349831580544,0.00014135127041563998,0.9558742406286778,0.8423693232326042,25.331127166748047,0.7639115452766418,0.22906319797039032,23.899019241333008,0.7628276944160461,0.26273202896118164,25.39175033569336,0.7663520574569702,0.22781123220920563,16238295,16241941,12620991,3616239,1065,1620307,1995672,"{""means_l.png"": 3005217, ""means_u.png"": 1802661, ""meta.json"": 1065, ""opacities.png"": 502966, ""quats.png"": 3788627, ""scales.png"": 1695780, ""sh0.png"": 1825740, ""shN.npz"": 3616239}",432.10415382600013,100,,25.331127166748047,16238295,0.0,True,169,25,171702648,122a280de4da86448d1581e9fb27f90ae6f71b8c,"v1|122a280de4da86448d1581e9fb27f90ae6f71b8c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views169|seed0",cd3139c277dc,2026-09-20T11:07:57
bicycle,plain_l2,65536,0,run3_cache,lloyd,euclidean,none,,True,,0.00012824891617495385,,0.00013701203185638563,0.00015018439535507782,0.00013913970104450084,0.00015049482704050218,0.936041269057179,0.8539430203233673,25.308584213256836,0.7636275887489319,0.22927415370941162,23.899463653564453,0.7626124620437622,0.2630939781665802,25.367910385131836,0.7660242915153503,0.2280513346195221,16246985,16250586,12620991,3624929,1065,1625147,1999522,"{""means_l.png"": 3005217, ""means_u.png"": 1802661, ""meta.json"": 1065, ""opacities.png"": 502966, ""quats.png"": 3788627, ""scales.png"": 1695780, ""sh0.png"": 1825740, ""shN.npz"": 3624929}",281.3446301280003,39,,25.30858421325684,16246985,-3.552713678800501e-15,True,169,25,171702648,122a280de4da86448d1581e9fb27f90ae6f71b8c,"v1|122a280de4da86448d1581e9fb27f90ae6f71b8c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views169|seed0",cd3139c277dc,2026-09-20T11:09:31
bicycle,lloyd_wopa_area,65536,0,run3_cache,lloyd,euclidean,opacity_area,,True,,9.847485349334335e-05,,0.00010186122821921004,0.00012194625225954547,0.00010458802020301075,0.0001222230211162192,0.9667550177327623,0.8075266903959742,25.35771369934082,0.7639615535736084,0.22812429070472717,23.95097541809082,0.7632009387016296,0.26204100251197815,25.41811752319336,0.7663888931274414,0.2267935872077942,16216069,16219819,12620991,3594013,1065,1594007,1999746,"{""means_l.png"": 3005217, ""means_u.png"": 1802661, ""meta.json"": 1065, ""opacities.png"": 502966, ""quats.png"": 3788627, ""scales.png"": 1695780, ""sh0.png"": 1825740, ""shN.npz"": 3594013}",404.81844179300015,56,,25.35771369934082,16216069,0.0,True,169,25,171702648,122a280de4da86448d1581e9fb27f90ae6f71b8c,"v1|122a280de4da86448d1581e9fb27f90ae6f71b8c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views169|seed0",cd3139c277dc,2026-09-20T11:11:06
bicycle,gn_refine_ridge,65536,0,refine_of_run3_cache,gn_refine,mahalanobis,M_i,ridge,True,,0.0002211167619553269,2.477911207232696e-05,0.0002107975833495237,0.00022391590411074107,0.00022085195954236203,0.0002247450532982582,1.0489530213858902,0.9874991364881799,25.18500518798828,0.7586575746536255,0.23541562259197235,23.813255310058594,0.7579472064971924,0.2705918848514557,25.24373435974121,0.7610960006713867,0.23414897918701172,15496773,15500431,12620991,2874717,1065,874221,2000236,"{""means_l.png"": 3005217, ""means_u.png"": 1802661, ""meta.json"": 1065, ""opacities.png"": 502966, ""quats.png"": 3788627, ""scales.png"": 1695780, ""sh0.png"": 1825740, ""shN.npz"": 2874717}",,3,72.37902510499998,,,,,169,25,171702648,122a280de4da86448d1581e9fb27f90ae6f71b8c,"v1|122a280de4da86448d1581e9fb27f90ae6f71b8c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views169|seed0",cd3139c277dc,2026-09-20T11:14:22
