scene,config,n_clusters,seed,source,clustering,distance,weights,refine_variant,valid,invalid_reason,predicted,objective_unquantized,measured_train_clamped,measured_test_clamped,measured_train_raw,measured_test_raw,ratio_train_clamped,ratio_test_clamped,PSNR,SSIM,LPIPS,train_PSNR,train_SSIM,train_LPIPS,shn_only_PSNR,shn_only_SSIM,shn_only_LPIPS,size_bytes,zip_bytes,png_bytes,shN_bytes,meta_bytes,shN_centroids_bytes,shN_labels_bytes,file_bytes,kmeans_time_s,n_iters,refine_time_s,run3_PSNR,run3_size_bytes,run3_dPSNR,run3_size_equal,train_views,test_views,total_train_pixels,ckpt_sha1,gn_cache_key,gsplat_commit,timestamp
garden,upstream_l1,4096,0,recomputed,torchpq,manhattan,none,,True,,0.000247819448628321,,0.000315453047795803,0.0003118469678048513,0.0003158405042216852,0.00031223973890525964,0.7855985236469735,0.7946828868427617,26.566997528076172,0.8364817500114441,0.15913629531860352,27.492067337036133,0.8606489896774292,0.14908598363399506,26.597362518310547,0.8377651572227478,0.15807394683361053,14783177,14786823,12974323,1807787,1067,103322,1704205,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1067, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 1807787}",102.54732580500001,100,,,,,,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views161|seed0",cd3139c277dc,2026-09-20T10:51:13
garden,plain_l2,4096,0,recomputed,lloyd,euclidean,none,,True,,0.0002627705831819718,,0.00034595682418973536,0.00034523676834839425,0.0003463891018023693,0.0003458507750320574,0.7595473331026383,0.7611315111048599,26.522192001342773,0.8354510068893433,0.16018705070018768,27.424335479736328,0.8596704006195068,0.1501542329788208,26.5548152923584,0.8367576599121094,0.1591901183128357,14790495,14794105,12974323,1815105,1067,105106,1709739,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1067, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 1815105}",36.961563759,,,,,,,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views161|seed0",cd3139c277dc,2026-09-20T10:53:25
garden,lloyd_wopa_area,4096,0,recomputed,lloyd,euclidean,opacity_area,,True,,0.0002342857340052259,,0.0002813672063968562,0.0002790502679209639,0.000281533120712091,0.0002792309102625133,0.8326689417912337,0.8395825445743103,26.69765281677246,0.834815263748169,0.16020908951759338,27.61958122253418,0.8587252497673035,0.1502455174922943,26.720718383789062,0.8360308408737183,0.15914541482925415,14778950,14782731,12974323,1803560,1067,96626,1706674,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1067, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 1803560}",36.15497091499992,,,,,,,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views161|seed0",cd3139c277dc,2026-09-20T10:55:37
garden,upstream_l1,16384,0,recomputed,torchpq,manhattan,none,,True,,0.00019967840126936247,,0.00023622905281808922,0.0002331507042041597,0.00023651287764161805,0.00023347700951578508,0.8452745286293258,0.8564349052727415,26.741912841796875,0.8396642208099365,0.1553121656179428,27.70802116394043,0.8642341494560242,0.14503003656864166,26.77288818359375,0.8409373164176941,0.15428803861141205,15251769,15255505,12974323,2276379,1067,377810,1898309,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1067, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 2276379}",104.674155144,100,,,,,,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views161|seed0",cd3139c277dc,2026-09-20T10:58:56
garden,plain_l2,16384,0,recomputed,lloyd,euclidean,none,,True,,0.00021723459156442861,,0.0002633989128798426,0.00026262695559496174,0.00026376781001954583,0.0002629444846092688,0.824736097766382,0.827160300709803,26.68511962890625,0.838591456413269,0.15627743303775787,27.645750045776367,0.8631789088249207,0.14597775042057037,26.71820068359375,0.8398827314376831,0.1552540361881256,15243082,15246801,12974323,2267692,1067,367090,1900342,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1067, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 2267692}",149.6175580890001,,,,,,,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views161|seed0",cd3139c277dc,2026-09-20T11:03:01
garden,lloyd_wopa_area,16384,0,recomputed,lloyd,euclidean,opacity_area,,True,,0.0001789518782591019,,0.00020010236016482002,0.0001995269262886537,0.00020022173596070519,0.00019970709599426517,0.8943016869551317,0.8968808450455149,26.846088409423828,0.8390495777130127,0.15585076808929443,27.840356826782227,0.863521158695221,0.14534658193588257,26.872997283935547,0.8402841091156006,0.1548280566930771,15244312,15248187,12974323,2268922,1067,368300,1900362,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1067, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 2268922}",150.06840918599983,,,,,,,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views161|seed0",cd3139c277dc,2026-09-20T11:07:07
garden,upstream_l1,65536,0,run3_cache,torchpq,manhattan,none,,True,,0.00015600064041941457,,0.00017412354838963217,0.00017293182399730602,0.0001743005773271412,0.00017321385209588324,0.8959192588376135,0.9020933036700336,26.881277084350586,0.8424888849258423,0.15159273147583008,27.90131950378418,0.8674650192260742,0.1408318430185318,26.911602020263672,0.8437671065330505,0.150556743144989,16445885,16449791,12974323,3470495,1067,1469588,2000647,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1067, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 3470495}",419.054167559,100,,26.881277084350582,16445885,3.552713678800501e-15,True,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views161|seed0",cd3139c277dc,2026-09-20T11:08:44
garden,plain_l2,65536,0,run3_cache,lloyd,euclidean,none,,True,,0.00016645203181038265,,0.00018738118812648572,0.00018649681196125151,0.00018761256886586634,0.0001868008269491572,0.8883070572592618,0.8925194487773144,26.84502410888672,0.842056155204773,0.1518290489912033,27.864530563354492,0.8669872283935547,0.14123384654521942,26.87728500366211,0.8433265089988708,0.15082892775535583,16475746,16479662,12974323,3500356,1067,1499415,2000681,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1067, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 3500356}",628.1248226600001,100,,26.84502410888672,16475746,0.0,True,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views161|seed0",cd3139c277dc,2026-09-20T11:10:21
garden,lloyd_wopa_area,65536,0,run3_cache,lloyd,euclidean,opacity_area,,True,,0.00013507977259356006,,0.0001422374225779176,0.00014173554928616086,0.0001423179209712072,0.00014184941130413042,0.9496781518208643,0.9530408798207503,26.963132858276367,0.8423323035240173,0.1507599949836731,28.013912200927734,0.8673281669616699,0.1400095820426941,26.991241455078125,0.8435789346694946,0.14968061447143555,16405132,16409173,12974323,3429744,1065,1428796,2000688,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1065, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 3429744}",641.514312751,100,,26.963132858276367,16405132,0.0,True,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views161|seed0",cd3139c277dc,2026-09-20T11:11:59
garden,gn_refine_ridge,65536,0,refine_of_run3_cache,gn_refine,mahalanobis,M_i,ridge,True,,0.00013835103720391225,3.058952386627114e-05,0.00014501540450783046,0.0001475903109787957,0.0001450898104737738,0.0001477259528420449,0.9540437284815604,0.9373991848542763,26.926067352294922,0.8415166735649109,0.15523989498615265,27.984432220458984,0.8668490052223206,0.14440105855464935,26.957542419433594,0.842796802520752,0.15417951345443726,16211546,16215559,12974323,3236157,1066,1235196,2000701,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1066, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 3236157}",,3,73.6384064519998,,,,,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views161|seed0",cd3139c277dc,2026-09-20T11:15:20
