scene,metric,bin_lo,bin_hi,count,count_fraction,trace_fraction
bicycle,participation_ratio,1.0,1.25,278444,0.2823334252664709,0.48491060913828593
bicycle,participation_ratio,1.25,1.5,76892,0.07796606044874187,0.08622538373675025
bicycle,participation_ratio,1.5,1.75,62307,0.06317733091062476,0.050391439654526436
bicycle,participation_ratio,1.75,2.0,39250,0.03979826084135044,0.034443304229008695
bicycle,participation_ratio,2.0,2.25,29882,0.030299404597738444,0.019542545300430952
bicycle,participation_ratio,2.25,2.5,24681,0.025025754798098605,0.021862241980290697
bicycle,participation_ratio,2.5,2.75,20373,0.020657578805626308,0.012315139575438434
bicycle,participation_ratio,2.75,3.0,20006,0.02028545239215432,0.012786431427562823
bicycle,participation_ratio,3.0,3.25,23089,0.02341151705900485,0.015199171251644095
bicycle,participation_ratio,3.25,3.5,27762,0.02814979152809098,0.028543784981578696
bicycle,participation_ratio,3.5,3.75,34101,0.034577337400022716,0.02159583685643433
bicycle,participation_ratio,3.75,4.0,39800,0.04035594347734389,0.024727635107820615
bicycle,participation_ratio,4.0,4.25,42929,0.043528650691932055,0.024742261510029905
bicycle,participation_ratio,4.25,4.5,43405,0.04401129966417366,0.024113963832547124
bicycle,participation_ratio,4.5,4.75,42373,0.042964884245364134,0.02350737768456578
bicycle,participation_ratio,4.75,5.0,40699,0.0412675010950859,0.021851872308406725
bicycle,participation_ratio,5.0,5.25,36693,0.037205543568195464,0.020595506162871886
bicycle,participation_ratio,5.25,5.5,31609,0.03205052807475786,0.017923200930798102
bicycle,participation_ratio,5.5,5.75,25169,0.025520571391489156,0.014666396248642402
bicycle,participation_ratio,5.75,6.0,18713,0.01897439121335518,0.013439988209162744
bicycle,participation_ratio,6.0,6.25,12205,0.012375484676909099,0.009574474163311369
bicycle,participation_ratio,6.25,6.5,7179,0.007279279352358085,0.006960180620220747
bicycle,participation_ratio,6.5,6.75,3950,0.004005175294862019,0.004357415813177948
bicycle,participation_ratio,6.75,7.0,2085,0.002114124174629699,0.002447877262844023
bicycle,participation_ratio,7.0,7.25,1096,0.0011113093982705754,0.0015275889755725772
bicycle,participation_ratio,7.25,7.5,661,0.0006702331316212138,0.0009861128565653396
bicycle,participation_ratio,7.5,7.75,390,0.00039544768734080693,0.00047918181759453793
bicycle,participation_ratio,7.75,8.0,230,0.0002332127386881682,0.00018181985367629765
bicycle,participation_ratio,8.0,8.25,136,0.00013789970635474293,6.517081683048938e-05
bicycle,participation_ratio,8.25,8.5,71,7.199175846460844e-05,2.8743798201647345e-05
bicycle,participation_ratio,8.5,8.75,36,3.650286344684372e-05,6.249943732374136e-06
bicycle,participation_ratio,8.75,9.0,8,8.111747432631938e-06,1.0939514755374757e-06
bicycle,participation_ratio,9.0,9.25,0,0.0,0.0
bicycle,participation_ratio,9.25,9.5,0,0.0,0.0
bicycle,participation_ratio,9.5,9.75,0,0.0,0.0
bicycle,participation_ratio,9.75,10.0,0,0.0,0.0
