scene,metric,bin_lo,bin_hi,count,count_fraction,trace_fraction
garden,participation_ratio,1.0,1.25,205420,0.2057073732003609,0.2432332245065571
garden,participation_ratio,1.25,1.5,151542,0.15175400033847283,0.1379717329265357
garden,participation_ratio,1.5,1.75,88734,0.08885813481433563,0.06537602135205782
garden,participation_ratio,1.75,2.0,67682,0.06777668402758653,0.050494069299419166
garden,participation_ratio,2.0,2.25,74379,0.07448305282479624,0.05611149274873951
garden,participation_ratio,2.25,2.5,91127,0.09125448251206936,0.06654131846844195
garden,participation_ratio,2.5,2.75,75755,0.075860977785967,0.06212165748415729
garden,participation_ratio,2.75,3.0,52627,0.052700622770009704,0.04794380454310837
garden,participation_ratio,3.0,3.25,35448,0.035497590133416385,0.04148631740104678
garden,participation_ratio,3.25,3.5,28582,0.028621984912923355,0.03418549331046762
garden,participation_ratio,3.5,3.75,24352,0.024386067336068486,0.03186247020468396
garden,participation_ratio,3.75,4.0,20964,0.02099332767876724,0.0268012398791307
garden,participation_ratio,4.0,4.25,17760,0.017784845429064403,0.020669738154464757
garden,participation_ratio,4.25,4.5,14086,0.014105705670822139,0.01679170737475448
garden,participation_ratio,4.5,4.75,9972,0.00998595037267062,0.015853794835104323
garden,participation_ratio,4.75,5.0,6944,0.006953714338931488,0.011432206290704997
garden,participation_ratio,5.0,5.25,5445,0.005452617306377009,0.011586292005071254
garden,participation_ratio,5.25,5.5,4950,0.004956924823979099,0.011418136650835428
garden,participation_ratio,5.5,5.75,4683,0.00468955130317053,0.010548357437755911
garden,participation_ratio,5.75,6.0,5041,0.005048052128823967,0.010902841453598707
garden,participation_ratio,6.0,6.25,4906,0.004912863269988173,0.010700358285940717
garden,participation_ratio,6.25,6.5,4144,0.004149797266781694,0.008569425143598021
garden,participation_ratio,6.5,6.75,2591,0.002594624690692898,0.004881757436969997
garden,participation_ratio,6.75,7.0,1015,0.0010164199386543,0.0014500067886451928
garden,participation_ratio,7.0,7.25,294,0.0002944112925757283,0.0005575569573038517
garden,participation_ratio,7.25,7.5,85,8.511891111883302e-05,0.00022866993244053212
garden,participation_ratio,7.5,7.75,36,3.605036235621163e-05,0.00016291985821192262
garden,participation_ratio,7.75,8.0,30,3.0041968630176355e-05,6.366229129399182e-05
garden,participation_ratio,8.0,8.25,9,9.012590589052907e-06,5.372697896032437e-05
garden,participation_ratio,8.25,8.5,0,0.0,0.0
garden,participation_ratio,8.5,8.75,0,0.0,0.0
garden,participation_ratio,8.75,9.0,0,0.0,0.0
garden,participation_ratio,9.0,9.25,0,0.0,0.0
garden,participation_ratio,9.25,9.5,0,0.0,0.0
garden,participation_ratio,9.5,9.75,0,0.0,0.0
