scene,config,n_clusters,seed,dataset,scene_set,data_factor,source,clustering,distance,weights,valid,invalid_reason,predicted,objective_unquantized,objective_after_quantization,measured_train_clamped,measured_test_clamped,measured_train_raw,measured_test_raw,ratio_train_clamped,ratio_test_clamped,PSNR,SSIM,LPIPS,train_PSNR,shn_only_PSNR,shn_only_SSIM,shn_only_LPIPS,size_bytes,zip_bytes,png_bytes,shN_bytes,meta_bytes,shN_centroids_bytes,shN_labels_bytes,file_bytes,quant_mins,quant_maxs,quant_step,warm_quant_mins,warm_quant_maxs,warm_quant_step,ridge_eps,fraction_outside_warm_range,vq_max_iters,vq_iterations,vq_stopped_because,clusters_rejected_by_clip,final_assignment_changed,writer_codes_equal,warm_start_source,kmeans_time_s,n_iters,vq_time_s,train_views,test_views,total_train_pixels,ckpt_sha1,gn_cache_key,gsplat_commit,timestamp
bicycle,lloyd_wopa_area,1024,0,mipnerf360,development,4,recomputed,lloyd,euclidean,opacity_area,True,,0.00032134341866066145,,,0.00043599144670572666,0.0005113216998512308,0.00044405086106825053,0.0005124283068278817,0.7370406485922484,0.628456446800823,24.874296188354492,0.7493355870246887,0.2387591153383255,23.416316986083984,24.92765235900879,0.7517097592353821,0.23753905296325684,14060077,14063350,12620991,1438021,1065,25081,1412680,"{""means_l.png"": 3005217, ""means_u.png"": 1802661, ""meta.json"": 1065, ""opacities.png"": 502966, ""quats.png"": 3788627, ""scales.png"": 1695780, ""sh0.png"": 1825740, ""shN.npz"": 1438021}",-0.6991602778434753,0.5794745683670044,0.02029578946530819,,,,,,,,,,,True,,8.821625627000685,,,169,25,171702648,122a280de4da86448d1581e9fb27f90ae6f71b8c,"v1|122a280de4da86448d1581e9fb27f90ae6f71b8c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views169|seed0",515ca4a1ed01,2026-09-22T03:07:02
bicycle,gn_vq,1024,0,mipnerf360,development,4,gn_vq_of_recomputed,gn_vq,mahalanobis,M_i,True,,0.00011010356590878202,0.00010800097438666662,0.00011010356594213662,0.00015234072223671991,0.00023495920429903138,0.00015288071205467443,0.00023534665822485748,0.7227454635385919,0.468607161984826,25.238534927368164,0.7620735168457031,0.23009541630744934,23.788681030273438,25.297861099243164,0.7644917368888855,0.22884385287761688,14139306,14142564,12620991,1517250,1065,27716,1489274,"{""means_l.png"": 3005217, ""means_u.png"": 1802661, ""meta.json"": 1065, ""opacities.png"": 502966, ""quats.png"": 3788627, ""scales.png"": 1695780, ""sh0.png"": 1825740, ""shN.npz"": 1517250}",-0.5974159836769104,0.5794745683670044,0.01868080347776413,-0.6991602778434753,0.5794745683670044,0.02029579132795334,0.01,0.0,20,20,max_iters,913,0.209916,True,recomputed,,20,109.63055719300064,169,25,171702648,122a280de4da86448d1581e9fb27f90ae6f71b8c,"v1|122a280de4da86448d1581e9fb27f90ae6f71b8c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views169|seed0",515ca4a1ed01,2026-09-22T03:09:30
bicycle,lloyd_trace,1024,0,mipnerf360,development,4,recomputed,lloyd,euclidean,trace_M,True,,0.000262045030155426,,,0.00033544970664905484,0.0003568674208700861,0.000344911834783087,0.00035823564304132287,0.7811753146935247,0.7342923865578102,25.07454490661621,0.7542616128921509,0.23675353825092316,23.592247009277344,25.129648208618164,0.7566549777984619,0.23547519743442535,14075285,14078548,12620991,1453229,1065,25777,1427192,"{""means_l.png"": 3005217, ""means_u.png"": 1802661, ""meta.json"": 1065, ""opacities.png"": 502966, ""quats.png"": 3788627, ""scales.png"": 1695780, ""sh0.png"": 1825740, ""shN.npz"": 1453229}",-0.5552517771720886,0.5924533605575562,0.0182175412774086,,,,,,,,,,,True,,9.333072434999849,,,169,25,171702648,122a280de4da86448d1581e9fb27f90ae6f71b8c,"v1|122a280de4da86448d1581e9fb27f90ae6f71b8c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views169|seed0",515ca4a1ed01,2026-09-22T03:10:18
bicycle,upstream_l1,1024,0,mipnerf360,development,4,recomputed,torchpq,manhattan,none,True,,0.0003153743529548145,,,0.00041099448563219687,0.0004348128048833284,0.00042167529213347983,0.0004363740049463177,0.7673444875293198,0.725310638078926,24.96843719482422,0.7541301846504211,0.23806613683700562,23.481800079345703,25.023387908935547,0.7565351128578186,0.23678483068943024,14078321,14081539,12620991,1456265,1065,24492,1431513,"{""means_l.png"": 3005217, ""means_u.png"": 1802661, ""meta.json"": 1065, ""opacities.png"": 502966, ""quats.png"": 3788627, ""scales.png"": 1695780, ""sh0.png"": 1825740, ""shN.npz"": 1456265}",-0.5883398056030273,0.5758989453315735,0.018479978665709496,,,,,,,,,,,True,,7.8377729169988015,100,,169,25,171702648,122a280de4da86448d1581e9fb27f90ae6f71b8c,"v1|122a280de4da86448d1581e9fb27f90ae6f71b8c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views169|seed0",515ca4a1ed01,2026-09-22T03:11:04
bicycle,lloyd_wopa_area,4096,0,mipnerf360,development,4,recomputed,lloyd,euclidean,opacity_area,True,,0.00021215605025683615,,,0.00025288851315653375,0.0002933743004922688,0.00025788195813342135,0.00029420590971198523,0.8389311464119966,0.7231582653996886,25.14873504638672,0.756718099117279,0.2347530722618103,23.693994522094727,25.20606231689453,0.7591322660446167,0.23344066739082336,14396171,14398999,12620991,1774115,1065,97931,1675924,"{""means_l.png"": 3005217, ""means_u.png"": 1802661, ""meta.json"": 1065, ""opacities.png"": 502966, ""quats.png"": 3788627, ""scales.png"": 1695780, ""sh0.png"": 1825740, ""shN.npz"": 1774115}",-0.6991482377052307,0.7123966217041016,0.02240547351539135,,,,,,,,,,,True,,34.45168697400004,,,169,25,171702648,122a280de4da86448d1581e9fb27f90ae6f71b8c,"v1|122a280de4da86448d1581e9fb27f90ae6f71b8c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views169|seed0",515ca4a1ed01,2026-09-22T03:12:17
bicycle,gn_vq,4096,0,mipnerf360,development,4,gn_vq_of_recomputed,gn_vq,mahalanobis,M_i,True,,7.482776659526537e-05,7.168738872783868e-05,7.482776656508729e-05,9.876511234862661e-05,0.00015811583587146575,9.908458921635893e-05,0.0001583383749633132,0.757633589593197,0.4732465042659848,25.332275390625,0.7645057439804077,0.2279466986656189,23.89498519897461,25.393798828125,0.7669401168823242,0.22667105495929718,14425520,14428820,12620991,1803464,1065,104242,1698962,"{""means_l.png"": 3005217, ""means_u.png"": 1802661, ""meta.json"": 1065, ""opacities.png"": 502966, ""quats.png"": 3788627, ""scales.png"": 1695780, ""sh0.png"": 1825740, ""shN.npz"": 1803464}",-0.6931381225585938,0.7105722427368164,0.022281117737293243,-0.6991482377052307,0.7123966217041016,0.02240547351539135,0.01,0.0,20,20,max_iters,13065,0.278234,True,recomputed,,20,118.37084545500147,169,25,171702648,122a280de4da86448d1581e9fb27f90ae6f71b8c,"v1|122a280de4da86448d1581e9fb27f90ae6f71b8c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views169|seed0",515ca4a1ed01,2026-09-22T03:14:54
bicycle,lloyd_trace,4096,0,mipnerf360,development,4,recomputed,lloyd,euclidean,trace_M,True,,0.00018187195500382822,,,0.00021656055427957498,0.00024068504847577044,0.0002211975143114002,0.0002413428105334633,0.8398203246609512,0.7556429290294578,25.22265625,0.7588226795196533,0.23376180231571198,23.762840270996094,25.280824661254883,0.7612207531929016,0.23248755931854248,14386267,14388651,12620991,1764211,1065,96362,1667589,"{""means_l.png"": 3005217, ""means_u.png"": 1802661, ""meta.json"": 1065, ""opacities.png"": 502966, ""quats.png"": 3788627, ""scales.png"": 1695780, ""sh0.png"": 1825740, ""shN.npz"": 1764211}",-0.7545666098594666,0.7488783597946167,0.023864204064011574,,,,,,,,,,,True,,27.882441651996487,,,169,25,171702648,122a280de4da86448d1581e9fb27f90ae6f71b8c,"v1|122a280de4da86448d1581e9fb27f90ae6f71b8c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views169|seed0",515ca4a1ed01,2026-09-22T03:16:00
bicycle,upstream_l1,4096,0,mipnerf360,development,4,recomputed,torchpq,manhattan,none,True,,0.00023023223876341827,,,0.0002802550945871822,0.00030148084731112737,0.0002886957919521492,0.00030253112833019866,0.8215095575784341,0.7636711944285445,25.13020896911621,0.7583907842636108,0.23476722836494446,23.659421920776367,25.18644142150879,0.7607714533805847,0.2335454821586609,14385436,14387367,12620991,1763380,1065,97154,1665966,"{""means_l.png"": 3005217, ""means_u.png"": 1802661, ""meta.json"": 1065, ""opacities.png"": 502966, ""quats.png"": 3788627, ""scales.png"": 1695780, ""sh0.png"": 1825740, ""shN.npz"": 1763380}",-0.6336451768875122,0.7025700211524963,0.02120976522564888,,,,,,,,,,,True,,26.701795988999947,100,,169,25,171702648,122a280de4da86448d1581e9fb27f90ae6f71b8c,"v1|122a280de4da86448d1581e9fb27f90ae6f71b8c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views169|seed0",515ca4a1ed01,2026-09-22T03:17:05
bicycle,lloyd_wopa_area,16384,0,mipnerf360,development,4,recomputed,lloyd,euclidean,opacity_area,True,,0.00014589689441882317,,,0.00016126385726423034,0.0001878774390488981,0.00016370755872562522,0.00018825794162810746,0.9047091945703094,0.7765535614994793,25.27816390991211,0.761086642742157,0.23146377503871918,23.843935012817383,25.338232040405273,0.7635110020637512,0.2302016019821167,14909318,14909916,12620991,2287262,1065,399739,1887263,"{""means_l.png"": 3005217, ""means_u.png"": 1802661, ""meta.json"": 1065, ""opacities.png"": 502966, ""quats.png"": 3788627, ""scales.png"": 1695780, ""sh0.png"": 1825740, ""shN.npz"": 2287262}",-0.7148483991622925,0.7526701092720032,0.02329394593834877,,,,,,,,,,,True,,142.54047924300176,,,169,25,171702648,122a280de4da86448d1581e9fb27f90ae6f71b8c,"v1|122a280de4da86448d1581e9fb27f90ae6f71b8c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views169|seed0",515ca4a1ed01,2026-09-22T03:20:06
bicycle,gn_vq,16384,0,mipnerf360,development,4,gn_vq_of_recomputed,gn_vq,mahalanobis,M_i,True,,4.743145149451192e-05,4.384878309332288e-05,4.7431451441725474e-05,5.9739464443318255e-05,0.00010004455058760953,5.996650916744009e-05,0.00010016244470198572,0.7939718230905072,0.47410329913947646,25.401676177978516,0.766529381275177,0.22550420463085175,23.983041763305664,25.46355628967285,0.7689658999443054,0.22419944405555725,14931080,14934134,12620991,2309024,1065,414759,1894005,"{""means_l.png"": 3005217, ""means_u.png"": 1802661, ""meta.json"": 1065, ""opacities.png"": 502966, ""quats.png"": 3788627, ""scales.png"": 1695780, ""sh0.png"": 1825740, ""shN.npz"": 2309024}",-0.7148483991622925,0.7526701092720032,0.02329394593834877,-0.7148483991622925,0.7526701092720032,0.02329394593834877,0.01,0.0,20,14,rel_tol,67899,0.314122,True,recomputed,,14,106.87428285799979,169,25,171702648,122a280de4da86448d1581e9fb27f90ae6f71b8c,"v1|122a280de4da86448d1581e9fb27f90ae6f71b8c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views169|seed0",515ca4a1ed01,2026-09-22T03:22:31
