scene,config,n_clusters,seed,dataset,scene_set,data_factor,source,clustering,distance,weights,valid,invalid_reason,predicted,objective_unquantized,objective_after_quantization,measured_train_clamped,measured_test_clamped,measured_train_raw,measured_test_raw,ratio_train_clamped,ratio_test_clamped,PSNR,SSIM,LPIPS,train_PSNR,shn_only_PSNR,shn_only_SSIM,shn_only_LPIPS,size_bytes,zip_bytes,png_bytes,shN_bytes,meta_bytes,shN_centroids_bytes,shN_labels_bytes,file_bytes,quant_mins,quant_maxs,quant_step,warm_quant_mins,warm_quant_maxs,warm_quant_step,ridge_eps,fraction_outside_warm_range,vq_max_iters,vq_iterations,vq_stopped_because,clusters_rejected_by_clip,final_assignment_changed,writer_codes_equal,warm_start_source,kmeans_time_s,n_iters,vq_time_s,train_views,test_views,total_train_pixels,ckpt_sha1,gn_cache_key,gsplat_commit,timestamp
bonsai,lloyd_wopa_area,1024,0,mipnerf360,held_out,2,recomputed,lloyd,euclidean,opacity_area,True,,0.00013554171873723505,,,0.0002367919548743069,0.0002370966757264396,0.00023753499519426914,0.00023787557096045168,0.5724084621421486,0.5716727926359545,30.673126220703125,0.9357741475105286,0.1827569156885147,31.28648567199707,30.730077743530273,0.9366698861122131,0.18177364766597748,13780986,13784513,12348358,1431568,1060,25658,1405650,"{""means_l.png"": 3004843, ""means_u.png"": 1614776, ""meta.json"": 1060, ""opacities.png"": 491840, ""quats.png"": 3720727, ""scales.png"": 1627018, ""sh0.png"": 1889154, ""shN.npz"": 1431568}",-0.6253715753555298,0.6252987384796143,0.019851909950375557,,,,,,,,,,,True,,8.972547305999797,,,255,37,413049255,60868efab7cfd97dada0ea6badcb8a2700c7d7c8,"v1|60868efab7cfd97dada0ea6badcb8a2700c7d7c8|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views255|seed0",515ca4a1ed01,2026-09-21T23:51:30
bonsai,gn_vq,1024,0,mipnerf360,held_out,2,gn_vq_of_recomputed,gn_vq,mahalanobis,M_i,True,,4.0494146371942265e-05,3.827649166935053e-05,4.049414630581786e-05,8.093584118415942e-05,8.31476907823703e-05,8.101695862556077e-05,8.324266844724676e-05,0.5003240317204202,0.4870146842433799,31.674406051635742,0.9461787939071655,0.17150633037090302,32.458229064941406,31.74798583984375,0.9470769762992859,0.17052321135997772,13857252,13860612,12348358,1507834,1060,26597,1480977,"{""means_l.png"": 3004843, ""means_u.png"": 1614776, ""meta.json"": 1060, ""opacities.png"": 491840, ""quats.png"": 3720727, ""scales.png"": 1627018, ""sh0.png"": 1889154, ""shN.npz"": 1507834}",-0.6215726733207703,0.6246889233589172,0.01978193037211895,-0.6253715753555298,0.6252987384796143,0.019851911813020706,0.01,0.0,20,20,max_iters,3056,0.24151799999999998,True,recomputed,,20,110.2656266719996,255,37,413049255,60868efab7cfd97dada0ea6badcb8a2700c7d7c8,"v1|60868efab7cfd97dada0ea6badcb8a2700c7d7c8|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views255|seed0",515ca4a1ed01,2026-09-21T23:54:47
bonsai,lloyd_trace,1024,0,mipnerf360,held_out,2,recomputed,lloyd,euclidean,trace_M,True,,0.00011336459858209582,,,0.00019718485522912777,0.00019641870046124377,0.00019773494805571415,0.00019694813621347283,0.5749153425113037,0.5771578689599582,30.935680389404297,0.9388779401779175,0.1808469593524933,31.58197784423828,30.995431900024414,0.9397525787353516,0.1798974871635437,13802691,13806131,12348358,1453274,1059,26196,1426818,"{""means_l.png"": 3004843, ""means_u.png"": 1614776, ""meta.json"": 1059, ""opacities.png"": 491840, ""quats.png"": 3720727, ""scales.png"": 1627018, ""sh0.png"": 1889154, ""shN.npz"": 1453274}",-0.664360761642456,0.5956458449363708,0.02000010572373867,,,,,,,,,,,True,,9.241210346999651,,,255,37,413049255,60868efab7cfd97dada0ea6badcb8a2700c7d7c8,"v1|60868efab7cfd97dada0ea6badcb8a2700c7d7c8|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views255|seed0",515ca4a1ed01,2026-09-21T23:56:23
bonsai,upstream_l1,1024,0,mipnerf360,held_out,2,recomputed,torchpq,manhattan,none,True,,0.0001781532387954204,,,0.00028093785649752415,0.0002810570060215635,0.0002818481459905238,0.0002820688842711675,0.6341375313974122,0.6338686991554731,30.52545738220215,0.9365037679672241,0.18037240207195282,31.12055206298828,30.58311653137207,0.9373975396156311,0.17939460277557373,13768285,13771643,12348358,1418867,1060,27274,1391333,"{""means_l.png"": 3004843, ""means_u.png"": 1614776, ""meta.json"": 1060, ""opacities.png"": 491840, ""quats.png"": 3720727, ""scales.png"": 1627018, ""sh0.png"": 1889154, ""shN.npz"": 1418867}",-0.6353178024291992,0.5316787362098694,0.01852375455200672,,,,,,,,,,,True,,7.589248309999675,100,,255,37,413049255,60868efab7cfd97dada0ea6badcb8a2700c7d7c8,"v1|60868efab7cfd97dada0ea6badcb8a2700c7d7c8|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views255|seed0",515ca4a1ed01,2026-09-21T23:57:55
bonsai,lloyd_wopa_area,4096,0,mipnerf360,held_out,2,recomputed,lloyd,euclidean,opacity_area,True,,8.9066221788867e-05,,,0.0001342335198207177,0.00013423434758975204,0.00013451096635757795,0.00013454403846525713,0.6635169956641519,0.6635129040226858,31.38401985168457,0.9420479536056519,0.17768152058124542,32.099430084228516,31.448665618896484,0.9428956508636475,0.17669977247714996,14113670,14117236,12348358,1764252,1060,100258,1663734,"{""means_l.png"": 3004843, ""means_u.png"": 1614776, ""meta.json"": 1060, ""opacities.png"": 491840, ""quats.png"": 3720727, ""scales.png"": 1627018, ""sh0.png"": 1889154, ""shN.npz"": 1764252}",-0.6907593607902527,0.6744226813316345,0.021669555455446243,,,,,,,,,,,True,,33.48493492800026,,,255,37,413049255,60868efab7cfd97dada0ea6badcb8a2700c7d7c8,"v1|60868efab7cfd97dada0ea6badcb8a2700c7d7c8|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views255|seed0",515ca4a1ed01,2026-09-21T23:59:55
bonsai,gn_vq,4096,0,mipnerf360,held_out,2,gn_vq_of_recomputed,gn_vq,mahalanobis,M_i,True,,2.6436934816703348e-05,2.3835156128001045e-05,2.643693475674776e-05,4.8506552173509633e-05,4.981085862017219e-05,4.854653193118908e-05,4.985792320321601e-05,0.5450178095968872,0.5307464185328665,31.963716506958008,0.9481743574142456,0.16940546035766602,32.802452087402344,32.04158401489258,0.9490821361541748,0.16845175623893738,14150385,14153807,12348358,1800967,1060,101926,1698781,"{""means_l.png"": 3004843, ""means_u.png"": 1614776, ""meta.json"": 1060, ""opacities.png"": 491840, ""quats.png"": 3720727, ""scales.png"": 1627018, ""sh0.png"": 1889154, ""shN.npz"": 1800967}",-0.6907593607902527,0.6744226813316345,0.021669555455446243,-0.6907593607902527,0.6744226813316345,0.021669557318091393,0.01,0.0,20,18,rel_tol,21736,0.29209999999999997,True,recomputed,,18,107.95252447000075,255,37,413049255,60868efab7cfd97dada0ea6badcb8a2700c7d7c8,"v1|60868efab7cfd97dada0ea6badcb8a2700c7d7c8|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views255|seed0",515ca4a1ed01,2026-09-22T00:03:10
bonsai,lloyd_trace,4096,0,mipnerf360,held_out,2,recomputed,lloyd,euclidean,trace_M,True,,7.917249356826763e-05,,,0.00012575084256280449,0.0001258343884400211,0.00012604370222611463,0.0001260911687551092,0.6295981160422527,0.6291801037043634,31.450763702392578,0.9427995681762695,0.17729006707668304,32.15995407104492,31.51612663269043,0.9436301589012146,0.17634886503219604,14118181,14121590,12348358,1768763,1060,97873,1670630,"{""means_l.png"": 3004843, ""means_u.png"": 1614776, ""meta.json"": 1060, ""opacities.png"": 491840, ""quats.png"": 3720727, ""scales.png"": 1627018, ""sh0.png"": 1889154, ""shN.npz"": 1768763}",-0.8352439999580383,0.7232035994529724,0.024737263098359108,,,,,,,,,,,True,,26.64415280100002,,,255,37,413049255,60868efab7cfd97dada0ea6badcb8a2700c7d7c8,"v1|60868efab7cfd97dada0ea6badcb8a2700c7d7c8|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views255|seed0",515ca4a1ed01,2026-09-22T00:05:03
bonsai,upstream_l1,4096,0,mipnerf360,held_out,2,recomputed,torchpq,manhattan,none,True,,0.00011871293833114855,,,0.00018419344663942721,0.00018573862891073292,0.00018462263415996638,0.00018621658771858255,0.644501422265789,0.6391397364530061,31.05020523071289,0.9411582350730896,0.17720918357372284,31.72127914428711,31.119731903076172,0.9419514536857605,0.17627562582492828,14098638,14101755,12348358,1749220,1060,106716,1642244,"{""means_l.png"": 3004843, ""means_u.png"": 1614776, ""meta.json"": 1060, ""opacities.png"": 491840, ""quats.png"": 3720727, ""scales.png"": 1627018, ""sh0.png"": 1889154, ""shN.npz"": 1749220}",-0.6804383993148804,0.6237388253211975,0.020701225847005844,,,,,,,,,,,True,,26.729781539000214,100,,255,37,413049255,60868efab7cfd97dada0ea6badcb8a2700c7d7c8,"v1|60868efab7cfd97dada0ea6badcb8a2700c7d7c8|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views255|seed0",515ca4a1ed01,2026-09-22T00:06:57
bonsai,lloyd_wopa_area,16384,0,mipnerf360,held_out,2,recomputed,lloyd,euclidean,opacity_area,True,,6.0192516510890145e-05,,,8.163940444966839e-05,8.1652376164244e-05,8.180735268175537e-05,8.183730866503351e-05,0.7372973494435461,0.737180218611308,31.772573471069336,0.945262610912323,0.17415335774421692,32.56922149658203,31.848772048950195,0.946130633354187,0.17321519553661346,14629503,14633128,12348358,2280085,1060,386996,1892829,"{""means_l.png"": 3004843, ""means_u.png"": 1614776, ""meta.json"": 1060, ""opacities.png"": 491840, ""quats.png"": 3720727, ""scales.png"": 1627018, ""sh0.png"": 1889154, ""shN.npz"": 2280085}",-0.8715606331825256,0.7083140015602112,0.025077374652028084,,,,,,,,,,,True,,139.7251155240001,,,255,37,413049255,60868efab7cfd97dada0ea6badcb8a2700c7d7c8,"v1|60868efab7cfd97dada0ea6badcb8a2700c7d7c8|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views255|seed0",515ca4a1ed01,2026-09-22T00:10:42
bonsai,gn_vq,16384,0,mipnerf360,held_out,2,gn_vq_of_recomputed,gn_vq,mahalanobis,M_i,True,,1.6545702848735255e-05,1.3813091610659466e-05,1.6545702875233597e-05,2.790623908218161e-05,2.8786857164906127e-05,2.792828694519514e-05,2.8818229793691892e-05,0.5929033575613505,0.5747658646427724,32.178741455078125,0.9495806694030762,0.1679350882768631,33.05366134643555,32.26169204711914,0.9504899978637695,0.16698187589645386,14647213,14650734,12348358,2297795,1060,403441,1894094,"{""means_l.png"": 3004843, ""means_u.png"": 1614776, ""meta.json"": 1060, ""opacities.png"": 491840, ""quats.png"": 3720727, ""scales.png"": 1627018, ""sh0.png"": 1889154, ""shN.npz"": 2297795}",-0.7158060073852539,0.7083140015602112,0.022605078294873238,-0.8715606331825256,0.7083140015602112,0.025077376514673233,0.01,0.0,20,12,rel_tol,70593,0.346116,True,recomputed,,12,94.30965712099987,255,37,413049255,60868efab7cfd97dada0ea6badcb8a2700c7d7c8,"v1|60868efab7cfd97dada0ea6badcb8a2700c7d7c8|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views255|seed0",515ca4a1ed01,2026-09-22T00:13:42
