scene,config,n_clusters,seed,dataset,scene_set,data_factor,source,clustering,distance,weights,valid,invalid_reason,predicted,objective_unquantized,objective_after_quantization,measured_train_clamped,measured_test_clamped,measured_train_raw,measured_test_raw,ratio_train_clamped,ratio_test_clamped,PSNR,SSIM,LPIPS,train_PSNR,shn_only_PSNR,shn_only_SSIM,shn_only_LPIPS,size_bytes,zip_bytes,png_bytes,shN_bytes,meta_bytes,shN_centroids_bytes,shN_labels_bytes,file_bytes,quant_mins,quant_maxs,quant_step,warm_quant_mins,warm_quant_maxs,warm_quant_step,ridge_eps,fraction_outside_warm_range,vq_max_iters,vq_iterations,vq_stopped_because,clusters_rejected_by_clip,final_assignment_changed,writer_codes_equal,warm_start_source,kmeans_time_s,n_iters,vq_time_s,train_views,test_views,total_train_pixels,ckpt_sha1,gn_cache_key,gsplat_commit,timestamp
counter,lloyd_wopa_area,1024,0,mipnerf360,held_out,2,recomputed,lloyd,euclidean,opacity_area,True,,0.0001993220415521099,,,0.00043467449450832005,0.0004301759280716956,0.00043586357412596436,0.00043139325808280607,0.45855472099317,0.4633500587668628,27.948972702026367,0.8994556665420532,0.1873166561126709,28.860185623168945,27.972694396972656,0.9004054069519043,0.18639644980430603,13998342,14001950,12512912,1484366,1064,25446,1458660,"{""means_l.png"": 3005171, ""means_u.png"": 1728853, ""meta.json"": 1064, ""opacities.png"": 482343, ""quats.png"": 3740779, ""scales.png"": 1628901, ""sh0.png"": 1926865, ""shN.npz"": 1484366}",-0.6646994352340698,0.6636358499526978,0.021084686741232872,,,,,,,,,,,True,,7.034347467999396,,,210,30,339612840,50464c36ef6e1b0c2da3012bc7c8b3feb1a410c2,"v1|50464c36ef6e1b0c2da3012bc7c8b3feb1a410c2|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views210|seed0",515ca4a1ed01,2026-09-22T00:30:36
counter,gn_vq,1024,0,mipnerf360,held_out,2,gn_vq_of_recomputed,gn_vq,mahalanobis,M_i,True,,7.869523007204977e-05,7.624666071631426e-05,7.869523008146433e-05,0.0001835475483985293,0.0001872344370191344,0.0001837050715694022,0.00018747439609981403,0.4287457433165058,0.4203031842054115,28.62471580505371,0.9115925431251526,0.1762513369321823,29.757863998413086,28.65475082397461,0.9125592112541199,0.1752946376800537,14043534,14046966,12512912,1529558,1064,26690,1502608,"{""means_l.png"": 3005171, ""means_u.png"": 1728853, ""meta.json"": 1064, ""opacities.png"": 482343, ""quats.png"": 3740779, ""scales.png"": 1628901, ""sh0.png"": 1926865, ""shN.npz"": 1529558}",-0.6646994352340698,0.6636358499526978,0.021084686741232872,-0.6646994352340698,0.6636358499526978,0.02108468860387802,0.01,0.0,20,20,max_iters,1691,0.22592399999999999,True,recomputed,,20,110.82206125599987,210,30,339612840,50464c36ef6e1b0c2da3012bc7c8b3feb1a410c2,"v1|50464c36ef6e1b0c2da3012bc7c8b3feb1a410c2|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views210|seed0",515ca4a1ed01,2026-09-22T00:33:44
counter,lloyd_trace,1024,0,mipnerf360,held_out,2,recomputed,lloyd,euclidean,trace_M,True,,0.00016863311856361952,,,0.0003470726837157109,0.00034456354365717666,0.00034836290370927376,0.0003459759922387819,0.485872632666614,0.48941079713122804,28.185226440429688,0.9034403562545776,0.18483485281467438,29.158191680908203,28.209836959838867,0.9043706655502319,0.18389059603214264,14005192,14008660,12512912,1491216,1064,24660,1466296,"{""means_l.png"": 3005171, ""means_u.png"": 1728853, ""meta.json"": 1064, ""opacities.png"": 482343, ""quats.png"": 3740779, ""scales.png"": 1628901, ""sh0.png"": 1926865, ""shN.npz"": 1491216}",-0.7252922058105469,0.6570165753364563,0.0219414085149765,,,,,,,,,,,True,,7.048106956000083,,,210,30,339612840,50464c36ef6e1b0c2da3012bc7c8b3feb1a410c2,"v1|50464c36ef6e1b0c2da3012bc7c8b3feb1a410c2|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views210|seed0",515ca4a1ed01,2026-09-22T00:35:07
counter,upstream_l1,1024,0,mipnerf360,held_out,2,recomputed,torchpq,manhattan,none,True,,0.0001955864967819175,,,0.00040208832706226555,0.000400924919681538,0.0004036336510435317,0.00040258555406523397,0.48642669686760115,0.4878382140408619,28.00225067138672,0.9023424983024597,0.18507599830627441,28.95145034790039,28.026975631713867,0.9032787680625916,0.18414466083049774,13967451,13970814,12512912,1453474,1065,26347,1426867,"{""means_l.png"": 3005171, ""means_u.png"": 1728853, ""meta.json"": 1065, ""opacities.png"": 482343, ""quats.png"": 3740779, ""scales.png"": 1628901, ""sh0.png"": 1926865, ""shN.npz"": 1453474}",-0.5226825475692749,0.40508145093917847,0.014726412482559681,,,,,,,,,,,True,,7.826244548999966,100,,210,30,339612840,50464c36ef6e1b0c2da3012bc7c8b3feb1a410c2,"v1|50464c36ef6e1b0c2da3012bc7c8b3feb1a410c2|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views210|seed0",515ca4a1ed01,2026-09-22T00:36:31
counter,lloyd_wopa_area,4096,0,mipnerf360,held_out,2,recomputed,lloyd,euclidean,opacity_area,True,,0.0001409582412829459,,,0.0002619854648644931,0.0002581911805007974,0.0002626057261198001,0.00025883886482701686,0.5380384036032451,0.5459452217133751,28.46033477783203,0.906313955783844,0.18215815722942352,29.53606414794922,28.488109588623047,0.9073414206504822,0.18123053014278412,14304170,14307824,12512912,1790194,1064,98938,1690996,"{""means_l.png"": 3005171, ""means_u.png"": 1728853, ""meta.json"": 1064, ""opacities.png"": 482343, ""quats.png"": 3740779, ""scales.png"": 1628901, ""sh0.png"": 1926865, ""shN.npz"": 1790194}",-0.7823629975318909,0.6652712821960449,0.022978320717811584,,,,,,,,,,,True,,25.899655358000018,,,210,30,339612840,50464c36ef6e1b0c2da3012bc7c8b3feb1a410c2,"v1|50464c36ef6e1b0c2da3012bc7c8b3feb1a410c2|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views210|seed0",515ca4a1ed01,2026-09-22T00:38:15
counter,gn_vq,4096,0,mipnerf360,held_out,2,gn_vq_of_recomputed,gn_vq,mahalanobis,M_i,True,,5.3290280202644324e-05,5.029580770487549e-05,5.329028019961306e-05,0.00011345023874612302,0.00011609771685986853,0.00011353162217840765,0.0001162332269352021,0.46972382598415147,0.45901230139578364,28.89079475402832,0.9150449633598328,0.1732388585805893,30.12883758544922,28.923038482666016,0.9160447716712952,0.1722528487443924,14321752,14325261,12512912,1807776,1064,102428,1705088,"{""means_l.png"": 3005171, ""means_u.png"": 1728853, ""meta.json"": 1064, ""opacities.png"": 482343, ""quats.png"": 3740779, ""scales.png"": 1628901, ""sh0.png"": 1926865, ""shN.npz"": 1807776}",-0.7823629975318909,0.6652712821960449,0.022978320717811584,-0.7823629975318909,0.6652712821960449,0.022978322580456734,0.01,0.0,20,16,rel_tol,10945,0.25468999999999997,True,recomputed,,16,97.9677308270002,210,30,339612840,50464c36ef6e1b0c2da3012bc7c8b3feb1a410c2,"v1|50464c36ef6e1b0c2da3012bc7c8b3feb1a410c2|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views210|seed0",515ca4a1ed01,2026-09-22T00:41:12
counter,lloyd_trace,4096,0,mipnerf360,held_out,2,recomputed,lloyd,euclidean,trace_M,True,,0.00011979085826991882,,,0.00021796605429817375,0.00021598197703999965,0.0002186503738317462,0.0002168954984889462,0.5495849280551136,0.5546335852261121,28.595823287963867,0.9086446166038513,0.18049558997154236,29.706390380859375,28.62549591064453,0.9096603989601135,0.17955946922302246,14301675,14305088,12512912,1787699,1064,96321,1691118,"{""means_l.png"": 3005171, ""means_u.png"": 1728853, ""meta.json"": 1064, ""opacities.png"": 482343, ""quats.png"": 3740779, ""scales.png"": 1628901, ""sh0.png"": 1926865, ""shN.npz"": 1787699}",-0.8812609314918518,0.6678872108459473,0.024589652195572853,,,,,,,,,,,True,,28.62390842900004,,,210,30,339612840,50464c36ef6e1b0c2da3012bc7c8b3feb1a410c2,"v1|50464c36ef6e1b0c2da3012bc7c8b3feb1a410c2|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views210|seed0",515ca4a1ed01,2026-09-22T00:43:01
counter,upstream_l1,4096,0,mipnerf360,held_out,2,recomputed,torchpq,manhattan,none,True,,0.00015114503431783968,,,0.00028545067559336904,0.00028297562432117476,0.0002866945413431792,0.00028424236158786423,0.5294961520187439,0.5341273994197162,28.371091842651367,0.9063910245895386,0.18141813576221466,29.447982788085938,28.39760971069336,0.9073864221572876,0.1805052012205124,14279261,14281791,12512912,1765285,1064,100561,1664464,"{""means_l.png"": 3005171, ""means_u.png"": 1728853, ""meta.json"": 1064, ""opacities.png"": 482343, ""quats.png"": 3740779, ""scales.png"": 1628901, ""sh0.png"": 1926865, ""shN.npz"": 1765285}",-0.7730079889297485,0.5221776366233826,0.020558500662446022,,,,,,,,,,,True,,28.93200933299977,100,,210,30,339612840,50464c36ef6e1b0c2da3012bc7c8b3feb1a410c2,"v1|50464c36ef6e1b0c2da3012bc7c8b3feb1a410c2|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views210|seed0",515ca4a1ed01,2026-09-22T00:44:51
counter,lloyd_wopa_area,16384,0,mipnerf360,held_out,2,recomputed,lloyd,euclidean,opacity_area,True,,9.34098898727879e-05,,,0.00014802163862375996,0.00014611667973409449,0.00014831579662847105,0.00014641207649780164,0.6310556398461193,0.6392828665610027,28.851943969726562,0.9109837412834167,0.17738692462444305,30.072336196899414,28.88344955444336,0.912005603313446,0.17640578746795654,14796507,14800227,12512912,2282531,1064,393086,1889185,"{""means_l.png"": 3005171, ""means_u.png"": 1728853, ""meta.json"": 1064, ""opacities.png"": 482343, ""quats.png"": 3740779, ""scales.png"": 1628901, ""sh0.png"": 1926865, ""shN.npz"": 2282531}",-0.7823629975318909,0.7298840284347534,0.024003921076655388,,,,,,,,,,,True,,171.41102391299955,,,210,30,339612840,50464c36ef6e1b0c2da3012bc7c8b3feb1a410c2,"v1|50464c36ef6e1b0c2da3012bc7c8b3feb1a410c2|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views210|seed0",515ca4a1ed01,2026-09-22T00:49:03
counter,gn_vq,16384,0,mipnerf360,held_out,2,gn_vq_of_recomputed,gn_vq,mahalanobis,M_i,True,,3.3354165978521406e-05,2.9765717832315572e-05,3.335416601358129e-05,6.24449500107447e-05,6.428387407479507e-05,6.248472914180488e-05,6.432969542205744e-05,0.5341371235429329,0.5188574344432545,29.109127044677734,0.9177979230880737,0.17036636173725128,30.434953689575195,29.1431884765625,0.9187947511672974,0.16936935484409332,14818023,14821627,12512912,2304047,1064,403450,1900337,"{""means_l.png"": 3005171, ""means_u.png"": 1728853, ""meta.json"": 1064, ""opacities.png"": 482343, ""quats.png"": 3740779, ""scales.png"": 1628901, ""sh0.png"": 1926865, ""shN.npz"": 2304047}",-0.7823629975318909,0.7298840284347534,0.024003921076655388,-0.7823629975318909,0.7298840284347534,0.024003922939300537,0.01,0.0,20,12,rel_tol,54372,0.294168,True,recomputed,,12,97.64994254400062,210,30,339612840,50464c36ef6e1b0c2da3012bc7c8b3feb1a410c2,"v1|50464c36ef6e1b0c2da3012bc7c8b3feb1a410c2|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views210|seed0",515ca4a1ed01,2026-09-22T00:52:01
