scene,config,n_clusters,seed,dataset,scene_set,data_factor,source,clustering,distance,weights,valid,invalid_reason,predicted,objective_unquantized,objective_after_quantization,measured_train_clamped,measured_test_clamped,measured_train_raw,measured_test_raw,ratio_train_clamped,ratio_test_clamped,PSNR,SSIM,LPIPS,train_PSNR,shn_only_PSNR,shn_only_SSIM,shn_only_LPIPS,size_bytes,zip_bytes,png_bytes,shN_bytes,meta_bytes,shN_centroids_bytes,shN_labels_bytes,file_bytes,quant_mins,quant_maxs,quant_step,warm_quant_mins,warm_quant_maxs,warm_quant_step,ridge_eps,fraction_outside_warm_range,vq_max_iters,vq_iterations,vq_stopped_because,clusters_rejected_by_clip,final_assignment_changed,writer_codes_equal,warm_start_source,kmeans_time_s,n_iters,vq_time_s,train_views,test_views,total_train_pixels,ckpt_sha1,gn_cache_key,gsplat_commit,timestamp
flowers,lloyd_wopa_area,1024,0,mipnerf360,held_out,4,recomputed,lloyd,euclidean,opacity_area,True,,0.0006013240857801356,,,0.0007470674240073601,0.0008555888474388983,0.0007631682023149671,0.0008658956435481077,0.8049127380692902,0.7028189855210555,21.612823486328125,0.6006026268005371,0.35207808017730713,22.52566909790039,21.652301788330078,0.6030063033103943,0.3510189652442932,14289941,14293553,12796494,1492384,1063,24891,1467233,"{""means_l.png"": 3005218, ""means_u.png"": 1779331, ""meta.json"": 1063, ""opacities.png"": 525005, ""quats.png"": 3831481, ""scales.png"": 1710000, ""sh0.png"": 1945459, ""shN.npz"": 1492384}",-0.715069055557251,0.7228397727012634,0.02282395027577877,,,,,,,,,,,True,,8.914106664000428,,,151,22,157035168,d0ea4a76881fb22b0c2848903cb0cce0001b06d5,"v1|d0ea4a76881fb22b0c2848903cb0cce0001b06d5|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views151|seed0",515ca4a1ed01,2026-09-22T02:23:46
flowers,gn_vq,1024,0,mipnerf360,held_out,4,gn_vq_of_recomputed,gn_vq,mahalanobis,M_i,True,,0.0002529740775879259,0.00024904587410342987,0.00025297407739307474,0.00032606205453636046,0.0005215869495422981,0.0003305677711964808,0.0005273872765416219,0.7758464196259787,0.48500844932933074,21.750022888183594,0.6122862100601196,0.34389638900756836,22.8445987701416,21.792978286743164,0.6148207783699036,0.34272056818008423,14334935,14338454,12796494,1537378,1063,27203,1509915,"{""means_l.png"": 3005218, ""means_u.png"": 1779331, ""meta.json"": 1063, ""opacities.png"": 525005, ""quats.png"": 3831481, ""scales.png"": 1710000, ""sh0.png"": 1945459, ""shN.npz"": 1537378}",-0.715069055557251,0.7228397727012634,0.02282395027577877,-0.715069055557251,0.7228397727012634,0.02282395213842392,0.01,0.0,20,20,max_iters,729,0.209613,True,recomputed,,20,110.32381354899917,151,22,157035168,d0ea4a76881fb22b0c2848903cb0cce0001b06d5,"v1|d0ea4a76881fb22b0c2848903cb0cce0001b06d5|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views151|seed0",515ca4a1ed01,2026-09-22T02:26:13
flowers,lloyd_trace,1024,0,mipnerf360,held_out,4,recomputed,lloyd,euclidean,trace_M,True,,0.0005309814210630612,,,0.0006644166334719906,0.0007265148077621045,0.0006847602495714683,0.0007399962370870449,0.7991693680038572,0.7308611130702923,21.67770767211914,0.6044685244560242,0.350911408662796,22.589757919311523,21.71820068359375,0.6069077253341675,0.34980788826942444,14296747,14300270,12796494,1499190,1063,24984,1473946,"{""means_l.png"": 3005218, ""means_u.png"": 1779331, ""meta.json"": 1063, ""opacities.png"": 525005, ""quats.png"": 3831481, ""scales.png"": 1710000, ""sh0.png"": 1945459, ""shN.npz"": 1499190}",-0.730731725692749,0.7281086444854736,0.023156195878982544,,,,,,,,,,,True,,9.360708783999144,,,151,22,157035168,d0ea4a76881fb22b0c2848903cb0cce0001b06d5,"v1|d0ea4a76881fb22b0c2848903cb0cce0001b06d5|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views151|seed0",515ca4a1ed01,2026-09-22T02:26:59
flowers,upstream_l1,1024,0,mipnerf360,held_out,4,recomputed,torchpq,manhattan,none,True,,0.0005797343722666477,,,0.000706602804913003,0.0007881587807286536,0.0007578027420198798,0.0008093217276117233,0.8204529733476287,0.735555304897679,21.59355354309082,0.6031239628791809,0.3518368601799011,22.56572723388672,21.634876251220703,0.6055893898010254,0.35073715448379517,14278203,14281789,12796494,1480646,1063,28268,1452118,"{""means_l.png"": 3005218, ""means_u.png"": 1779331, ""meta.json"": 1063, ""opacities.png"": 525005, ""quats.png"": 3831481, ""scales.png"": 1710000, ""sh0.png"": 1945459, ""shN.npz"": 1480646}",-0.575339138507843,0.5326778292655945,0.01758757047355175,,,,,,,,,,,True,,7.688618954000049,100,,151,22,157035168,d0ea4a76881fb22b0c2848903cb0cce0001b06d5,"v1|d0ea4a76881fb22b0c2848903cb0cce0001b06d5|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views151|seed0",515ca4a1ed01,2026-09-22T02:27:42
flowers,lloyd_wopa_area,4096,0,mipnerf360,held_out,4,recomputed,lloyd,euclidean,opacity_area,True,,0.0004471964914745155,,,0.0005218593101322687,0.0006040346192827212,0.0005359418414205831,0.0006128537841552315,0.8569292197952176,0.7403491078136419,21.71805191040039,0.6070893406867981,0.34844455122947693,22.723648071289062,21.760269165039062,0.609567403793335,0.3473373055458069,14598801,14602311,12796494,1801244,1063,103134,1697850,"{""means_l.png"": 3005218, ""means_u.png"": 1779331, ""meta.json"": 1063, ""opacities.png"": 525005, ""quats.png"": 3831481, ""scales.png"": 1710000, ""sh0.png"": 1945459, ""shN.npz"": 1801244}",-0.745765209197998,0.7228397727012634,0.02331119030714035,,,,,,,,,,,True,,34.78409174199987,,,151,22,157035168,d0ea4a76881fb22b0c2848903cb0cce0001b06d5,"v1|d0ea4a76881fb22b0c2848903cb0cce0001b06d5|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views151|seed0",515ca4a1ed01,2026-09-22T02:28:52
flowers,gn_vq,4096,0,mipnerf360,held_out,4,gn_vq_of_recomputed,gn_vq,mahalanobis,M_i,True,,0.0001880346211004045,0.0001833759425139452,0.00018803462108513702,0.00023743239014764101,0.0003847917433055763,0.0002406160639926503,0.0003893400986985763,0.7919501673022799,0.48866594559717397,21.808034896850586,0.6150825023651123,0.3418016731739044,22.932918548583984,21.852584838867188,0.6176257133483887,0.3406055271625519,14618485,14622092,12796494,1820928,1063,107407,1713261,"{""means_l.png"": 3005218, ""means_u.png"": 1779331, ""meta.json"": 1063, ""opacities.png"": 525005, ""quats.png"": 3831481, ""scales.png"": 1710000, ""sh0.png"": 1945459, ""shN.npz"": 1820928}",-0.745765209197998,0.7228397727012634,0.02331119030714035,-0.745765209197998,0.7228397727012634,0.0233111921697855,0.01,0.0,20,19,rel_tol,7335,0.23324899999999998,True,recomputed,,19,112.62566334000076,151,22,157035168,d0ea4a76881fb22b0c2848903cb0cce0001b06d5,"v1|d0ea4a76881fb22b0c2848903cb0cce0001b06d5|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views151|seed0",515ca4a1ed01,2026-09-22T02:31:21
flowers,lloyd_trace,4096,0,mipnerf360,held_out,4,recomputed,lloyd,euclidean,trace_M,True,,0.0004045945434723996,,,0.0004835006254720255,0.0005451996108879502,0.00049984612795831,0.0005545374816174613,0.836802523424675,0.7421035073987832,21.746723175048828,0.6087892651557922,0.3481348752975464,22.753734588623047,21.78849220275879,0.6112511157989502,0.3470049500465393,14593869,14597149,12796494,1796311,1064,103033,1693018,"{""means_l.png"": 3005218, ""means_u.png"": 1779331, ""meta.json"": 1064, ""opacities.png"": 525005, ""quats.png"": 3831481, ""scales.png"": 1710000, ""sh0.png"": 1945459, ""shN.npz"": 1796311}",-0.7826143503189087,0.7568687200546265,0.024436239153146744,,,,,,,,,,,True,,32.471341386999484,,,151,22,157035168,d0ea4a76881fb22b0c2848903cb0cce0001b06d5,"v1|d0ea4a76881fb22b0c2848903cb0cce0001b06d5|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views151|seed0",515ca4a1ed01,2026-09-22T02:32:30
flowers,upstream_l1,4096,0,mipnerf360,held_out,4,recomputed,torchpq,manhattan,none,True,,0.00045827670218635727,,,0.0005418621638707,0.0006157297109432808,0.0005632475982567225,0.000626317435399088,0.8457440521639963,0.7442822622353079,21.6717586517334,0.6072839498519897,0.3493141531944275,22.703826904296875,21.714675903320312,0.6097807884216309,0.34818100929260254,14590875,14594270,12796494,1793317,1064,109515,1683542,"{""means_l.png"": 3005218, ""means_u.png"": 1779331, ""meta.json"": 1064, ""opacities.png"": 525005, ""quats.png"": 3831481, ""scales.png"": 1710000, ""sh0.png"": 1945459, ""shN.npz"": 1793317}",-0.6974786520004272,0.6564279198646545,0.021490581333637238,,,,,,,,,,,True,,26.750214050000068,100,,151,22,157035168,d0ea4a76881fb22b0c2848903cb0cce0001b06d5,"v1|d0ea4a76881fb22b0c2848903cb0cce0001b06d5|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views151|seed0",515ca4a1ed01,2026-09-22T02:33:33
flowers,lloyd_wopa_area,16384,0,mipnerf360,held_out,4,recomputed,lloyd,euclidean,opacity_area,True,,0.0003430869424025113,,,0.00038418927869921936,0.00044726281368046136,0.0003915931126693949,0.0004536689267226557,0.8930154000239894,0.7670813041202738,21.78302764892578,0.610999584197998,0.34564828872680664,22.843830108642578,21.826560974121094,0.613497257232666,0.3444925844669342,15103556,15107369,12796494,2305998,1064,411889,1893849,"{""means_l.png"": 3005218, ""means_u.png"": 1779331, ""meta.json"": 1064, ""opacities.png"": 525005, ""quats.png"": 3831481, ""scales.png"": 1710000, ""sh0.png"": 1945459, ""shN.npz"": 2305998}",-0.7798788547515869,0.8876829743385315,0.026469234377145767,,,,,,,,,,,True,,139.22714525799893,,,151,22,157035168,d0ea4a76881fb22b0c2848903cb0cce0001b06d5,"v1|d0ea4a76881fb22b0c2848903cb0cce0001b06d5|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views151|seed0",515ca4a1ed01,2026-09-22T02:36:28
flowers,gn_vq,16384,0,mipnerf360,held_out,4,gn_vq_of_recomputed,gn_vq,mahalanobis,M_i,True,,0.0001314487673967757,0.0001251641259533994,0.00013144876744686533,0.00016109569478613134,0.00028038147676736806,0.00016333421617117168,0.0002837225223961309,0.8159669789517682,0.46882115363790056,21.853147506713867,0.6175641417503357,0.3395253121852875,23.01735496520996,21.89822006225586,0.620121419429779,0.33828556537628174,15124327,15128028,12796494,2326770,1063,424889,1901621,"{""means_l.png"": 3005218, ""means_u.png"": 1779331, ""meta.json"": 1063, ""opacities.png"": 525005, ""quats.png"": 3831481, ""scales.png"": 1710000, ""sh0.png"": 1945459, ""shN.npz"": 2326770}",-0.7798788547515869,0.830801784992218,0.025566358119249344,-0.7798788547515869,0.8876829743385315,0.026469236239790916,0.01,0.0,20,13,rel_tol,46157,0.260966,True,recomputed,,13,99.63466507200064,151,22,157035168,d0ea4a76881fb22b0c2848903cb0cce0001b06d5,"v1|d0ea4a76881fb22b0c2848903cb0cce0001b06d5|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views151|seed0",515ca4a1ed01,2026-09-22T02:38:44
