scene,config,n_clusters,seed,dataset,scene_set,data_factor,source,clustering,distance,weights,valid,invalid_reason,predicted,objective_unquantized,objective_after_quantization,measured_train_clamped,measured_test_clamped,measured_train_raw,measured_test_raw,ratio_train_clamped,ratio_test_clamped,PSNR,SSIM,LPIPS,train_PSNR,shn_only_PSNR,shn_only_SSIM,shn_only_LPIPS,size_bytes,zip_bytes,png_bytes,shN_bytes,meta_bytes,shN_centroids_bytes,shN_labels_bytes,file_bytes,quant_mins,quant_maxs,quant_step,warm_quant_mins,warm_quant_maxs,warm_quant_step,ridge_eps,fraction_outside_warm_range,vq_max_iters,vq_iterations,vq_stopped_because,clusters_rejected_by_clip,final_assignment_changed,writer_codes_equal,warm_start_source,kmeans_time_s,n_iters,vq_time_s,train_views,test_views,total_train_pixels,ckpt_sha1,gn_cache_key,gsplat_commit,timestamp
garden,lloyd_wopa_area,1024,0,mipnerf360,development,4,recomputed,lloyd,euclidean,opacity_area,True,,0.0003107003299494505,,,0.0004075467094332852,0.00040325275062791084,0.00040782236529944153,0.00040353036057110697,0.7623674115330127,0.7704853332448555,26.4735107421875,0.8292160034179688,0.16520944237709045,27.296762466430664,26.492183685302734,0.8304027318954468,0.16419516503810883,14463807,14467561,12974323,1488418,1066,26215,1461943,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1066, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 1488418}",-0.665839433670044,0.5496730208396912,0.019293850287795067,,,,,,,,,,,True,,9.029177573998822,,,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views161|seed0",515ca4a1ed01,2026-09-22T02:29:49
garden,gn_vq,1024,0,mipnerf360,development,4,gn_vq_of_recomputed,gn_vq,mahalanobis,M_i,True,,0.00011489817849517633,0.00011285332914814973,0.00011489817870317153,0.00016398685451191977,0.00017110600162623788,0.00016403966676252477,0.00017118830250597233,0.7006548106380361,0.6715029128327052,26.88092803955078,0.8426324725151062,0.15053001046180725,27.88015365600586,26.909435272216797,0.8438817858695984,0.14950668811798096,14511663,14515226,12974323,1536274,1066,27495,1508519,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1066, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 1536274}",-0.665839433670044,0.5496730208396912,0.019293850287795067,-0.665839433670044,0.5496730208396912,0.019293850287795067,0.01,0.0,20,20,max_iters,566,0.185381,True,recomputed,,20,110.15488182499939,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views161|seed0",515ca4a1ed01,2026-09-22T02:32:21
garden,lloyd_trace,1024,0,mipnerf360,development,4,recomputed,lloyd,euclidean,trace_M,True,,0.00027675951444939195,,,0.0003506340207736994,0.0003484905671400868,0.0003510037513996299,0.0003489573239929475,0.7893116413481556,0.7941664439317225,26.57168197631836,0.8326997756958008,0.16296041011810303,27.445758819580078,26.59175682067871,0.8339112997055054,0.16195282340049744,14478770,14482381,12974323,1503380,1067,25051,1478069,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1067, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 1503380}",-0.7323324084281921,0.6108106374740601,0.021319730207324028,,,,,,,,,,,True,,9.854174861000502,,,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views161|seed0",515ca4a1ed01,2026-09-22T02:33:12
garden,upstream_l1,1024,0,mipnerf360,development,4,recomputed,torchpq,manhattan,none,True,,0.0003074426636395506,,,0.00042790002409358845,0.0004209199398666088,0.00042842921368936327,0.00042164328283065216,0.7184918119385477,0.730406508508436,26.35188102722168,0.8324680328369141,0.16319596767425537,27.19904899597168,26.37924575805664,0.8337674140930176,0.1622205674648285,14479304,14482924,12974323,1503914,1067,27969,1475685,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1067, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 1503914}",-0.5142966508865356,0.4980441629886627,0.016068901866674423,,,,,,,,,,,True,,7.752108259999659,100,,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views161|seed0",515ca4a1ed01,2026-09-22T02:34:01
garden,lloyd_wopa_area,4096,0,mipnerf360,development,4,recomputed,lloyd,euclidean,opacity_area,True,,0.0002342857340052259,,,0.0002813672063968562,0.0002790502679209639,0.000281533120712091,0.0002792309102625133,0.8326689417912337,0.8395825445743103,26.69765281677246,0.834815263748169,0.16020908951759338,27.61958122253418,26.720718383789062,0.8360308408737183,0.15914541482925415,14778950,14782749,12974323,1803560,1067,96626,1706674,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1067, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 1803560}",-0.9320983290672302,0.6433840990066528,0.02500765584409237,,,,,,,,,,,True,,37.4091274679995,,,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views161|seed0",515ca4a1ed01,2026-09-22T02:35:19
garden,gn_vq,4096,0,mipnerf360,development,4,gn_vq_of_recomputed,gn_vq,mahalanobis,M_i,True,,8.28044302120664e-05,7.93077219466993e-05,8.280443027491185e-05,0.00011305184466708293,0.00011868558721867079,0.00011308184730980273,0.00011872468568018948,0.7324465200537891,0.6976789023211757,26.99587059020996,0.8452420234680176,0.14681538939476013,28.041440963745117,27.025798797607422,0.8465015292167664,0.14577463269233704,14793110,14796734,12974323,1817720,1067,101676,1715784,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1067, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 1817720}",-0.8593273758888245,0.6433840990066528,0.02385256439447403,-0.9320983290672302,0.6433840990066528,0.02500765770673752,0.01,0.0,20,20,max_iters,8220,0.23809799999999998,True,recomputed,,20,119.96848227400005,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views161|seed0",515ca4a1ed01,2026-09-22T02:37:59
garden,lloyd_trace,4096,0,mipnerf360,development,4,recomputed,lloyd,euclidean,trace_M,True,,0.0002144674494440888,,,0.00025435861390113115,0.0002544334077170186,0.0002546218678038036,0.0002547209928088004,0.8431695949068665,0.8429217348793283,26.751323699951172,0.8368844389915466,0.15924493968486786,27.701438903808594,26.774837493896484,0.8381160497665405,0.15824788808822632,14775967,14779467,12974323,1800577,1067,91648,1708669,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1067, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 1800577}",-1.1326478719711304,0.6951947212219238,0.0290133748203516,,,,,,,,,,,True,,35.16306205799992,,,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views161|seed0",515ca4a1ed01,2026-09-22T02:39:16
garden,upstream_l1,4096,0,mipnerf360,development,4,recomputed,torchpq,manhattan,none,True,,0.0002477103404322834,,,0.0003151172434117838,0.00031081843529394074,0.00031552648568539495,0.000311228532219783,0.7860894495976042,0.7969615450834631,26.570905685424805,0.8365837335586548,0.15916362404823303,27.49150276184082,26.60179901123047,0.8378691673278809,0.15813104808330536,14786210,14789869,12974323,1810820,1067,106441,1704119,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1067, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 1810820}",-0.6553758978843689,0.6197462677955627,0.02024003490805626,,,,,,,,,,,True,,27.430682317999526,100,,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views161|seed0",515ca4a1ed01,2026-09-22T02:40:24
garden,lloyd_wopa_area,16384,0,mipnerf360,development,4,recomputed,lloyd,euclidean,opacity_area,True,,0.0001789518782591019,,,0.00020010236016482002,0.0001995269262886537,0.00020022173596070519,0.00019970709599426517,0.8943016869551317,0.8968808450455149,26.846088409423828,0.8390495777130127,0.15585076808929443,27.840356826782227,26.872997283935547,0.8402841091156006,0.1548280566930771,15244312,15248205,12974323,2268922,1067,368300,1900362,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1067, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 2268922}",-1.0755430459976196,0.8082315921783447,0.029901184141635895,,,,,,,,,,,True,,160.67768155399972,,,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views161|seed0",515ca4a1ed01,2026-09-22T02:43:47
garden,gn_vq,16384,0,mipnerf360,development,4,gn_vq_of_recomputed,gn_vq,mahalanobis,M_i,True,,5.765186781524325e-05,5.237539087204254e-05,5.765186781693985e-05,7.542905547616054e-05,7.976369092068579e-05,7.544543576473752e-05,7.979265064342e-05,0.7643191002632163,0.7227833510433994,27.082393646240234,0.8473286628723145,0.14369377493858337,28.168703079223633,27.113483428955078,0.848594069480896,0.1426672786474228,15268751,15272463,12974323,2293361,1067,390998,1902103,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1067, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 2293361}",-0.9119848012924194,0.8082315921783447,0.02730502188205719,-1.0755430459976196,0.8082315921783447,0.029901186004281044,0.01,0.0,20,14,rel_tol,46574,0.261221,True,recomputed,,14,110.46752908400049,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views161|seed0",515ca4a1ed01,2026-09-22T02:46:19
