scene,config,n_clusters,seed,dataset,scene_set,data_factor,source,clustering,distance,weights,valid,invalid_reason,predicted,objective_unquantized,objective_after_quantization,measured_train_clamped,measured_test_clamped,measured_train_raw,measured_test_raw,ratio_train_clamped,ratio_test_clamped,PSNR,SSIM,LPIPS,train_PSNR,shn_only_PSNR,shn_only_SSIM,shn_only_LPIPS,size_bytes,zip_bytes,png_bytes,shN_bytes,meta_bytes,shN_centroids_bytes,shN_labels_bytes,file_bytes,quant_mins,quant_maxs,quant_step,warm_quant_mins,warm_quant_maxs,warm_quant_step,ridge_eps,fraction_outside_warm_range,vq_max_iters,vq_iterations,vq_stopped_because,clusters_rejected_by_clip,final_assignment_changed,writer_codes_equal,warm_start_source,kmeans_time_s,n_iters,vq_time_s,train_views,test_views,total_train_pixels,ckpt_sha1,gn_cache_key,gsplat_commit,timestamp
kitchen,lloyd_wopa_area,1024,0,mipnerf360,held_out,2,recomputed,lloyd,euclidean,opacity_area,True,,0.00017860881097002626,,,0.0003037028807890899,0.0003036243594257396,0.00030417005210138715,0.000304287380019583,0.5881037759864494,0.5882558675721484,29.85621452331543,0.9156269431114197,0.13539403676986694,30.543685913085938,29.912887573242188,0.9170875549316406,0.1343480348587036,13566735,13570345,12120869,1444803,1063,25836,1418707,"{""means_l.png"": 3005127, ""means_u.png"": 1593217, ""meta.json"": 1063, ""opacities.png"": 468138, ""quats.png"": 3624984, ""scales.png"": 1550733, ""sh0.png"": 1878670, ""shN.npz"": 1444803}",-0.626694917678833,0.6379144787788391,0.020073164254426956,,,,,,,,,,,True,,8.93314075499984,,,244,35,394977928,8e5e31d4a8d25f458ac55f95a72f442bde2c0f83,"v1|8e5e31d4a8d25f458ac55f95a72f442bde2c0f83|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views244|seed0",515ca4a1ed01,2026-09-22T00:48:37
kitchen,gn_vq,1024,0,mipnerf360,held_out,2,gn_vq_of_recomputed,gn_vq,mahalanobis,M_i,True,,7.18622848986082e-05,6.975478487557042e-05,7.186228479794475e-05,0.0001266906443350397,0.0001276733141828909,0.0001267133193873316,0.0001277163619723219,0.5672264536642881,0.562860652271203,30.74171257019043,0.9255102872848511,0.12530377507209778,31.564380645751953,30.814369201660156,0.9269269704818726,0.12423654645681381,13635951,13639414,12120869,1514019,1063,26673,1487086,"{""means_l.png"": 3005127, ""means_u.png"": 1593217, ""meta.json"": 1063, ""opacities.png"": 468138, ""quats.png"": 3624984, ""scales.png"": 1550733, ""sh0.png"": 1878670, ""shN.npz"": 1514019}",-0.626694917678833,0.5479738712310791,0.01864553615450859,-0.626694917678833,0.6379144787788391,0.020073166117072105,0.01,0.0,20,20,max_iters,1896,0.16031199999999998,True,recomputed,,20,109.9225791860008,244,35,394977928,8e5e31d4a8d25f458ac55f95a72f442bde2c0f83,"v1|8e5e31d4a8d25f458ac55f95a72f442bde2c0f83|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views244|seed0",515ca4a1ed01,2026-09-22T00:51:50
kitchen,lloyd_trace,1024,0,mipnerf360,held_out,2,recomputed,lloyd,euclidean,trace_M,True,,0.00014498102226652294,,,0.00023792946844386798,0.00023798883995743042,0.00023819627652929407,0.00023832966878427185,0.6093445390129415,0.6091925247102176,30.188270568847656,0.9201760292053223,0.1321757286787033,30.91659164428711,30.25391960144043,0.9215946793556213,0.13112258911132812,13612165,13615688,12120869,1490232,1064,24262,1465710,"{""means_l.png"": 3005127, ""means_u.png"": 1593217, ""meta.json"": 1064, ""opacities.png"": 468138, ""quats.png"": 3624984, ""scales.png"": 1550733, ""sh0.png"": 1878670, ""shN.npz"": 1490232}",-0.6719155311584473,0.6601036787033081,0.02114316262304783,,,,,,,,,,,True,,9.378432510000493,,,244,35,394977928,8e5e31d4a8d25f458ac55f95a72f442bde2c0f83,"v1|8e5e31d4a8d25f458ac55f95a72f442bde2c0f83|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views244|seed0",515ca4a1ed01,2026-09-22T00:53:22
kitchen,upstream_l1,1024,0,mipnerf360,held_out,2,recomputed,torchpq,manhattan,none,True,,0.00017884580563153039,,,0.0003299896021402077,0.0003326650115974309,0.0003305590393982087,0.00033340935395297197,0.5419740636419854,0.5376153169001063,29.700653076171875,0.9191884994506836,0.13327966630458832,30.3608455657959,29.762353897094727,0.9205352663993835,0.13222694396972656,13598968,13602517,12120869,1477034,1065,26900,1449874,"{""means_l.png"": 3005127, ""means_u.png"": 1593217, ""meta.json"": 1065, ""opacities.png"": 468138, ""quats.png"": 3624984, ""scales.png"": 1550733, ""sh0.png"": 1878670, ""shN.npz"": 1477034}",-0.49809738993644714,0.4933336079120636,0.015737000852823257,,,,,,,,,,,True,,7.588496804999522,100,,244,35,394977928,8e5e31d4a8d25f458ac55f95a72f442bde2c0f83,"v1|8e5e31d4a8d25f458ac55f95a72f442bde2c0f83|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views244|seed0",515ca4a1ed01,2026-09-22T00:54:52
kitchen,lloyd_wopa_area,4096,0,mipnerf360,held_out,2,recomputed,lloyd,euclidean,opacity_area,True,,0.00011966012158736922,,,0.00017190703393206823,0.00017253392828008523,0.00017210289430204622,0.00017284288616295778,0.6960746099234939,0.693545453814263,30.503122329711914,0.9222508072853088,0.1295851320028305,31.31097412109375,30.573688507080078,0.9237419366836548,0.1284911185503006,13898929,13902610,12120869,1776996,1064,95461,1681275,"{""means_l.png"": 3005127, ""means_u.png"": 1593217, ""meta.json"": 1064, ""opacities.png"": 468138, ""quats.png"": 3624984, ""scales.png"": 1550733, ""sh0.png"": 1878670, ""shN.npz"": 1776996}",-0.7619063258171082,0.6892937421798706,0.023034920915961266,,,,,,,,,,,True,,33.20040599500044,,,244,35,394977928,8e5e31d4a8d25f458ac55f95a72f442bde2c0f83,"v1|8e5e31d4a8d25f458ac55f95a72f442bde2c0f83|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views244|seed0",515ca4a1ed01,2026-09-22T00:56:48
kitchen,gn_vq,4096,0,mipnerf360,held_out,2,gn_vq_of_recomputed,gn_vq,mahalanobis,M_i,True,,5.089650404248574e-05,4.785302827020217e-05,5.089650392029999e-05,8.16232189006332e-05,8.285631531547853e-05,8.163523032718183e-05,8.287687088872882e-05,0.6235542377279475,0.6142742873454533,31.01436996459961,0.9279708862304688,0.12269563972949982,31.910070419311523,31.09246063232422,0.9294241666793823,0.12160679697990417,13921437,13924939,12120869,1799504,1064,98136,1701108,"{""means_l.png"": 3005127, ""means_u.png"": 1593217, ""meta.json"": 1064, ""opacities.png"": 468138, ""quats.png"": 3624984, ""scales.png"": 1550733, ""sh0.png"": 1878670, ""shN.npz"": 1799504}",-0.7132684588432312,0.6892937421798706,0.02226289175450802,-0.7619063258171082,0.6892937421798706,0.023034922778606415,0.01,0.0,20,17,rel_tol,11270,0.205611,True,recomputed,,17,101.18251846600106,244,35,394977928,8e5e31d4a8d25f458ac55f95a72f442bde2c0f83,"v1|8e5e31d4a8d25f458ac55f95a72f442bde2c0f83|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views244|seed0",515ca4a1ed01,2026-09-22T00:59:54
kitchen,lloyd_trace,4096,0,mipnerf360,held_out,2,recomputed,lloyd,euclidean,trace_M,True,,0.0001056291863709871,,,0.00015612479757545978,0.00015655302636630248,0.00015628594800112897,0.00015679419768569656,0.6765689244204359,0.6747182652594408,30.60265350341797,0.9238079786300659,0.12821240723133087,31.430261611938477,30.67247772216797,0.9252653121948242,0.1271732598543167,13910950,13914557,12120869,1789017,1064,97407,1691350,"{""means_l.png"": 3005127, ""means_u.png"": 1593217, ""meta.json"": 1064, ""opacities.png"": 468138, ""quats.png"": 3624984, ""scales.png"": 1550733, ""sh0.png"": 1878670, ""shN.npz"": 1789017}",-0.6900847554206848,0.6646038293838501,0.021502994000911713,,,,,,,,,,,True,,31.46372426600101,,,244,35,394977928,8e5e31d4a8d25f458ac55f95a72f442bde2c0f83,"v1|8e5e31d4a8d25f458ac55f95a72f442bde2c0f83|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views244|seed0",515ca4a1ed01,2026-09-22T01:01:50
kitchen,upstream_l1,4096,0,mipnerf360,held_out,2,recomputed,torchpq,manhattan,none,True,,0.0001399216452372382,,,0.00023098173397779882,0.0002325053894789755,0.00023128056155565088,0.000232963167886198,0.6057693083674183,0.6017995778540468,30.18010711669922,0.9225254654884338,0.12951220571994781,30.917095184326172,30.248695373535156,0.9239327907562256,0.12844593822956085,13902632,13906185,12120869,1780699,1064,104647,1675792,"{""means_l.png"": 3005127, ""means_u.png"": 1593217, ""meta.json"": 1064, ""opacities.png"": 468138, ""quats.png"": 3624984, ""scales.png"": 1550733, ""sh0.png"": 1878670, ""shN.npz"": 1780699}",-0.5642521381378174,0.5533218383789062,0.017739269882440567,,,,,,,,,,,True,,26.053631349999705,100,,244,35,394977928,8e5e31d4a8d25f458ac55f95a72f442bde2c0f83,"v1|8e5e31d4a8d25f458ac55f95a72f442bde2c0f83|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views244|seed0",515ca4a1ed01,2026-09-22T01:03:40
kitchen,lloyd_wopa_area,16384,0,mipnerf360,held_out,2,recomputed,lloyd,euclidean,opacity_area,True,,8.312505372187904e-05,,,0.00010774189162760946,0.00010906290690842686,0.00010780459402478886,0.00010915355213965182,0.771520273740746,0.7621752993588721,30.86757469177246,0.9258096218109131,0.1255345493555069,31.767492294311523,30.946191787719727,0.9272578954696655,0.12445931881666183,14402193,14405961,12120869,2280260,1064,386921,1893079,"{""means_l.png"": 3005127, ""means_u.png"": 1593217, ""meta.json"": 1064, ""opacities.png"": 468138, ""quats.png"": 3624984, ""scales.png"": 1550733, ""sh0.png"": 1878670, ""shN.npz"": 2280260}",-0.7049197554588318,0.7081910967826843,0.022430330514907837,,,,,,,,,,,True,,141.1313016239983,,,244,35,394977928,8e5e31d4a8d25f458ac55f95a72f442bde2c0f83,"v1|8e5e31d4a8d25f458ac55f95a72f442bde2c0f83|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views244|seed0",515ca4a1ed01,2026-09-22T01:07:26
kitchen,gn_vq,16384,0,mipnerf360,held_out,2,gn_vq_of_recomputed,gn_vq,mahalanobis,M_i,True,,3.451724507322137e-05,3.117380459003053e-05,3.451724495666614e-05,5.099803909651919e-05,5.194472988887969e-05,5.1004242779246815e-05,5.195501049651735e-05,0.6768347506047012,0.664499462160276,31.21419906616211,0.9298398494720459,0.12048037350177765,32.16794204711914,31.298158645629883,0.9312615394592285,0.11939599364995956,14412143,14415735,12120869,2290210,1064,393658,1896292,"{""means_l.png"": 3005127, ""means_u.png"": 1593217, ""meta.json"": 1064, ""opacities.png"": 468138, ""quats.png"": 3624984, ""scales.png"": 1550733, ""sh0.png"": 1878670, ""shN.npz"": 2290210}",-0.7049197554588318,0.7029783129692078,0.0223475880920887,-0.7049197554588318,0.7081910967826843,0.022430332377552986,0.01,0.0,20,14,rel_tol,69984,0.215505,True,recomputed,,14,107.00456080000004,244,35,394977928,8e5e31d4a8d25f458ac55f95a72f442bde2c0f83,"v1|8e5e31d4a8d25f458ac55f95a72f442bde2c0f83|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views244|seed0",515ca4a1ed01,2026-09-22T01:10:36
