scene,config,n_clusters,seed,dataset,scene_set,data_factor,source,clustering,distance,weights,valid,invalid_reason,predicted,objective_unquantized,objective_after_quantization,measured_train_clamped,measured_test_clamped,measured_train_raw,measured_test_raw,ratio_train_clamped,ratio_test_clamped,PSNR,SSIM,LPIPS,train_PSNR,shn_only_PSNR,shn_only_SSIM,shn_only_LPIPS,size_bytes,zip_bytes,png_bytes,shN_bytes,meta_bytes,shN_centroids_bytes,shN_labels_bytes,file_bytes,quant_mins,quant_maxs,quant_step,warm_quant_mins,warm_quant_maxs,warm_quant_step,ridge_eps,fraction_outside_warm_range,vq_max_iters,vq_iterations,vq_stopped_because,clusters_rejected_by_clip,final_assignment_changed,writer_codes_equal,warm_start_source,kmeans_time_s,n_iters,vq_time_s,train_views,test_views,total_train_pixels,ckpt_sha1,gn_cache_key,gsplat_commit,timestamp
stump,lloyd_wopa_area,1024,0,mipnerf360,held_out,4,recomputed,lloyd,euclidean,opacity_area,True,,0.0003016004030625655,,,0.0004350803536112123,0.0005311888339032442,0.0004394319619378499,0.0005332227359539142,0.6932062102074954,0.5677837782213281,26.15489959716797,0.7635020017623901,0.24187612533569336,26.21309471130371,26.19491958618164,0.7656590342521667,0.24039995670318604,13686312,13689499,12224579,1460668,1065,21743,1438665,"{""means_l.png"": 3005216, ""means_u.png"": 1667260, ""meta.json"": 1065, ""opacities.png"": 493624, ""quats.png"": 3752531, ""scales.png"": 1609493, ""sh0.png"": 1696455, ""shN.npz"": 1460668}",-0.9359953999519348,0.9962431788444519,0.03067045286297798,,,,,,,,,,,True,,10.041074106999986,,,109,16,111866700,52715bdb81d53bf3793b4052e6ed656458d74fb3,"v1|52715bdb81d53bf3793b4052e6ed656458d74fb3|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views109|seed0",515ca4a1ed01,2026-09-21T23:45:27
stump,gn_vq,1024,0,mipnerf360,held_out,4,gn_vq_of_recomputed,gn_vq,mahalanobis,M_i,True,,0.0001085491527682066,0.00010439478731730903,0.00010854915310332821,0.00015977937643311992,0.0002775486799265245,0.00015993899228864504,0.00027760182225818384,0.6793689848554569,0.39109951017220773,26.60077667236328,0.7771809101104736,0.23055705428123474,26.915775299072266,26.64788246154785,0.7794411182403564,0.22908730804920197,13757202,13760350,12224579,1531558,1065,23841,1507457,"{""means_l.png"": 3005216, ""means_u.png"": 1667260, ""meta.json"": 1065, ""opacities.png"": 493624, ""quats.png"": 3752531, ""scales.png"": 1609493, ""sh0.png"": 1696455, ""shN.npz"": 1531558}",-0.9233338236808777,0.9962431788444519,0.03046947531402111,-0.9359953999519348,0.9962431788444519,0.03067045472562313,0.01,0.0,20,20,max_iters,1192,0.265065,True,recomputed,,20,112.27744529499978,109,16,111866700,52715bdb81d53bf3793b4052e6ed656458d74fb3,"v1|52715bdb81d53bf3793b4052e6ed656458d74fb3|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views109|seed0",515ca4a1ed01,2026-09-21T23:47:48
stump,lloyd_trace,1024,0,mipnerf360,held_out,4,recomputed,lloyd,euclidean,trace_M,True,,0.0002637182345213732,,,0.00034337959017483624,0.00037794425587794135,0.0003479637829532111,0.0003784615091331778,0.7680078900062103,0.6977701881161599,26.400230407714844,0.7697814702987671,0.23747040331363678,26.531034469604492,26.44329071044922,0.7719149589538574,0.23605580627918243,13722873,13726018,12224579,1497229,1065,18205,1478764,"{""means_l.png"": 3005216, ""means_u.png"": 1667260, ""meta.json"": 1065, ""opacities.png"": 493624, ""quats.png"": 3752531, ""scales.png"": 1609493, ""sh0.png"": 1696455, ""shN.npz"": 1497229}",-1.1296509504318237,1.2193080186843872,0.03728506341576576,,,,,,,,,,,True,,10.52264001200001,,,109,16,111866700,52715bdb81d53bf3793b4052e6ed656458d74fb3,"v1|52715bdb81d53bf3793b4052e6ed656458d74fb3|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views109|seed0",515ca4a1ed01,2026-09-21T23:48:27
stump,upstream_l1,1024,0,mipnerf360,held_out,4,recomputed,torchpq,manhattan,none,True,,0.00028636666320735874,,,0.00037020806467371416,0.00038918951871888156,0.0003746740966314555,0.0003896718647289144,0.773528970687741,0.7358026088421112,26.34992218017578,0.7693730592727661,0.2384367138147354,26.47669219970703,26.392749786376953,0.7715853452682495,0.2370789349079132,13709416,13712422,12224579,1483772,1065,21006,1462506,"{""means_l.png"": 3005216, ""means_u.png"": 1667260, ""meta.json"": 1065, ""opacities.png"": 493624, ""quats.png"": 3752531, ""scales.png"": 1609493, ""sh0.png"": 1696455, ""shN.npz"": 1483772}",-0.7267937660217285,0.8005589246749878,0.02424369379878044,,,,,,,,,,,True,,8.177151150999634,100,,109,16,111866700,52715bdb81d53bf3793b4052e6ed656458d74fb3,"v1|52715bdb81d53bf3793b4052e6ed656458d74fb3|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views109|seed0",515ca4a1ed01,2026-09-21T23:49:04
stump,lloyd_wopa_area,4096,0,mipnerf360,held_out,4,recomputed,lloyd,euclidean,opacity_area,True,,0.0002109083134148416,,,0.0002617261857823273,0.00031742550619142355,0.0002648530085050162,0.00031880936387546386,0.8058357354821579,0.6644340461023106,26.47684097290039,0.7717146873474121,0.2355266511440277,26.707111358642578,26.521728515625,0.7739170789718628,0.23410362005233765,14016036,14018768,12224579,1790393,1064,87079,1703054,"{""means_l.png"": 3005216, ""means_u.png"": 1667260, ""meta.json"": 1064, ""opacities.png"": 493624, ""quats.png"": 3752531, ""scales.png"": 1609493, ""sh0.png"": 1696455, ""shN.npz"": 1790393}",-0.959101140499115,0.9962431788444519,0.031037211418151855,,,,,,,,,,,True,,41.312218199999734,,,109,16,111866700,52715bdb81d53bf3793b4052e6ed656458d74fb3,"v1|52715bdb81d53bf3793b4052e6ed656458d74fb3|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views109|seed0",515ca4a1ed01,2026-09-21T23:50:15
stump,gn_vq,4096,0,mipnerf360,held_out,4,gn_vq_of_recomputed,gn_vq,mahalanobis,M_i,True,,7.944942507922124e-05,7.48449294451498e-05,7.944942530803086e-05,0.00011345842855038994,0.00020512351060434383,0.00011353912218927088,0.0002051543922284649,0.7002514144987969,0.3873248115008557,26.688861846923828,0.7797423005104065,0.2280217707157135,27.08500099182129,26.737468719482422,0.7820084095001221,0.2265436351299286,14035146,14038323,12224579,1809502,1065,93433,1715809,"{""means_l.png"": 3005216, ""means_u.png"": 1667260, ""meta.json"": 1065, ""opacities.png"": 493624, ""quats.png"": 3752531, ""scales.png"": 1609493, ""sh0.png"": 1696455, ""shN.npz"": 1809502}",-0.9233338236808777,0.9962431788444519,0.03046947531402111,-0.959101140499115,0.9962431788444519,0.031037213280797005,0.01,0.0,20,20,rel_tol,11025,0.295435,True,recomputed,,20,120.66750693799986,109,16,111866700,52715bdb81d53bf3793b4052e6ed656458d74fb3,"v1|52715bdb81d53bf3793b4052e6ed656458d74fb3|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views109|seed0",515ca4a1ed01,2026-09-21T23:52:44
stump,lloyd_trace,4096,0,mipnerf360,held_out,4,recomputed,lloyd,euclidean,trace_M,True,,0.00020134948676076982,,,0.0002480048725489421,0.00027504053428882314,0.00025067554093227576,0.0002752443383399255,0.8118771405228535,0.7320720463309255,26.536643981933594,0.7736872434616089,0.23449325561523438,26.782360076904297,26.582515716552734,0.7758569717407227,0.232980877161026,13998853,14000928,12224579,1773209,1065,76062,1696887,"{""means_l.png"": 3005216, ""means_u.png"": 1667260, ""meta.json"": 1065, ""opacities.png"": 493624, ""quats.png"": 3752531, ""scales.png"": 1609493, ""sh0.png"": 1696455, ""shN.npz"": 1773209}",-1.1762802600860596,1.2681442499160767,0.03880039229989052,,,,,,,,,,,True,,32.51933230500072,,,109,16,111866700,52715bdb81d53bf3793b4052e6ed656458d74fb3,"v1|52715bdb81d53bf3793b4052e6ed656458d74fb3|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views109|seed0",515ca4a1ed01,2026-09-21T23:53:45
stump,upstream_l1,4096,0,mipnerf360,held_out,4,recomputed,torchpq,manhattan,none,True,,0.00023509709158243586,,,0.00027865199407210364,0.0002999576710659343,0.00028355166880135555,0.0003002536257043028,0.843694273085311,0.783767558759178,26.455196380615234,0.7729589939117432,0.23571568727493286,26.71726417541504,26.50029754638672,0.7751755714416504,0.23430383205413818,13990346,13991848,12224579,1764704,1063,79340,1685104,"{""means_l.png"": 3005216, ""means_u.png"": 1667260, ""meta.json"": 1063, ""opacities.png"": 493624, ""quats.png"": 3752531, ""scales.png"": 1609493, ""sh0.png"": 1696455, ""shN.npz"": 1764704}",-0.9460123777389526,1.03871750831604,0.031503647565841675,,,,,,,,,,,True,,28.306710617000135,100,,109,16,111866700,52715bdb81d53bf3793b4052e6ed656458d74fb3,"v1|52715bdb81d53bf3793b4052e6ed656458d74fb3|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views109|seed0",515ca4a1ed01,2026-09-21T23:54:42
stump,lloyd_wopa_area,16384,0,mipnerf360,held_out,4,recomputed,lloyd,euclidean,opacity_area,True,,0.000155737148365065,,,0.00017769366721496888,0.0002112464728443739,0.0001799737351543005,0.00021193316229991028,0.8764361206899878,0.7372295795906479,26.5992431640625,0.7761699557304382,0.23218266665935516,26.97533416748047,26.64620590209961,0.7784000635147095,0.2308417558670044,14488269,14488649,12224579,2262626,1064,367964,1894402,"{""means_l.png"": 3005216, ""means_u.png"": 1667260, ""meta.json"": 1064, ""opacities.png"": 493624, ""quats.png"": 3752531, ""scales.png"": 1609493, ""sh0.png"": 1696455, ""shN.npz"": 2262626}",-0.959101140499115,0.9951816201210022,0.031020361930131912,,,,,,,,,,,True,,170.4179061599998,,,109,16,111866700,52715bdb81d53bf3793b4052e6ed656458d74fb3,"v1|52715bdb81d53bf3793b4052e6ed656458d74fb3|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views109|seed0",515ca4a1ed01,2026-09-21T23:58:02
stump,gn_vq,16384,0,mipnerf360,held_out,4,gn_vq_of_recomputed,gn_vq,mahalanobis,M_i,True,,5.407476530160839e-05,4.9061713960039164e-05,5.4074765446282216e-05,7.37353218350371e-05,0.00014026111013490554,7.37973470433612e-05,0.00014030165438858462,0.7333631149340625,0.3855292835597719,26.75824546813965,0.7821044921875,0.2252650409936905,27.24811363220215,26.808799743652344,0.7843992710113525,0.22374512255191803,14511481,14514751,12224579,2285837,1065,384785,1900792,"{""means_l.png"": 3005216, ""means_u.png"": 1667260, ""meta.json"": 1065, ""opacities.png"": 493624, ""quats.png"": 3752531, ""scales.png"": 1609493, ""sh0.png"": 1696455, ""shN.npz"": 2285837}",-0.9227957725524902,0.9951816201210022,0.030444083735346794,-0.959101140499115,0.9951816201210022,0.03102036379277706,0.01,0.0,20,13,rel_tol,52998,0.301857,True,recomputed,,13,103.49676947300031,109,16,111866700,52715bdb81d53bf3793b4052e6ed656458d74fb3,"v1|52715bdb81d53bf3793b4052e6ed656458d74fb3|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views109|seed0",515ca4a1ed01,2026-09-22T00:00:15
stump,lloyd_trace,16384,0,mipnerf360,held_out,4,recomputed,lloyd,euclidean,trace_M,True,,0.00014694007170268315,,,0.0001715356823563081,0.0001958432628082683,0.0001732952286552781,0.00019594214019578185,0.8566151933185786,0.750294238339658,26.631622314453125,0.7772359848022461,0.23140645027160645,27.008771896362305,26.679439544677734,0.7794370651245117,0.2300381362438202,14451977,14450724,12224579,2226333,1065,334073,1892000,"{""means_l.png"": 3005216, ""means_u.png"": 1667260, ""meta.json"": 1065, ""opacities.png"": 493624, ""quats.png"": 3752531, ""scales.png"": 1609493, ""sh0.png"": 1696455, ""shN.npz"": 2226333}",-1.1762802600860596,1.2681442499160767,0.03880039229989052,,,,,,,,,,,True,,95.29482062400075,,,109,16,111866700,52715bdb81d53bf3793b4052e6ed656458d74fb3,"v1|52715bdb81d53bf3793b4052e6ed656458d74fb3|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views109|seed0",515ca4a1ed01,2026-09-22T00:02:19
stump,upstream_l1,16384,0,mipnerf360,held_out,4,recomputed,torchpq,manhattan,none,True,,0.00018222868471231326,,,0.00020387431991030852,0.0002258289058952,0.0002074828743235664,0.00022638892168202164,0.8938285351116416,0.8069325048976671,26.56214714050293,0.7761938571929932,0.2326596975326538,26.914939880371094,26.609455108642578,0.7784693241119385,0.23123152554035187,14463471,14458874,12224579,2237827,1065,349803,1887764,"{""means_l.png"": 3005216, ""means_u.png"": 1667260, ""meta.json"": 1065, ""opacities.png"": 493624, ""quats.png"": 3752531, ""scales.png"": 1609493, ""sh0.png"": 1696455, ""shN.npz"": 2237827}",-0.9883490204811096,1.0800111293792725,0.032831113785505295,,,,,,,,,,,True,,108.16460626699973,100,,109,16,111866700,52715bdb81d53bf3793b4052e6ed656458d74fb3,"v1|52715bdb81d53bf3793b4052e6ed656458d74fb3|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views109|seed0",515ca4a1ed01,2026-09-22T00:04:36
