scene,config,n_clusters,seed,dataset,scene_set,data_factor,source,clustering,distance,weights,valid,invalid_reason,predicted,objective_unquantized,objective_after_quantization,measured_train_clamped,measured_test_clamped,measured_train_raw,measured_test_raw,ratio_train_clamped,ratio_test_clamped,PSNR,SSIM,LPIPS,train_PSNR,shn_only_PSNR,shn_only_SSIM,shn_only_LPIPS,size_bytes,zip_bytes,png_bytes,shN_bytes,meta_bytes,shN_centroids_bytes,shN_labels_bytes,file_bytes,quant_mins,quant_maxs,quant_step,warm_quant_mins,warm_quant_maxs,warm_quant_step,ridge_eps,fraction_outside_warm_range,vq_max_iters,vq_iterations,vq_stopped_because,clusters_rejected_by_clip,final_assignment_changed,writer_codes_equal,warm_start_source,kmeans_time_s,n_iters,vq_time_s,train_views,test_views,total_train_pixels,ckpt_sha1,gn_cache_key,gsplat_commit,timestamp
train,lloyd_wopa_area,1024,0,tandt,held_out,1,recomputed,lloyd,euclidean,opacity_area,True,,0.0004141401366877753,,,0.0007654823438723832,0.0007396973588454919,0.0007819142878874628,0.0007560539915910415,0.5410185355716296,0.5598778091274501,21.873933792114258,0.811849057674408,0.20646442472934723,24.261812210083008,21.898725509643555,0.8136743307113647,0.20494075119495392,13909854,13913129,12522704,1386081,1069,25491,1360330,"{""means_l.png"": 3005077, ""means_u.png"": 1728070, ""meta.json"": 1069, ""opacities.png"": 506567, ""quats.png"": 3791429, ""scales.png"": 1673056, ""sh0.png"": 1818505, ""shN.npz"": 1386081}",-0.7997933626174927,0.7365152835845947,0.024385850876569748,,,,,,,,,,,True,,7.953631100999928,,,263,38,140468300,15394ef18333d9edd61facf46874238b45e84de7,"v1|15394ef18333d9edd61facf46874238b45e84de7|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views263|seed0",515ca4a1ed01,2026-09-21T23:07:03
train,gn_vq,1024,0,tandt,held_out,1,gn_vq_of_recomputed,gn_vq,mahalanobis,M_i,True,,9.15504336324961e-05,8.836527148863821e-05,9.155043346930911e-05,0.00015648139867789485,0.0001779064244621013,0.00016050858346082015,0.00018240480826966102,0.5850563351682826,0.5145988061381039,22.31535530090332,0.8237773776054382,0.19420677423477173,25.121858596801758,22.34248161315918,0.8256291747093201,0.19261616468429565,14028563,14032030,12522704,1504790,1069,27513,1477017,"{""means_l.png"": 3005077, ""means_u.png"": 1728070, ""meta.json"": 1069, ""opacities.png"": 506567, ""quats.png"": 3791429, ""scales.png"": 1673056, ""sh0.png"": 1818505, ""shN.npz"": 1504790}",-0.7247668504714966,0.6548108458518982,0.0218980573117733,-0.7997933626174927,0.7365152835845947,0.024385852739214897,0.01,0.0,20,20,max_iters,1043,0.22471,True,recomputed,,20,110.91240400499987,263,38,140468300,15394ef18333d9edd61facf46874238b45e84de7,"v1|15394ef18333d9edd61facf46874238b45e84de7|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views263|seed0",515ca4a1ed01,2026-09-21T23:09:28
train,lloyd_trace,1024,0,tandt,held_out,1,recomputed,lloyd,euclidean,trace_M,True,,0.00025997512610058567,,,0.0004332079175139205,0.00042768796644171073,0.00044637469134697043,0.00044168582782135095,0.600116285022034,0.6078616807097318,22.18317985534668,0.8175321221351624,0.20248107612133026,24.735172271728516,22.206674575805664,0.8193095326423645,0.20091235637664795,13960593,13964066,12522704,1436820,1069,24046,1412514,"{""means_l.png"": 3005077, ""means_u.png"": 1728070, ""meta.json"": 1069, ""opacities.png"": 506567, ""quats.png"": 3791429, ""scales.png"": 1673056, ""sh0.png"": 1818505, ""shN.npz"": 1436820}",-0.8026535511016846,0.7433209419250488,0.024539276957511902,,,,,,,,,,,True,,9.034204713000008,,,263,38,140468300,15394ef18333d9edd61facf46874238b45e84de7,"v1|15394ef18333d9edd61facf46874238b45e84de7|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views263|seed0",515ca4a1ed01,2026-09-21T23:10:11
train,upstream_l1,1024,0,tandt,held_out,1,recomputed,torchpq,manhattan,none,True,,0.0003637954802643489,,,0.0007282788109757929,0.0007177807556453354,0.0007504778437215339,0.0007400277319092815,0.49952775610334355,0.5068337057006651,21.864580154418945,0.8164342641830444,0.20393310487270355,24.28009796142578,21.893871307373047,0.8182632327079773,0.20231395959854126,13942933,13946251,12522704,1419160,1069,21955,1396945,"{""means_l.png"": 3005077, ""means_u.png"": 1728070, ""meta.json"": 1069, ""opacities.png"": 506567, ""quats.png"": 3791429, ""scales.png"": 1673056, ""sh0.png"": 1818505, ""shN.npz"": 1419160}",-0.7771012187004089,0.7403222918510437,0.024086087942123413,,,,,,,,,,,True,,7.850964580000209,100,,263,38,140468300,15394ef18333d9edd61facf46874238b45e84de7,"v1|15394ef18333d9edd61facf46874238b45e84de7|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views263|seed0",515ca4a1ed01,2026-09-21T23:10:53
train,lloyd_wopa_area,4096,0,tandt,held_out,1,recomputed,lloyd,euclidean,opacity_area,True,,0.0002546007708800606,,,0.0003753585114434849,0.0003659499658490338,0.0003851166473759278,0.0003756776338070418,0.6782869260136494,0.6957256309325403,22.192440032958984,0.8178490400314331,0.20090048015117645,24.840999603271484,22.219112396240234,0.8196738362312317,0.199379101395607,14265356,14269015,12522704,1741583,1069,96682,1644641,"{""means_l.png"": 3005077, ""means_u.png"": 1728070, ""meta.json"": 1069, ""opacities.png"": 506567, ""quats.png"": 3791429, ""scales.png"": 1673056, ""sh0.png"": 1818505, ""shN.npz"": 1741583}",-0.8320969939231873,0.7672021389007568,0.025385702028870583,,,,,,,,,,,True,,34.38925166800004,,,263,38,140468300,15394ef18333d9edd61facf46874238b45e84de7,"v1|15394ef18333d9edd61facf46874238b45e84de7|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views263|seed0",515ca4a1ed01,2026-09-21T23:12:02
train,gn_vq,4096,0,tandt,held_out,1,gn_vq_of_recomputed,gn_vq,mahalanobis,M_i,True,,5.8945335653842325e-05,5.433592534080684e-05,5.8945335705980246e-05,9.384572967907932e-05,0.00010875007553373504,9.610369686369121e-05,0.00011129962145829946,0.6281088745904098,0.5420256985068214,22.37835121154785,0.8256205916404724,0.19210460782051086,25.24793815612793,22.40492057800293,0.8274443745613098,0.19052791595458984,14324766,14328281,12522704,1800993,1069,101542,1699191,"{""means_l.png"": 3005077, ""means_u.png"": 1728070, ""meta.json"": 1069, ""opacities.png"": 506567, ""quats.png"": 3791429, ""scales.png"": 1673056, ""sh0.png"": 1818505, ""shN.npz"": 1800993}",-0.8117688894271851,0.7672021389007568,0.025063032284379005,-0.8320969939231873,0.7672021389007568,0.025385702028870583,0.01,0.0,20,20,max_iters,13551,0.326466,True,recomputed,,20,119.19267383199985,263,38,140468300,15394ef18333d9edd61facf46874238b45e84de7,"v1|15394ef18333d9edd61facf46874238b45e84de7|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views263|seed0",515ca4a1ed01,2026-09-21T23:14:35
train,lloyd_trace,4096,0,tandt,held_out,1,recomputed,lloyd,euclidean,trace_M,True,,0.0001758889411063368,,,0.0002588577786934471,0.0002565253200471553,0.0002669065320342917,0.0002655962602445134,0.6794809952944612,0.6856591820020118,22.29079818725586,0.8208920359611511,0.19906191527843475,25.023256301879883,22.314903259277344,0.8226915597915649,0.19752094149589539,14277516,14280775,12522704,1753743,1069,94013,1659470,"{""means_l.png"": 3005077, ""means_u.png"": 1728070, ""meta.json"": 1069, ""opacities.png"": 506567, ""quats.png"": 3791429, ""scales.png"": 1673056, ""sh0.png"": 1818505, ""shN.npz"": 1753743}",-0.8089682459831238,0.7950584888458252,0.02546074241399765,,,,,,,,,,,True,,32.3196180660002,,,263,38,140468300,15394ef18333d9edd61facf46874238b45e84de7,"v1|15394ef18333d9edd61facf46874238b45e84de7|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views263|seed0",515ca4a1ed01,2026-09-21T23:15:42
train,upstream_l1,4096,0,tandt,held_out,1,recomputed,torchpq,manhattan,none,True,,0.00027316536268295807,,,0.00043221823720778315,0.0004256843146958981,0.00044899500682753473,0.0004413323689585485,0.6320079514637358,0.6417087810202801,22.093006134033203,0.8198288679122925,0.19974547624588013,24.718643188476562,22.11834716796875,0.8216604590415955,0.19822852313518524,14248903,14251342,12522704,1725130,1069,91894,1632976,"{""means_l.png"": 3005077, ""means_u.png"": 1728070, ""meta.json"": 1069, ""opacities.png"": 506567, ""quats.png"": 3791429, ""scales.png"": 1673056, ""sh0.png"": 1818505, ""shN.npz"": 1725130}",-0.7985993027687073,0.7610214948654175,0.02475588582456112,,,,,,,,,,,True,,26.470800688000054,100,,263,38,140468300,15394ef18333d9edd61facf46874238b45e84de7,"v1|15394ef18333d9edd61facf46874238b45e84de7|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views263|seed0",515ca4a1ed01,2026-09-21T23:16:43
train,lloyd_wopa_area,16384,0,tandt,held_out,1,recomputed,lloyd,euclidean,opacity_area,True,,0.00016371326808439782,,,0.0002032764334802516,0.0001985950574993737,0.00020916315584419804,0.00020439359631812311,0.8053725918026924,0.8243572128420875,22.34087371826172,0.8221431374549866,0.19697687029838562,25.118330001831055,22.365392684936523,0.823927104473114,0.19539949297904968,14788508,14791918,12522704,2264735,1069,375502,1888973,"{""means_l.png"": 3005077, ""means_u.png"": 1728070, ""meta.json"": 1069, ""opacities.png"": 506567, ""quats.png"": 3791429, ""scales.png"": 1673056, ""sh0.png"": 1818505, ""shN.npz"": 2264735}",-0.8320969343185425,0.8058640956878662,0.02599938213825226,,,,,,,,,,,True,,141.8136340860001,,,263,38,140468300,15394ef18333d9edd61facf46874238b45e84de7,"v1|15394ef18333d9edd61facf46874238b45e84de7|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views263|seed0",515ca4a1ed01,2026-09-21T23:19:39
train,gn_vq,16384,0,tandt,held_out,1,gn_vq_of_recomputed,gn_vq,mahalanobis,M_i,True,,3.603488299184532e-05,3.102563749314547e-05,3.6034883062088263e-05,5.2368504467056464e-05,6.191382274866016e-05,5.376479048978344e-05,6.347004189504416e-05,0.6881021972761097,0.582016767695468,22.420652389526367,0.8269874453544617,0.1904471516609192,25.338462829589844,22.447315216064453,0.8288207054138184,0.18886904418468475,14809316,14812925,12522704,2285543,1069,389803,1895480,"{""means_l.png"": 3005077, ""means_u.png"": 1728070, ""meta.json"": 1069, ""opacities.png"": 506567, ""quats.png"": 3791429, ""scales.png"": 1673056, ""sh0.png"": 1818505, ""shN.npz"": 2285543}",-0.8320969343185425,0.8058640956878662,0.02599938213825226,-0.8320969343185425,0.8058640956878662,0.02599938213825226,0.01,0.0,20,15,rel_tol,81499,0.32870299999999997,True,recomputed,,15,115.44275616999994,263,38,140468300,15394ef18333d9edd61facf46874238b45e84de7,"v1|15394ef18333d9edd61facf46874238b45e84de7|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views263|seed0",515ca4a1ed01,2026-09-21T23:22:10
