scene,config,n_clusters,seed,dataset,scene_set,data_factor,source,clustering,distance,weights,valid,invalid_reason,predicted,objective_unquantized,objective_after_quantization,measured_train_clamped,measured_test_clamped,measured_train_raw,measured_test_raw,ratio_train_clamped,ratio_test_clamped,PSNR,SSIM,LPIPS,train_PSNR,shn_only_PSNR,shn_only_SSIM,shn_only_LPIPS,size_bytes,zip_bytes,png_bytes,shN_bytes,meta_bytes,shN_centroids_bytes,shN_labels_bytes,file_bytes,quant_mins,quant_maxs,quant_step,warm_quant_mins,warm_quant_maxs,warm_quant_step,ridge_eps,fraction_outside_warm_range,vq_max_iters,vq_iterations,vq_stopped_because,clusters_rejected_by_clip,final_assignment_changed,writer_codes_equal,warm_start_source,kmeans_time_s,n_iters,vq_time_s,train_views,test_views,total_train_pixels,ckpt_sha1,gn_cache_key,gsplat_commit,timestamp
truck,lloyd_wopa_area,1024,0,tandt,held_out,1,recomputed,lloyd,euclidean,opacity_area,True,,0.00019731514930454092,,,0.00040499841004483424,0.0004007303713073058,0.00041019103008176885,0.00040635852144901315,0.4871998121738248,0.49238880662036716,25.338029861450195,0.8755648732185364,0.14448946714401245,26.483932495117188,25.364757537841797,0.8767058253288269,0.14342516660690308,14305152,14308786,12854629,1449463,1060,24109,1425094,"{""means_l.png"": 3004711, ""means_u.png"": 1853904, ""meta.json"": 1060, ""opacities.png"": 531920, ""quats.png"": 3809009, ""scales.png"": 1727788, ""sh0.png"": 1927297, ""shN.npz"": 1449463}",-0.7456351518630981,0.7822856307029724,0.02425270900130272,,,,,,,,,,,True,,7.338005919999887,,,219,32,117062946,4b9c9babe37cf16db99d286be8e6af805a776d6c,"v1|4b9c9babe37cf16db99d286be8e6af805a776d6c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views219|seed0",515ca4a1ed01,2026-09-21T23:03:33
truck,gn_vq,1024,0,tandt,held_out,1,gn_vq_of_recomputed,gn_vq,mahalanobis,M_i,True,,4.57968876961026e-05,4.368111826455599e-05,4.579688781412359e-05,9.876440783754191e-05,0.00010467625818234466,9.986469767787284e-05,0.00010593468948455469,0.4636982967734099,0.4375097896251223,25.76947021484375,0.8852196335792542,0.13244929909706116,27.138574600219727,25.806312561035156,0.886407196521759,0.13143298029899597,14383306,14386769,12854629,1527617,1060,25805,1501552,"{""means_l.png"": 3004711, ""means_u.png"": 1853904, ""meta.json"": 1060, ""opacities.png"": 531920, ""quats.png"": 3809009, ""scales.png"": 1727788, ""sh0.png"": 1927297, ""shN.npz"": 1527617}",-0.6959364414215088,0.6731738448143005,0.0217319093644619,-0.7456351518630981,0.7822856307029724,0.02425271086394787,0.01,0.0,20,20,max_iters,1363,0.286556,True,recomputed,,20,112.54828871600012,219,32,117062946,4b9c9babe37cf16db99d286be8e6af805a776d6c,"v1|4b9c9babe37cf16db99d286be8e6af805a776d6c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views219|seed0",515ca4a1ed01,2026-09-21T23:05:57
truck,lloyd_trace,1024,0,tandt,held_out,1,recomputed,lloyd,euclidean,trace_M,True,,0.0001536352483217708,,,0.00027950616085393385,0.0002731061583601573,0.000284084548915595,0.00027817188966846977,0.5496667688912178,0.5625477259255544,25.56854820251465,0.8787535429000854,0.1416923701763153,26.787023544311523,25.605728149414062,0.8799068927764893,0.14064916968345642,14316555,14320065,12854629,1460866,1060,22507,1438099,"{""means_l.png"": 3004711, ""means_u.png"": 1853904, ""meta.json"": 1060, ""opacities.png"": 531920, ""quats.png"": 3809009, ""scales.png"": 1727788, ""sh0.png"": 1927297, ""shN.npz"": 1460866}",-0.7350618243217468,0.7723401188850403,0.02392701432108879,,,,,,,,,,,True,,6.73742940499983,,,219,32,117062946,4b9c9babe37cf16db99d286be8e6af805a776d6c,"v1|4b9c9babe37cf16db99d286be8e6af805a776d6c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views219|seed0",515ca4a1ed01,2026-09-21T23:06:35
truck,upstream_l1,1024,0,tandt,held_out,1,recomputed,torchpq,manhattan,none,True,,0.0001749398335940549,,,0.0003348699987690924,0.0003228129568149905,0.0003424067024681573,0.000331133659159474,0.5224111871385756,0.54192320940301,25.456985473632812,0.8789317011833191,0.1405816674232483,26.636341094970703,25.47738265991211,0.8800672292709351,0.13958819210529327,14301185,14304570,12854629,1445497,1059,24875,1420362,"{""means_l.png"": 3004711, ""means_u.png"": 1853904, ""meta.json"": 1059, ""opacities.png"": 531920, ""quats.png"": 3809009, ""scales.png"": 1727788, ""sh0.png"": 1927297, ""shN.npz"": 1445497}",-0.4921056926250458,0.583210289478302,0.01706850714981556,,,,,,,,,,,True,,96.80588400299985,100,,219,32,117062946,4b9c9babe37cf16db99d286be8e6af805a776d6c,"v1|4b9c9babe37cf16db99d286be8e6af805a776d6c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views219|seed0",515ca4a1ed01,2026-09-21T23:08:42
truck,lloyd_wopa_area,4096,0,tandt,held_out,1,recomputed,lloyd,euclidean,opacity_area,True,,0.00013381899851112422,,,0.00022877428846057604,0.00022452910012454112,0.00023212263923547507,0.0002281562893211798,0.5849389781150377,0.5959984627244215,25.60150718688965,0.8798263669013977,0.14000853896141052,26.883262634277344,25.635822296142578,0.880990743637085,0.1389690637588501,14633336,14636984,12854629,1777648,1059,94644,1682744,"{""means_l.png"": 3004711, ""means_u.png"": 1853904, ""meta.json"": 1059, ""opacities.png"": 531920, ""quats.png"": 3809009, ""scales.png"": 1727788, ""sh0.png"": 1927297, ""shN.npz"": 1777648}",-0.7470223307609558,0.783758282661438,0.024298103526234627,,,,,,,,,,,True,,29.158362045000104,,,219,32,117062946,4b9c9babe37cf16db99d286be8e6af805a776d6c,"v1|4b9c9babe37cf16db99d286be8e6af805a776d6c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views219|seed0",515ca4a1ed01,2026-09-21T23:09:42
truck,gn_vq,4096,0,tandt,held_out,1,gn_vq_of_recomputed,gn_vq,mahalanobis,M_i,True,,2.9370268023522472e-05,2.6555078281854488e-05,2.9370268027209627e-05,5.7974837306810886e-05,6.283964600871087e-05,5.856571583280711e-05,6.349499781428522e-05,0.5066037161620814,0.46738436463265803,25.836959838867188,0.8865391612052917,0.1306554228067398,27.25428009033203,25.874847412109375,0.8877209424972534,0.12962254881858826,14663980,14667539,12854629,1808293,1058,97394,1710639,"{""means_l.png"": 3004711, ""means_u.png"": 1853904, ""meta.json"": 1058, ""opacities.png"": 531920, ""quats.png"": 3809009, ""scales.png"": 1727788, ""sh0.png"": 1927297, ""shN.npz"": 1808293}",-0.7175618410110474,0.77048659324646,0.023619815707206726,-0.7470223307609558,0.783758282661438,0.024298105388879776,0.01,0.0,20,19,rel_tol,14990,0.364809,True,recomputed,,19,115.12247508500013,219,32,117062946,4b9c9babe37cf16db99d286be8e6af805a776d6c,"v1|4b9c9babe37cf16db99d286be8e6af805a776d6c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views219|seed0",515ca4a1ed01,2026-09-21T23:12:09
truck,lloyd_trace,4096,0,tandt,held_out,1,recomputed,lloyd,euclidean,trace_M,True,,0.00010536370025612117,,,0.00017258339794707706,0.0001708093136634041,0.00017540514080404673,0.000173837454355605,0.6105088989407376,0.6168498543571828,25.711992263793945,0.8816945552825928,0.13803304731845856,27.026500701904297,25.747108459472656,0.8828449249267578,0.13701556622982025,14628573,14631858,12854629,1772884,1060,92251,1680373,"{""means_l.png"": 3004711, ""means_u.png"": 1853904, ""meta.json"": 1060, ""opacities.png"": 531920, ""quats.png"": 3809009, ""scales.png"": 1727788, ""sh0.png"": 1927297, ""shN.npz"": 1772884}",-0.7357895374298096,0.7927420735359192,0.024262405931949615,,,,,,,,,,,True,,26.251823419000175,,,219,32,117062946,4b9c9babe37cf16db99d286be8e6af805a776d6c,"v1|4b9c9babe37cf16db99d286be8e6af805a776d6c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views219|seed0",515ca4a1ed01,2026-09-21T23:13:07
truck,upstream_l1,4096,0,tandt,held_out,1,recomputed,torchpq,manhattan,none,True,,0.00012759942823948304,,,0.00021316364310136135,0.00020829070265220186,0.00021721264023078188,0.00021247903423605874,0.5985984588319702,0.6126026107490026,25.631114959716797,0.8816183805465698,0.13729053735733032,26.904760360717773,25.657968521118164,0.8827742338180542,0.13623401522636414,14621118,14623854,12854629,1765430,1059,98473,1666697,"{""means_l.png"": 3004711, ""means_u.png"": 1853904, ""meta.json"": 1059, ""opacities.png"": 531920, ""quats.png"": 3809009, ""scales.png"": 1727788, ""sh0.png"": 1927297, ""shN.npz"": 1765430}",-0.602423906326294,0.6974846720695496,0.02063347026705742,,,,,,,,,,,True,,27.69446662900009,100,,219,32,117062946,4b9c9babe37cf16db99d286be8e6af805a776d6c,"v1|4b9c9babe37cf16db99d286be8e6af805a776d6c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views219|seed0",515ca4a1ed01,2026-09-21T23:14:06
truck,lloyd_wopa_area,16384,0,tandt,held_out,1,recomputed,lloyd,euclidean,opacity_area,True,,8.578118970859177e-05,,,0.0001239426562655833,0.00012236394482536636,0.00012575456934476296,0.00012438207623856093,0.692103851032372,0.7010332155523079,25.768178939819336,0.8829768896102905,0.13578343391418457,27.129793167114258,25.803720474243164,0.8841439485549927,0.13475966453552246,15120674,15124424,12854629,2264985,1060,374671,1890054,"{""means_l.png"": 3004711, ""means_u.png"": 1853904, ""meta.json"": 1060, ""opacities.png"": 531920, ""quats.png"": 3809009, ""scales.png"": 1727788, ""sh0.png"": 1927297, ""shN.npz"": 2264985}",-0.7470223307609558,0.7858926057815552,0.02433198131620884,,,,,,,,,,,True,,167.99391405400024,,,219,32,117062946,4b9c9babe37cf16db99d286be8e6af805a776d6c,"v1|4b9c9babe37cf16db99d286be8e6af805a776d6c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views219|seed0",515ca4a1ed01,2026-09-21T23:17:26
truck,gn_vq,16384,0,tandt,held_out,1,gn_vq_of_recomputed,gn_vq,mahalanobis,M_i,True,,1.7672134006441885e-05,1.4427992422927389e-05,1.76721339928513e-05,3.137365057367995e-05,3.4369631718431006e-05,3.168597620568909e-05,3.4728922135031586e-05,0.5632794935654517,0.5141787421878324,25.895170211791992,0.8876558542251587,0.12904034554958344,27.33887481689453,25.93246841430664,0.8888372182846069,0.12797942757606506,15132521,15136167,12854629,2276832,1060,377181,1899391,"{""means_l.png"": 3004711, ""means_u.png"": 1853904, ""meta.json"": 1060, ""opacities.png"": 531920, ""quats.png"": 3809009, ""scales.png"": 1727788, ""sh0.png"": 1927297, ""shN.npz"": 2276832}",-0.7470223307609558,0.7858926057815552,0.02433198131620884,-0.7470223307609558,0.7858926057815552,0.02433198317885399,0.01,0.0,20,13,rel_tol,67001,0.403259,True,recomputed,,13,104.81844450000017,219,32,117062946,4b9c9babe37cf16db99d286be8e6af805a776d6c,"v1|4b9c9babe37cf16db99d286be8e6af805a776d6c|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views219|seed0",515ca4a1ed01,2026-09-21T23:19:43
