scene,config,n_clusters,seed,rho,metric_views,dataset,scene_set,data_factor,source,clustering,distance,weights,valid,invalid_reason,predicted,objective_unquantized,objective_after_quantization,measured_train_clamped,measured_test_clamped,measured_train_raw,measured_test_raw,ratio_train_clamped,ratio_test_clamped,PSNR,SSIM,LPIPS,train_PSNR,shn_only_PSNR,shn_only_SSIM,shn_only_LPIPS,size_bytes,zip_bytes,png_bytes,shN_bytes,meta_bytes,shN_centroids_bytes,shN_labels_bytes,file_bytes,quant_mins,quant_maxs,quant_step,warm_quant_mins,warm_quant_maxs,warm_quant_step,ridge_eps,fraction_outside_warm_range,vq_max_iters,vq_iterations,vq_stopped_because,clusters_rejected_by_clip,final_assignment_changed,writer_codes_equal,warm_start_source,kmeans_time_s,n_iters,vq_time_s,train_views,test_views,total_train_pixels,ckpt_sha1,gn_cache_key,gsplat_commit,timestamp,measured_odd_clamped,measured_odd_raw,objective_M_unquantized,objective_M_after_quantization,metric_pixels,n_even_views,n_odd_views,m_source,m_key_equals_e2,warm_start_path
flowers,gn_vq_floor_cv,4096,0,0.0,even,mipnerf360,development,4,gn_vq_floor_cv_of_e2_work_cache,gn_vq,mahalanobis_floored,M_i + 0.0 tr(M_i)/15 I,True,,0.00017826780556927838,0.00017345384465877083,0.00017826780552950258,,0.0004726248692487452,,0.0004772411398232754,,0.3771866805330022,,,,,,,,14618384,14622261,12796494,1820827,1063,107287,1713280,"{""means_l.png"": 3005218, ""means_u.png"": 1779331, ""meta.json"": 1063, ""opacities.png"": 525005, ""quats.png"": 3831481, ""scales.png"": 1710000, ""sh0.png"": 1945459, ""shN.npz"": 1820827}",-0.745765209197998,0.7228397727012634,0.02331119030714035,-0.745765209197998,0.7228397727012634,0.0233111921697855,0.01,0.0,20,20,rel_tol,8811,0.237694,True,e2_work_cache,,20,119.09556696499976,151,22,157035168,d0ea4a76881fb22b0c2848903cb0cce0001b06d5,"v1|d0ea4a76881fb22b0c2848903cb0cce0001b06d5|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views76|seed0|train_views=even_indexed",0d1803606481,2026-09-25T19:47:43,0.00033204208655094653,0.0003360186416690945,0.00017345384465877083,0.00017826780552950258,79037568,76,75,restored_cache,True,/kaggle/working/e2b_warm/flowers/e2_work/lloyd_wopa_area_k4096_s0.pt
flowers,gn_vq_floor_cv,4096,0,0.001,even,mipnerf360,development,4,gn_vq_floor_cv_of_e2_work_cache,gn_vq,mahalanobis_floored,M_i + 0.001 tr(M_i)/15 I,True,,0.00017771582365932084,0.00017409434804520514,0.00017881236770950917,,0.0004734380700210922,,0.00047808474944801047,,0.3753729049533414,,,,,,,,14617933,14621864,12796494,1820376,1063,107131,1712985,"{""means_l.png"": 3005218, ""means_u.png"": 1779331, ""meta.json"": 1063, ""opacities.png"": 525005, ""quats.png"": 3831481, ""scales.png"": 1710000, ""sh0.png"": 1945459, ""shN.npz"": 1820376}",-0.745765209197998,0.7228397727012634,0.02331119030714035,-0.745765209197998,0.7228397727012634,0.0233111921697855,0.01,0.0,20,20,rel_tol,7866,0.23609999999999998,True,e2_work_cache,,20,119.05637693100016,151,22,157035168,d0ea4a76881fb22b0c2848903cb0cce0001b06d5,"v1|d0ea4a76881fb22b0c2848903cb0cce0001b06d5|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views76|seed0|train_views=even_indexed",0d1803606481,2026-09-25T19:49:49,0.00032439402911407854,0.0003282965633428755,0.00017303249915255644,0.00017771582364195724,79037568,76,75,restored_cache,True,/kaggle/working/e2b_warm/flowers/e2_work/lloyd_wopa_area_k4096_s0.pt
flowers,gn_vq_floor_cv,4096,0,0.01,even,mipnerf360,development,4,gn_vq_floor_cv_of_e2_work_cache,gn_vq,mahalanobis_floored,M_i + 0.01 tr(M_i)/15 I,True,,0.00017798079974500403,0.00018112291791695225,0.00018600404364830023,,0.000438096092367765,,0.0004427461651841472,,0.406259728962832,,,,,,,,14617185,14621116,12796494,1819628,1063,106748,1712620,"{""means_l.png"": 3005218, ""means_u.png"": 1779331, ""meta.json"": 1063, ""opacities.png"": 525005, ""quats.png"": 3831481, ""scales.png"": 1710000, ""sh0.png"": 1945459, ""shN.npz"": 1819628}",-0.745765209197998,0.7228397727012634,0.02331119030714035,-0.745765209197998,0.7228397727012634,0.0233111921697855,0.01,0.0,20,18,rel_tol,4773,0.226736,True,e2_work_cache,,18,107.86844392700004,151,22,157035168,d0ea4a76881fb22b0c2848903cb0cce0001b06d5,"v1|d0ea4a76881fb22b0c2848903cb0cce0001b06d5|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views76|seed0|train_views=even_indexed",0d1803606481,2026-09-25T19:51:44,0.00031448646117773337,0.0003186038856787868,0.00017323219788415828,0.0001779807997081845,79037568,76,75,restored_cache,True,/kaggle/working/e2b_warm/flowers/e2_work/lloyd_wopa_area_k4096_s0.pt
flowers,gn_vq_floor_cv,4096,0,0.1,even,mipnerf360,development,4,gn_vq_floor_cv_of_e2_work_cache,gn_vq,mahalanobis_floored,M_i + 0.1 tr(M_i)/15 I,True,,0.00018716353682819402,0.00022917995058103645,0.0002347200541180116,,0.000394267660297527,,0.000398942659734312,,0.4747118662660651,,,,,,,,14613844,14617775,12796494,1816287,1063,105461,1710566,"{""means_l.png"": 3005218, ""means_u.png"": 1779331, ""meta.json"": 1063, ""opacities.png"": 525005, ""quats.png"": 3831481, ""scales.png"": 1710000, ""sh0.png"": 1945459, ""shN.npz"": 1816287}",-0.745765209197998,0.7228397727012634,0.02331119030714035,-0.745765209197998,0.7228397727012634,0.0233111921697855,0.01,0.0,20,16,rel_tol,4155,0.19258,True,e2_work_cache,,16,96.62115118600013,151,22,157035168,d0ea4a76881fb22b0c2848903cb0cce0001b06d5,"v1|d0ea4a76881fb22b0c2848903cb0cce0001b06d5|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views76|seed0|train_views=even_indexed",0d1803606481,2026-09-25T19:53:27,0.0002998286601716786,0.0003040542391327483,0.00018244930917643356,0.0001871635368521149,79037568,76,75,restored_cache,True,/kaggle/working/e2b_warm/flowers/e2_work/lloyd_wopa_area_k4096_s0.pt
flowers,gn_vq_floor,4096,0,0.0,all,mipnerf360,development,4,gn_vq_floor_of_e2_work_cache,gn_vq,mahalanobis_floored,M_i + 0.0 tr(M_i)/15 I,True,,0.0001880346211004045,0.0001833759425139452,0.00018803462108513702,0.00023743239014764101,0.0003847917433055763,0.0002406160639926503,0.0003893400986985763,0.7919501673022799,0.48866594559717397,21.808034896850586,0.6150825023651123,0.3418016731739044,22.932918548583984,21.852584838867188,0.6176257133483887,0.3406055271625519,14618485,14622308,12796494,1820928,1063,107407,1713261,"{""means_l.png"": 3005218, ""means_u.png"": 1779331, ""meta.json"": 1063, ""opacities.png"": 525005, ""quats.png"": 3831481, ""scales.png"": 1710000, ""sh0.png"": 1945459, ""shN.npz"": 1820928}",-0.745765209197998,0.7228397727012634,0.02331119030714035,-0.745765209197998,0.7228397727012634,0.0233111921697855,0.01,0.0,20,19,rel_tol,7334,0.23324899999999998,True,e2_work_cache,,19,113.55686170900026,151,22,157035168,d0ea4a76881fb22b0c2848903cb0cce0001b06d5,"v1|d0ea4a76881fb22b0c2848903cb0cce0001b06d5|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views151|seed0",0d1803606481,2026-09-25T19:55:55,,,0.0001833759425139452,0.00018803462108513702,157035168,76,75,restored_cache,True,/kaggle/working/e2b_warm/flowers/e2_work/lloyd_wopa_area_k4096_s0.pt
flowers,gn_vq_floor,4096,0,0.001,all,mipnerf360,development,4,gn_vq_floor_of_e2_work_cache,gn_vq,mahalanobis_floored,M_i + 0.001 tr(M_i)/15 I,True,,0.00018786789710360696,0.00018412998259828968,0.00018891587758807264,0.00023721284897229727,0.00038453216269226036,0.00024046712846444943,0.00038907542658502144,0.7919802739081262,0.48856224610256316,21.805095672607422,0.6151103973388672,0.3417367935180664,22.932809829711914,21.849531173706055,0.6176477670669556,0.3405000567436218,14618267,14622144,12796494,1820710,1063,107188,1713262,"{""means_l.png"": 3005218, ""means_u.png"": 1779331, ""meta.json"": 1063, ""opacities.png"": 525005, ""quats.png"": 3831481, ""scales.png"": 1710000, ""sh0.png"": 1945459, ""shN.npz"": 1820710}",-0.745765209197998,0.7228397727012634,0.02331119030714035,-0.745765209197998,0.7228397727012634,0.0233111921697855,0.01,0.0,20,19,rel_tol,7057,0.23369399999999999,True,e2_work_cache,,19,113.5640050940001,151,22,157035168,d0ea4a76881fb22b0c2848903cb0cce0001b06d5,"v1|d0ea4a76881fb22b0c2848903cb0cce0001b06d5|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views151|seed0",0d1803606481,2026-09-25T19:58:24,,,0.00018311144568750756,0.00018786789710650368,157035168,76,75,restored_cache,True,/kaggle/working/e2b_warm/flowers/e2_work/lloyd_wopa_area_k4096_s0.pt
flowers,gn_vq_floor,4096,0,0.01,all,mipnerf360,development,4,gn_vq_floor_of_e2_work_cache,gn_vq,mahalanobis_floored,M_i + 0.01 tr(M_i)/15 I,True,,0.00018793162326608207,0.00019090989361236063,0.00019572649409877593,0.0002366616816406963,0.00037717762747197376,0.00023998623801614488,0.00038172183365923524,0.7940940077971853,0.4982576101496008,21.804718017578125,0.6151836514472961,0.34190046787261963,22.936336517333984,21.849199295043945,0.6177186965942383,0.34061524271965027,14617371,14621248,12796494,1819814,1063,106736,1712818,"{""means_l.png"": 3005218, ""means_u.png"": 1779331, ""meta.json"": 1063, ""opacities.png"": 525005, ""quats.png"": 3831481, ""scales.png"": 1710000, ""sh0.png"": 1945459, ""shN.npz"": 1819814}",-0.745765209197998,0.7228397727012634,0.02331119030714035,-0.745765209197998,0.7228397727012634,0.0233111921697855,0.01,0.0,20,18,rel_tol,5031,0.22350299999999998,True,e2_work_cache,,18,108.19334819599953,151,22,157035168,d0ea4a76881fb22b0c2848903cb0cce0001b06d5,"v1|d0ea4a76881fb22b0c2848903cb0cce0001b06d5|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views151|seed0",0d1803606481,2026-09-25T20:00:48,,,0.00018324439877464313,0.000187931623257231,157035168,76,75,restored_cache,True,/kaggle/working/e2b_warm/flowers/e2_work/lloyd_wopa_area_k4096_s0.pt
flowers,gn_vq_floor,4096,0,0.1,all,mipnerf360,development,4,gn_vq_floor_of_e2_work_cache,gn_vq,mahalanobis_floored,M_i + 0.1 tr(M_i)/15 I,True,,0.00019696832401740175,0.00023752712443995952,0.00024319133973841055,0.0002456788042192529,0.00036443414078838536,0.00024927098496684404,0.0003691687721185722,0.8017310432755927,0.5404771451744271,21.819883346557617,0.6151427030563354,0.34225553274154663,22.927536010742188,21.864377975463867,0.6176797151565552,0.3410148024559021,14615077,14618954,12796494,1817520,1063,106112,1711148,"{""means_l.png"": 3005218, ""means_u.png"": 1779331, ""meta.json"": 1063, ""opacities.png"": 525005, ""quats.png"": 3831481, ""scales.png"": 1710000, ""sh0.png"": 1945459, ""shN.npz"": 1817520}",-0.715069055557251,0.7228397727012634,0.02282395027577877,-0.745765209197998,0.7228397727012634,0.0233111921697855,0.01,0.0,20,16,rel_tol,4381,0.18880999999999998,True,e2_work_cache,,16,96.83260790499935,151,22,157035168,d0ea4a76881fb22b0c2848903cb0cce0001b06d5,"v1|d0ea4a76881fb22b0c2848903cb0cce0001b06d5|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views151|seed0",0d1803606481,2026-09-25T20:03:00,,,0.00019211139173896027,0.00019696832385143244,157035168,76,75,restored_cache,True,/kaggle/working/e2b_warm/flowers/e2_work/lloyd_wopa_area_k4096_s0.pt
flowers,gn_vq_floor_cv,65536,0,0.0,even,mipnerf360,development,4,gn_vq_floor_cv_of_e2_kmeans_cache,gn_vq,mahalanobis_floored,M_i + 0.0 tr(M_i)/15 I,True,,7.544662356643053e-05,6.77932248769971e-05,7.54466236435667e-05,,0.00026980826875544223,,0.0002719797838576445,,0.27963050915543414,,,,,,,,16473606,16477787,12796494,3676048,1064,1675081,2000707,"{""means_l.png"": 3005218, ""means_u.png"": 1779331, ""meta.json"": 1064, ""opacities.png"": 525005, ""quats.png"": 3831481, ""scales.png"": 1710000, ""sh0.png"": 1945459, ""shN.npz"": 3676048}",-0.8357322812080383,0.9587273597717285,0.02848348580300808,-0.8357322812080383,0.9587273597717285,0.02848348766565323,0.01,0.0,20,9,rel_tol,246105,0.260159,True,e2_kmeans_cache,,9,136.55994262900003,151,22,157035168,d0ea4a76881fb22b0c2848903cb0cce0001b06d5,"v1|d0ea4a76881fb22b0c2848903cb0cce0001b06d5|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views76|seed0|train_views=even_indexed",0d1803606481,2026-09-25T20:05:24,0.0001707994225081702,0.00017268829289956823,6.77932248769971e-05,7.54466236435667e-05,79037568,76,75,restored_cache,True,/kaggle/working/e2b_warm/flowers/e2_kmeans/lloyd_wopa_area_s0.pt
flowers,gn_vq_floor_cv,65536,0,0.001,even,mipnerf360,development,4,gn_vq_floor_cv_of_e2_kmeans_cache,gn_vq,mahalanobis_floored,M_i + 0.001 tr(M_i)/15 I,True,,7.536281082513123e-05,6.844835163985298e-05,7.618620103267974e-05,,0.00024608121049974057,,0.00024823849957953444,,0.3062517884729386,,,,,,,,16472777,16477012,12796494,3675219,1064,1674253,2000706,"{""means_l.png"": 3005218, ""means_u.png"": 1779331, ""meta.json"": 1064, ""opacities.png"": 525005, ""quats.png"": 3831481, ""scales.png"": 1710000, ""sh0.png"": 1945459, ""shN.npz"": 3675219}",-0.8357322812080383,0.9587273597717285,0.02848348580300808,-0.8357322812080383,0.9587273597717285,0.02848348766565323,0.01,0.0,20,9,rel_tol,243709,0.258982,True,e2_kmeans_cache,,9,136.3893904000006,151,22,157035168,d0ea4a76881fb22b0c2848903cb0cce0001b06d5,"v1|d0ea4a76881fb22b0c2848903cb0cce0001b06d5|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views76|seed0|train_views=even_indexed",0d1803606481,2026-09-25T20:07:47,0.00016026900615793556,0.0001620832875532433,6.772311787525642e-05,7.536281094103206e-05,79037568,76,75,restored_cache,True,/kaggle/working/e2b_warm/flowers/e2_kmeans/lloyd_wopa_area_s0.pt
