scene,config,n_clusters,seed,rho,metric_views,dataset,scene_set,data_factor,source,clustering,distance,weights,valid,invalid_reason,predicted,objective_unquantized,objective_after_quantization,measured_train_clamped,measured_test_clamped,measured_train_raw,measured_test_raw,ratio_train_clamped,ratio_test_clamped,PSNR,SSIM,LPIPS,train_PSNR,shn_only_PSNR,shn_only_SSIM,shn_only_LPIPS,size_bytes,zip_bytes,png_bytes,shN_bytes,meta_bytes,shN_centroids_bytes,shN_labels_bytes,file_bytes,quant_mins,quant_maxs,quant_step,warm_quant_mins,warm_quant_maxs,warm_quant_step,ridge_eps,fraction_outside_warm_range,vq_max_iters,vq_iterations,vq_stopped_because,clusters_rejected_by_clip,final_assignment_changed,writer_codes_equal,warm_start_source,kmeans_time_s,n_iters,vq_time_s,train_views,test_views,total_train_pixels,ckpt_sha1,gn_cache_key,gsplat_commit,timestamp,measured_odd_clamped,measured_odd_raw,objective_M_unquantized,objective_M_after_quantization,metric_pixels,n_even_views,n_odd_views,m_source,m_key_equals_e2,warm_start_path
garden,gn_vq_floor_cv,4096,0,0.0,even,mipnerf360,development,4,gn_vq_floor_cv_of_e2_work_cache,gn_vq,mahalanobis_floored,M_i + 0.0 tr(M_i)/15 I,True,,8.205004378863236e-05,7.855264474644104e-05,8.205004381637487e-05,,0.00012153048876281184,,0.00012157761955927585,,0.675139585332924,,,,,,,,14793252,14797142,12974323,1817862,1067,101825,1715777,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1067, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 1817862}",-0.8482299447059631,0.6433840990066528,0.023676414042711258,-0.9320983290672302,0.6433840990066528,0.02500765770673752,0.01,0.0,20,20,max_iters,7928,0.23812,True,e2_work_cache,,20,119.04075926899986,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views81|seed0|train_views=even_indexed",0d1803606481,2026-09-25T19:03:22,0.00011787000031000111,0.00011791114911779965,7.855264474644104e-05,8.205004381637487e-05,88247880,81,80,restored_cache,True,/kaggle/working/e2b_warm/garden/e2_work/lloyd_wopa_area_k4096_s0.pt
garden,gn_vq_floor_cv,4096,0,0.001,even,mipnerf360,development,4,gn_vq_floor_cv_of_e2_work_cache,gn_vq,mahalanobis_floored,M_i + 0.001 tr(M_i)/15 I,True,,8.21305011506725e-05,7.911426067249111e-05,8.266509430312741e-05,,0.00012146563405144052,,0.00012151706098822324,,0.6761624536195181,,,,,,,,14792883,14796828,12974323,1817493,1067,101348,1715885,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1067, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 1817493}",-0.8603700399398804,0.6433840990066528,0.023869113996624947,-0.9320983290672302,0.6433840990066528,0.02500765770673752,0.01,0.0,20,20,max_iters,7609,0.23918699999999998,True,e2_work_cache,,20,119.15280590299994,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views81|seed0|train_views=even_indexed",0d1803606481,2026-09-25T19:05:28,0.00011782817912838047,0.00011786877095299802,7.858559371032481e-05,8.21305010671356e-05,88247880,81,80,restored_cache,True,/kaggle/working/e2b_warm/garden/e2_work/lloyd_wopa_area_k4096_s0.pt
garden,gn_vq_floor_cv,4096,0,0.01,even,mipnerf360,development,4,gn_vq_floor_cv_of_e2_work_cache,gn_vq,mahalanobis_floored,M_i + 0.01 tr(M_i)/15 I,True,,8.238195908276891e-05,8.297985248628487e-05,8.666272365457844e-05,,0.00012107069510316966,,0.00012112842350678246,,0.6804450822105848,,,,,,,,14791279,14795227,12974323,1815889,1067,100141,1715488,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1067, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 1815889}",-0.8764337301254272,0.6433840990066528,0.02412409335374832,-0.9320983290672302,0.6433840990066528,0.02500765770673752,0.01,0.0,20,19,rel_tol,5345,0.240283,True,e2_work_cache,,19,113.45513737600004,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views81|seed0|train_views=even_indexed",0d1803606481,2026-09-25T19:07:28,0.00011773381207847409,0.00011777435260615552,7.875757694165049e-05,8.238195910685421e-05,88247880,81,80,restored_cache,True,/kaggle/working/e2b_warm/garden/e2_work/lloyd_wopa_area_k4096_s0.pt
garden,gn_vq_floor_cv,4096,0,0.1,even,mipnerf360,development,4,gn_vq_floor_cv_of_e2_work_cache,gn_vq,mahalanobis_floored,M_i + 0.1 tr(M_i)/15 I,True,,8.800060860996277e-05,0.00010892288186993508,0.00011322711043711872,,0.00012257720364908302,,0.0001226405629939022,,0.7179198577730085,,,,,,,,14787420,14791368,12974323,1812030,1067,96906,1714864,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1067, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 1812030}",-0.9320983290672302,0.6433840990066528,0.02500765584409237,-0.9320983290672302,0.6433840990066528,0.02500765770673752,0.01,0.0,20,17,rel_tol,5435,0.22794999999999999,True,e2_work_cache,,17,102.36522608899986,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views81|seed0|train_views=even_indexed",0d1803606481,2026-09-25T19:09:17,0.00012043965571589067,0.00012048812734012129,8.438752762324394e-05,8.800060861280749e-05,88247880,81,80,restored_cache,True,/kaggle/working/e2b_warm/garden/e2_work/lloyd_wopa_area_k4096_s0.pt
garden,gn_vq_floor,4096,0,0.0,all,mipnerf360,development,4,gn_vq_floor_of_e2_work_cache,gn_vq,mahalanobis_floored,M_i + 0.0 tr(M_i)/15 I,True,,8.28044302120664e-05,7.93077219466993e-05,8.280443027491185e-05,0.00011305184466708293,0.00011868558721867079,0.00011308184730980273,0.00011872468568018948,0.7324465200537891,0.6976789023211757,26.99587059020996,0.8452420234680176,0.14681538939476013,28.041440963745117,27.025798797607422,0.8465015292167664,0.14577463269233704,14793110,14796950,12974323,1817720,1067,101676,1715784,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1067, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 1817720}",-0.8593273758888245,0.6433840990066528,0.02385256439447403,-0.9320983290672302,0.6433840990066528,0.02500765770673752,0.01,0.0,20,20,max_iters,8222,0.23809799999999998,True,e2_work_cache,,20,119.21427903800009,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views161|seed0",0d1803606481,2026-09-25T19:11:56,,,7.93077219466993e-05,8.280443027491185e-05,175406280,81,80,restored_cache,True,/kaggle/working/e2b_warm/garden/e2_work/lloyd_wopa_area_k4096_s0.pt
garden,gn_vq_floor,4096,0,0.001,all,mipnerf360,development,4,gn_vq_floor_of_e2_work_cache,gn_vq,mahalanobis_floored,M_i + 0.001 tr(M_i)/15 I,True,,8.27659378399833e-05,7.970592926694583e-05,8.330011188411888e-05,0.00011312523585134195,0.00011905245328427628,0.00011315533360920173,0.00011909242946986884,0.7316310743320451,0.6952056472314168,26.99599266052246,0.8452173471450806,0.1468999981880188,28.042926788330078,27.025836944580078,0.846479594707489,0.14585457742214203,14792698,14796592,12974323,1817308,1067,101487,1715561,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1067, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 1817308}",-0.8632556200027466,0.6433840990066528,0.023914916440844536,-0.9320983290672302,0.6433840990066528,0.02500765770673752,0.01,0.0,20,20,rel_tol,7492,0.23898799999999998,True,e2_work_cache,,20,119.3971797019999,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views161|seed0",0d1803606481,2026-09-25T19:14:36,,,7.917841688972986e-05,8.276593797265851e-05,175406280,81,80,restored_cache,True,/kaggle/working/e2b_warm/garden/e2_work/lloyd_wopa_area_k4096_s0.pt
garden,gn_vq_floor,4096,0,0.01,all,mipnerf360,development,4,gn_vq_floor_of_e2_work_cache,gn_vq,mahalanobis_floored,M_i + 0.01 tr(M_i)/15 I,True,,8.302742034013755e-05,8.364938049936514e-05,8.730025446836278e-05,0.00011339000945661031,0.00011865613383711466,0.00011342054192063945,0.00011870211356194488,0.7322287099015432,0.6997313805463571,26.995845794677734,0.8452361822128296,0.1469295471906662,28.04175567626953,27.025806427001953,0.8465031385421753,0.1458893120288849,14791389,14795283,12974323,1815999,1067,100343,1715396,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1067, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 1815999}",-0.8645415306091309,0.6433840990066528,0.02393532730638981,-0.9320983290672302,0.6433840990066528,0.02500765770673752,0.01,0.0,20,20,rel_tol,6416,0.23546899999999998,True,e2_work_cache,,20,119.45402385600005,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views161|seed0",0d1803606481,2026-09-25T19:17:16,,,7.943602481259252e-05,8.302742031144224e-05,175406280,81,80,restored_cache,True,/kaggle/working/e2b_warm/garden/e2_work/lloyd_wopa_area_k4096_s0.pt
garden,gn_vq_floor,4096,0,0.1,all,mipnerf360,development,4,gn_vq_floor_of_e2_work_cache,gn_vq,mahalanobis_floored,M_i + 0.1 tr(M_i)/15 I,True,,8.86107966311734e-05,0.00010946324293533564,0.00011380048832143346,0.00011711057642010709,0.00012119122895361854,0.00011714436187896445,0.00012124084212544075,0.756642135491697,0.7311650966513914,26.997241973876953,0.8450145125389099,0.1475915163755417,28.036672592163086,27.026580810546875,0.8462748527526855,0.14656850695610046,14788339,14792232,12974323,1812949,1067,97077,1715612,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1067, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 1812949}",-0.9320983290672302,0.6412299275398254,0.024973465129733086,-0.9320983290672302,0.6433840990066528,0.02500765770673752,0.01,0.0,20,17,rel_tol,5297,0.22743,True,e2_work_cache,,17,102.47024019499986,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views161|seed0",0d1803606481,2026-09-25T19:19:38,,,8.49885286754281e-05,8.861079660816858e-05,175406280,81,80,restored_cache,True,/kaggle/working/e2b_warm/garden/e2_work/lloyd_wopa_area_k4096_s0.pt
garden,gn_vq_floor_cv,65536,0,0.0,even,mipnerf360,development,4,gn_vq_floor_cv_of_e2_kmeans_cache,gn_vq,mahalanobis_floored,M_i + 0.0 tr(M_i)/15 I,True,,3.7735611540610175e-05,3.016286560597321e-05,3.773561156842543e-05,,5.2024806630034226e-05,,5.20389668027777e-05,,0.7253388140192565,,,,,,,,16469090,16473257,12974323,3493701,1066,1492740,2000701,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1066, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 3493701}",-0.9997316002845764,1.024185299873352,0.03212566673755646,-1.076332926750183,1.078585147857666,0.03420505300164223,0.01,0.0,20,10,rel_tol,289990,0.25415699999999997,True,e2_kmeans_cache,,10,154.74919036999972,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views81|seed0|train_views=even_indexed",0d1803606481,2026-09-25T19:22:20,5.0074473519910886e-05,5.008475007921126e-05,3.016286560597321e-05,3.773561156842543e-05,88247880,81,80,restored_cache,True,/kaggle/working/e2b_warm/garden/e2_kmeans/lloyd_wopa_area_s0.pt
garden,gn_vq_floor_cv,65536,0,0.001,even,mipnerf360,development,4,gn_vq_floor_cv_of_e2_kmeans_cache,gn_vq,mahalanobis_floored,M_i + 0.001 tr(M_i)/15 I,True,,3.7862231424002165e-05,3.0553359832413646e-05,3.825996652952183e-05,,5.2117209336809866e-05,,5.2144537268220494e-05,,0.7264823252395528,,,,,,,,16467022,16471244,12974323,3491632,1067,1490670,2000702,"{""means_l.png"": 3005208, ""means_u.png"": 2001139, ""meta.json"": 1067, ""opacities.png"": 513173, ""quats.png"": 3791040, ""scales.png"": 1708233, ""sh0.png"": 1955530, ""shN.npz"": 3491632}",-0.9799272418022156,1.0457266569137573,0.032153233885765076,-1.076332926750183,1.078585147857666,0.03420505300164223,0.01,0.0,20,10,rel_tol,288059,0.256499,True,e2_kmeans_cache,,10,154.1202627939997,161,24,175406280,e1ac1e31dde161dac584ff107198217b5e90e1db,"v1|e1ac1e31dde161dac584ff107198217b5e90e1db|[('camera_model', 'pinhole'), ('far_plane', 10000000000.0), ('near_plane', 0.01), ('packed', False), ('rasterize_mode', 'classic'), ('sh_degree', 3), ('with_eval3d', False), ('with_ut', False)]|views81|seed0|train_views=even_indexed",0d1803606481,2026-09-25T19:25:02,5.0188969962679676e-05,5.020053277517881e-05,3.0188413721323093e-05,3.7862231507113966e-05,88247880,81,80,restored_cache,True,/kaggle/working/e2b_warm/garden/e2_kmeans/lloyd_wopa_area_s0.pt
