Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians,scene,variant,clustering,distance,weights,max_iter,tol,n_iters,converged,final_error,final_inertia,kmeans_seed,sort_seed,size_bytes,zip_bytes,png_bytes,shN_bytes,meta_bytes,kmeans_time_s,encode_time_s,compress_time_s,decompress_time_s,eval_time_s,gsplat_commit,timestamp
manhattan_log,25.331127166748047,0.7639115452766418,0.22906319797039032,16242139,1000000,bicycle,check,torchpq,manhattan,none,100,0.0001,100,False,0.02382635697722435,1.0150951147079468,0,0,16238295,16242139,12620991,3616239,1065,432.10415382600013,2.099941091000119,434.20409491700025,1.1060976659998687,11.16663526100001,f9b61526c99a,2026-09-17T08:05:33
sh2_render,24.580535888671875,0.7582411170005798,0.22661550343036652,,1000000,bicycle,sh_check,none,,,,,,,,,0,0,,,,,,,,,,11.071016019000126,f9b61526c99a,2026-09-17T08:05:44
euclid,25.3095645904541,0.7636440992355347,0.22929058969020844,16250744,1000000,bicycle,candidate,torchpq,euclidean,none,100,0.0001,42,True,7.135288615245372e-05,0.04698048532009125,0,0,16247018,16250744,12620991,3624962,1065,232.6380721789999,1.947686167000029,234.58575834599992,0.5741514670000925,10.907534761000079,f9b61526c99a,2026-09-17T08:09:51
lloyd_w1,25.308584213256836,0.7636275887489319,0.22927415370941162,16250748,1000000,bicycle,candidate,lloyd,euclidean,ones,100,0.0001,39,True,4.153920235694386e-05,0.046981518018038626,0,0,16246985,16250748,12620991,3624929,1065,281.3446301280003,1.9039272029999665,283.24855733100026,0.6507632789998752,11.017139207000127,f9b61526c99a,2026-09-17T08:14:46
lloyd_wopa,25.346923828125,0.764453113079071,0.22871069610118866,16229300,1000000,bicycle,candidate,lloyd,euclidean,opacity,100,0.0001,44,True,2.919515645771753e-05,0.04923439469898898,0,0,16225556,16229300,12620991,3603500,1065,317.39736864099996,1.946985424000104,319.34435406500006,0.8207284410000284,11.081984092999846,f9b61526c99a,2026-09-17T08:20:18
lloyd_wopa_area,25.35771369934082,0.7639615535736084,0.22812429070472717,16219981,1000000,bicycle,candidate,lloyd,euclidean,opacity_area,100,0.0001,56,True,3.1407649657921866e-05,0.05386224772611999,0,0,16216069,16219981,12620991,3594013,1065,404.81844179300015,1.9765708119998635,406.795012605,0.7236374010003601,10.979569377000189,f9b61526c99a,2026-09-17T08:27:17
iters_x,25.33331298828125,0.7639347910881042,0.229053795337677,16243062,1000000,bicycle,candidate,torchpq,manhattan,none,300,0.0001,269,True,9.869353380054235e-05,1.014946699142456,0,0,16239313,16243062,12620991,3617257,1065,1154.51518055,2.0128909900004146,1156.5280715400004,0.7840177169991875,11.152211833000365,f9b61526c99a,2026-09-17T09:04:53
lloyd_wopa,25.34824562072754,0.7645010948181152,0.22878016531467438,16253472,1000000,bicycle,candidate,lloyd,euclidean,opacity,100,0.0001,44,True,7.872010610299185e-05,0.04925144894360981,1,0,16249693,16253472,12620991,3627637,1065,317.64531730899944,2.1222545439995883,319.767571852999,1.1551496399997632,11.338838255000155,f9b61526c99a,2026-09-17T09:10:57
lloyd_wopa_area,25.36181640625,0.7640725374221802,0.22805412113666534,16257819,1000000,bicycle,candidate,lloyd,euclidean,opacity_area,100,0.0001,63,True,4.124839324504137e-05,0.05386025264648596,1,0,16253928,16257819,12620991,3631873,1064,457.4150994820002,1.9478921360005188,459.3629916180007,0.9305369940002493,11.07174966599996,f9b61526c99a,2026-09-17T09:18:49
lloyd_wopa,25.345666885375977,0.7645180821418762,0.22857435047626495,16231438,1000000,bicycle,candidate,lloyd,euclidean,opacity,100,0.0001,42,True,7.700057176407427e-05,0.04917313620943969,2,0,16227746,16231438,12620991,3605690,1065,251.3348409150003,2.108839090999936,253.44368000600025,1.1397935680006412,10.971148773000095,f9b61526c99a,2026-09-17T09:31:05
lloyd_wopa_area,25.357975006103516,0.7640950083732605,0.22819072008132935,16246225,1000000,bicycle,candidate,lloyd,euclidean,opacity_area,100,0.0001,64,True,9.50005924096331e-05,0.053810714303421506,2,0,16242429,16246225,12620991,3620373,1065,460.22106150499985,1.9488997029993698,462.1699612079992,0.9415704419998292,10.96284535399991,f9b61526c99a,2026-09-17T09:39:00
