Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians,scene,variant,shn_mode,group,codebook_bits,n_clusters,kept_coeffs,png_raw,kmeans_seed,sort_seed,size_bytes,zip_bytes,png_bytes,shN_bytes,meta_bytes,kmeans_time_s,compress_time_s,decompress_time_s,eval_time_s,gsplat_commit,timestamp
baseline,26.881277084350586,0.8424888849258423,0.15159273147583008,16449880,1000000,garden,baseline,scalar,,6,65536,15,False,0,0,16445885,16449880,12974323,3470495,1067,433.2370865330013,2.1424169069996424,1.1373519729986583,11.822606395000548,b0998765ed93,2026-09-16T21:19:44
P_png_raw,26.911598205566406,0.8437670469284058,0.1505567878484726,54468432,1000000,garden,decomp,scalar,,6,65536,15,True,0,0,54458575,54468432,0,3470495,470,433.2370865330013,3.6928789319990756,1.2058873450005194,11.435320786000375,b0998765ed93,2026-09-16T21:20:02
S_shn_raw,27.281417846679688,0.8533973097801208,0.13484840095043182,179608117,1000000,garden,decomp,raw,,,,,False,0,0,179577945,179608117,12974323,166602618,1004,,11.681359267999142,1.5879123640006583,11.367792855000516,b0998765ed93,2026-09-16T21:20:34
F_float_centroids,26.907611846923828,0.8433103561401367,0.15029339492321014,25957471,1000000,garden,decomp,float,,,65536,15,False,0,0,25951837,25957471,12974323,12976462,1052,433.2370865330013,2.2592434540001705,0.6746541599986813,11.55953293499988,b0998765ed93,2026-09-16T21:20:49
dim_b5,26.871753692626953,0.8421143293380737,0.15238386392593384,16346555,1000000,garden,dim,group,dim,5,65536,15,False,0,0,16342785,16346555,12974323,3367374,1088,433.2370865330013,2.269487419000143,0.6683427029984159,11.405942654999308,b0998765ed93,2026-09-16T21:21:04
dim_b6,26.89952850341797,0.8430180549621582,0.15075132250785828,16726515,1000000,garden,dim,group,dim,6,65536,15,False,0,0,16722673,16726515,12974323,3747262,1088,433.2370865330013,1.9522889649997524,0.6272583690006286,11.283109312998931,b0998765ed93,2026-09-16T21:21:19
dim_b7,26.905471801757812,0.8432365655899048,0.15038925409317017,17016003,1000000,garden,dim,group,dim,7,65536,15,False,0,0,17012126,17016003,12974323,4036715,1088,433.2370865330013,1.9313374800003658,0.6389644160008174,11.177759530999538,b0998765ed93,2026-09-16T21:21:33
dim_b8,26.907032012939453,0.8432943820953369,0.1503247320652008,17302159,1000000,garden,dim,group,dim,8,65536,15,False,0,0,17298247,17302159,12974323,4322836,1088,433.2370865330013,1.856597222000346,0.6075450469998032,11.123891246999847,b0998765ed93,2026-09-16T21:21:47
band_b5,26.848323822021484,0.8413181304931641,0.15350653231143951,16224960,1000000,garden,band,group,band,5,65536,15,False,0,0,16221193,16224960,12974323,3245781,1089,433.2370865330013,2.250116085000627,0.6510233520002657,11.002847092999218,b0998765ed93,2026-09-16T21:22:02
band_b6,26.893949508666992,0.8427808284759521,0.1510722041130066,16606012,1000000,garden,band,group,band,6,65536,15,False,0,0,16602185,16606012,12974323,3626773,1089,433.2370865330013,1.960317479000878,0.6163756139994803,10.774612028000774,b0998765ed93,2026-09-16T21:22:16
k32768_dim_b6,26.827266693115234,0.8416028022766113,0.15280400216579437,15844621,1000000,garden,kmeans,group,dim,6,32768,15,False,0,0,15840735,15844621,12974323,2865324,1088,217.46426647999942,1.7672902529993735,0.5394742940006836,10.784504206001657,b0998765ed93,2026-09-16T21:26:07
drop3_dim_b6,25.824451446533203,0.8331260681152344,0.15552204847335815,15907347,1000000,garden,kmeans,group,dim,6,65536,8,False,0,0,15903490,15907347,12974323,2928080,1087,226.34585348499968,1.7871955409991642,0.5133073249999143,11.196415030000935,b0998765ed93,2026-09-16T21:30:07
baseline,26.862266540527344,0.8423311710357666,0.15159112215042114,16412541,1000000,garden,baseline,scalar,,6,65536,15,False,1,0,16408528,16412541,12974323,3433138,1067,440.04232149400013,2.119774934999441,0.7998105930000747,11.558205806999467,b0998765ed93,2026-09-16T21:38:06
dim_b5,26.85365867614746,0.8419899940490723,0.1525885909795761,16330496,1000000,garden,dim,group,dim,5,65536,15,False,1,0,16326683,16330496,12974323,3351272,1088,440.04232149400013,2.346754834999956,0.7757776090002153,11.305386976999216,b0998765ed93,2026-09-16T21:38:21
band_b5,26.816574096679688,0.840981662273407,0.15387141704559326,16199714,1000000,garden,band,group,band,5,65536,15,False,1,0,16195906,16199714,12974323,3220494,1089,440.04232149400013,2.144749048000449,0.6321364989998983,11.51393313799963,b0998765ed93,2026-09-16T21:38:36
baseline,26.863601684570312,0.8424428701400757,0.15137958526611328,16440902,1000000,garden,baseline,scalar,,6,65536,15,False,2,0,16436897,16440902,12974323,3461507,1067,438.8017886070011,2.1466425720009283,0.8246458489993529,11.69005109200043,b0998765ed93,2026-09-16T21:46:35
dim_b5,26.853185653686523,0.8420615196228027,0.15224894881248474,16352025,1000000,garden,dim,group,dim,5,65536,15,False,2,0,16348280,16352025,12974323,3372869,1088,438.8017886070011,2.0889925970004697,0.6844936269990285,11.344801986000675,b0998765ed93,2026-09-16T21:46:50
band_b5,26.830114364624023,0.8412712812423706,0.1536436527967453,16225875,1000000,garden,band,group,band,5,65536,15,False,2,0,16222120,16225875,12974323,3246708,1089,438.8017886070011,2.2253464839996013,0.6373700089989143,11.541000383998835,b0998765ed93,2026-09-16T21:47:05
