Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians,scene,variant,clustering,distance,weights,max_iter,tol,n_iters,converged,final_error,final_inertia,kmeans_seed,sort_seed,size_bytes,zip_bytes,png_bytes,shN_bytes,meta_bytes,kmeans_time_s,encode_time_s,compress_time_s,decompress_time_s,eval_time_s,gsplat_commit,timestamp
manhattan_log,26.881277084350586,0.8424888849258423,0.15159273147583008,16449989,1000000,garden,check,torchpq,manhattan,none,100,0.0001,100,False,0.010692769661545753,1.1827547550201416,0,0,16445885,16449989,12974323,3470495,1067,419.054167559,1.9742869960000462,421.02845455500005,0.8337987149998298,11.32771191300003,f9b61526c99a,2026-09-17T08:05:10
sh2_render,25.946563720703125,0.8383262157440186,0.14784279465675354,,1000000,garden,sh_check,none,,,,,,,,,0,0,,,,,,,,,,10.337215772000036,f9b61526c99a,2026-09-17T08:05:20
euclid,26.843364715576172,0.8420401811599731,0.15184399485588074,16479661,1000000,garden,candidate,torchpq,euclidean,none,100,0.0001,100,False,0.005693981423974037,0.059200745075941086,0,0,16475619,16479661,12974323,3500229,1067,421.80728559,1.8520981309998206,423.6593837209998,0.6257215800001177,10.601621682999848,f9b61526c99a,2026-09-17T08:12:36
lloyd_w1,26.84502410888672,0.842056155204773,0.1518290489912033,16479824,1000000,garden,candidate,lloyd,euclidean,ones,100,0.0001,100,False,0.004180300515145063,0.05920145350166568,0,0,16475746,16479824,12974323,3500356,1067,628.1248226600001,1.8625791039999058,629.987401764,0.9842017959999794,10.630885288999707,f9b61526c99a,2026-09-17T08:23:18
lloyd_wopa,26.913719177246094,0.8427398204803467,0.15126752853393555,16417912,1000000,garden,candidate,lloyd,euclidean,opacity,100,0.0001,100,False,0.0065450528636574745,0.06110711991854252,0,0,16413803,16417912,12974323,3438415,1065,633.2214806429997,1.896952500000225,635.118433143,0.6280387869996957,10.688916041000084,f9b61526c99a,2026-09-17T08:34:05
lloyd_wopa_area,26.963132858276367,0.8423323035240173,0.1507599949836731,16409335,1000000,garden,candidate,lloyd,euclidean,opacity_area,100,0.0001,100,False,0.00597830256447196,0.06582990333754003,0,0,16405132,16409335,12974323,3429744,1065,641.514312751,1.895136907000051,643.4094496580001,0.5296959170000264,10.727905945999737,f9b61526c99a,2026-09-17T08:45:00
iters_x,26.880950927734375,0.8424846529960632,0.15158547461032867,16449822,1000000,garden,candidate,torchpq,manhattan,none,300,0.0001,203,True,2.695287093956722e-06,1.182768702507019,0,0,16445824,16449822,12974323,3470434,1067,868.1667584070001,2.000077403999967,870.166835811,0.8541640769999503,10.658382122000148,f9b61526c99a,2026-09-17T09:00:09
lloyd_wopa,26.913360595703125,0.8426300883293152,0.15123575925827026,16400185,1000000,garden,candidate,lloyd,euclidean,opacity,100,0.0001,100,False,0.00519134383648634,0.061082436594077354,1,0,16396068,16400185,12974323,3420682,1063,584.9379781480002,2.1041111639997325,587.0420893119999,0.9986973790000775,10.815345023999726,f9b61526c99a,2026-09-17T09:15:26
lloyd_wopa_area,26.966476440429688,0.842354416847229,0.1508733332157135,16409970,1000000,garden,candidate,lloyd,euclidean,opacity_area,100,0.0001,100,False,0.0018844500882551074,0.06583120810464146,1,0,16405784,16409970,12974323,3430395,1066,635.122090584,1.8773466250004276,636.9994372090005,0.7468270049994317,10.679795594999632,f9b61526c99a,2026-09-17T09:26:16
lloyd_wopa,26.902372360229492,0.8427150249481201,0.1514325588941574,16399711,1000000,garden,candidate,lloyd,euclidean,opacity,100,0.0001,100,False,0.003121164394542575,0.06109236824643203,2,0,16395598,16399711,12974323,3420212,1063,637.3899353729994,2.158380273000148,639.5483156459995,0.9743300099999033,10.793142385000465,f9b61526c99a,2026-09-17T09:37:34
lloyd_wopa_area,26.966726303100586,0.8423571586608887,0.15093164145946503,16409699,1000000,garden,candidate,lloyd,euclidean,opacity_area,100,0.0001,100,False,0.00962837040424347,0.06583126832754607,2,0,16405503,16409699,12974323,3430114,1066,639.3233999470003,1.8772024720001355,641.2006024190005,0.726967736000006,10.59990986899993,f9b61526c99a,2026-09-17T09:48:27
