Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians,scene,data_factor,variant,clustering,distance,weights,max_iter,tol,n_iters,converged,final_error,kmeans_seed,sort_seed,size_bytes,zip_bytes,png_bytes,shN_bytes,meta_bytes,kmeans_time_s,encode_time_s,compress_time_s,decompress_time_s,eval_time_s,source,ckpt_sha1,gsplat_commit,timestamp
uncompressed,27.31504440307617,0.8546767234802246,0.1337528824806213,,1000000,garden,4,uncompressed,,,,,,,,,,,236000000.0,,,,,,,,,11.59068527100044,run1,,b0998765ed93,2026-09-16T20:39:23
baseline,26.881277084350582,0.8424888849258423,0.15159273147583,16449880.0,1000000,garden,4,baseline,torchpq,manhattan,none,100.0,0.0001,,,,0.0,0.0,16445885.0,16449880.0,12974323.0,3470495.0,1067.0,433.2370865330013,2.1424169069996424,435.3795034400009,1.1373519729986583,11.822606395000548,run2,,b0998765ed93,2026-09-16T21:19:44
lloyd_wopa,26.913719177246094,0.8427398204803467,0.1512675285339355,16417912.0,1000000,garden,4,candidate,lloyd,euclidean,opacity,100.0,0.0001,100.0,False,0.0065450528636574,0.0,0.0,16413803.0,16417912.0,12974323.0,3438415.0,1065.0,633.2214806429997,1.896952500000225,635.118433143,0.6280387869996957,10.688916041000084,run3,,f9b61526c99a,2026-09-17T08:34:05
lloyd_wopa_area,26.963132858276367,0.8423323035240173,0.1507599949836731,16409335.0,1000000,garden,4,candidate,lloyd,euclidean,opacity_area,100.0,0.0001,100.0,False,0.0059783025644719,0.0,0.0,16405132.0,16409335.0,12974323.0,3429744.0,1065.0,641.514312751,1.895136907000051,643.4094496580001,0.5296959170000264,10.727905945999735,run3,,f9b61526c99a,2026-09-17T08:45:00
uncompressed,25.5682373046875,0.7730290293693542,0.2167481184005737,,1000000,bicycle,4,uncompressed,,,,,,,,,,,236000000.0,,,,,,,,,10.329512564999275,run1,,b0998765ed93,2026-09-16T20:39:19
baseline,25.331127166748047,0.7639115452766418,0.2290631979703903,16242031.0,1000000,bicycle,4,baseline,torchpq,manhattan,none,100.0,0.0001,,,,0.0,0.0,16238295.0,16242031.0,12620991.0,3616239.0,1065.0,403.80257976199937,2.286894578999636,406.089474340999,1.0218512269984783,9.81570470800034,run2,,b0998765ed93,2026-09-16T21:19:10
lloyd_wopa,25.346923828125,0.764453113079071,0.2287106961011886,16229300.0,1000000,bicycle,4,candidate,lloyd,euclidean,opacity,100.0,0.0001,44.0,True,2.919515645771753e-05,0.0,0.0,16225556.0,16229300.0,12620991.0,3603500.0,1065.0,317.397368641,1.946985424000104,319.34435406500006,0.8207284410000284,11.081984092999846,run3,,f9b61526c99a,2026-09-17T08:20:18
lloyd_wopa_area,25.35771369934082,0.7639615535736084,0.2281242907047271,16219981.0,1000000,bicycle,4,candidate,lloyd,euclidean,opacity_area,100.0,0.0001,56.0,True,3.1407649657921866e-05,0.0,0.0,16216069.0,16219981.0,12620991.0,3594013.0,1065.0,404.81844179300015,1.9765708119998635,406.795012605,0.7236374010003601,10.979569377000187,run3,,f9b61526c99a,2026-09-17T08:27:17
uncompressed,26.93492889404297,0.7898927927017212,0.2132376730442047,,1000000,stump,4,uncompressed,,,,,,,,,0.0,0.0,236000000.0,,,,,,,,,6.9928268920002665,run4,52715bdb81d53bf3793b4052e6ed656458d74fb3,f7ce526204b2,2026-09-17T15:13:51
baseline,26.64469146728516,0.7787703275680542,0.2292856574058532,15731194.0,1000000,stump,4,baseline,torchpq,manhattan,none,100.0,0.0001,,,,0.0,0.0,15727518.0,15731194.0,12224579.0,3501874.0,1065.0,408.267191637,2.57935356400003,410.846545201,1.1263378519997786,6.223393474999739,run4,52715bdb81d53bf3793b4052e6ed656458d74fb3,f7ce526204b2,2026-09-17T15:20:50
