Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians,scene,variant,clustering,distance,weights,max_iter,tol,n_iters,converged,final_error,final_inertia,kmeans_seed,sort_seed,size_bytes,zip_bytes,png_bytes,shN_bytes,meta_bytes,kmeans_time_s,encode_time_s,compress_time_s,decompress_time_s,eval_time_s,gsplat_commit,timestamp
manhattan_log,26.881277084350582,0.8424888849258423,0.15159273147583,16449989.0,1000000,garden,check,torchpq,manhattan,none,100.0,0.0001,100.0,False,0.0106927696615457,1.1827547550201416,0,0,16445885.0,16449989.0,12974323.0,3470495.0,1067.0,419.054167559,1.9742869960000464,421.02845455500005,0.8337987149998298,11.32771191300003,f9b61526c99a,2026-09-17T08:05:10
sh2_render,25.946563720703125,0.8383262157440186,0.1478427946567535,,1000000,garden,sh_check,none,,,,,,,,,0,0,,,,,,,,,,10.337215772000036,f9b61526c99a,2026-09-17T08:05:20
euclid,26.84336471557617,0.8420401811599731,0.1518439948558807,16479661.0,1000000,garden,candidate,torchpq,euclidean,none,100.0,0.0001,100.0,False,0.005693981423974,0.059200745075941,0,0,16475619.0,16479661.0,12974323.0,3500229.0,1067.0,421.80728559,1.8520981309998208,423.6593837209998,0.6257215800001177,10.601621682999848,f9b61526c99a,2026-09-17T08:12:36
lloyd_w1,26.84502410888672,0.842056155204773,0.1518290489912033,16479824.0,1000000,garden,candidate,lloyd,euclidean,ones,100.0,0.0001,100.0,False,0.004180300515145,0.0592014535016656,0,0,16475746.0,16479824.0,12974323.0,3500356.0,1067.0,628.1248226600001,1.8625791039999056,629.987401764,0.9842017959999794,10.630885288999709,f9b61526c99a,2026-09-17T08:23:18
lloyd_wopa,26.913719177246094,0.8427398204803467,0.1512675285339355,16417912.0,1000000,garden,candidate,lloyd,euclidean,opacity,100.0,0.0001,100.0,False,0.0065450528636574,0.0611071199185425,0,0,16413803.0,16417912.0,12974323.0,3438415.0,1065.0,633.2214806429997,1.896952500000225,635.118433143,0.6280387869996957,10.688916041000084,f9b61526c99a,2026-09-17T08:34:05
lloyd_wopa_area,26.963132858276367,0.8423323035240173,0.1507599949836731,16409335.0,1000000,garden,candidate,lloyd,euclidean,opacity_area,100.0,0.0001,100.0,False,0.0059783025644719,0.06582990333754,0,0,16405132.0,16409335.0,12974323.0,3429744.0,1065.0,641.514312751,1.895136907000051,643.4094496580001,0.5296959170000264,10.727905945999735,f9b61526c99a,2026-09-17T08:45:00
iters_x,26.88095092773437,0.8424846529960632,0.1515854746103286,16449822.0,1000000,garden,candidate,torchpq,manhattan,none,300.0,0.0001,203.0,True,2.695287093956722e-06,1.182768702507019,0,0,16445824.0,16449822.0,12974323.0,3470434.0,1067.0,868.1667584070001,2.000077403999967,870.166835811,0.8541640769999503,10.658382122000148,f9b61526c99a,2026-09-17T09:00:09
lloyd_wopa,26.913360595703125,0.8426300883293152,0.1512357592582702,16400185.0,1000000,garden,candidate,lloyd,euclidean,opacity,100.0,0.0001,100.0,False,0.0051913438364863,0.0610824365940773,1,0,16396068.0,16400185.0,12974323.0,3420682.0,1063.0,584.9379781480002,2.1041111639997325,587.0420893119999,0.9986973790000776,10.815345023999726,f9b61526c99a,2026-09-17T09:15:26
lloyd_wopa_area,26.966476440429688,0.842354416847229,0.1508733332157135,16409970.0,1000000,garden,candidate,lloyd,euclidean,opacity_area,100.0,0.0001,100.0,False,0.0018844500882551,0.0658312081046414,1,0,16405784.0,16409970.0,12974323.0,3430395.0,1066.0,635.122090584,1.877346625000428,636.9994372090005,0.7468270049994317,10.679795594999632,f9b61526c99a,2026-09-17T09:26:16
lloyd_wopa,26.90237236022949,0.8427150249481201,0.1514325588941574,16399711.0,1000000,garden,candidate,lloyd,euclidean,opacity,100.0,0.0001,100.0,False,0.0031211643945425,0.061092368246432,2,0,16395598.0,16399711.0,12974323.0,3420212.0,1063.0,637.3899353729994,2.158380273000148,639.5483156459995,0.9743300099999032,10.793142385000465,f9b61526c99a,2026-09-17T09:37:34
lloyd_wopa_area,26.966726303100582,0.8423571586608887,0.150931641459465,16409699.0,1000000,garden,candidate,lloyd,euclidean,opacity_area,100.0,0.0001,100.0,False,0.0096283704042434,0.065831268327546,2,0,16405503.0,16409699.0,12974323.0,3430114.0,1066.0,639.3233999470003,1.8772024720001357,641.2006024190005,0.726967736000006,10.59990986899993,f9b61526c99a,2026-09-17T09:48:27
manhattan_log,25.331127166748047,0.7639115452766418,0.2290631979703903,16242139.0,1000000,bicycle,check,torchpq,manhattan,none,100.0,0.0001,100.0,False,0.0238263569772243,1.0150951147079468,0,0,16238295.0,16242139.0,12620991.0,3616239.0,1065.0,432.1041538260001,2.099941091000119,434.20409491700025,1.1060976659998687,11.16663526100001,f9b61526c99a,2026-09-17T08:05:33
sh2_render,24.580535888671875,0.7582411170005798,0.2266155034303665,,1000000,bicycle,sh_check,none,,,,,,,,,0,0,,,,,,,,,,11.071016019000126,f9b61526c99a,2026-09-17T08:05:44
euclid,25.3095645904541,0.7636440992355347,0.2292905896902084,16250744.0,1000000,bicycle,candidate,torchpq,euclidean,none,100.0,0.0001,42.0,True,7.135288615245372e-05,0.0469804853200912,0,0,16247018.0,16250744.0,12620991.0,3624962.0,1065.0,232.6380721789999,1.947686167000029,234.58575834599992,0.5741514670000925,10.90753476100008,f9b61526c99a,2026-09-17T08:09:51
lloyd_w1,25.30858421325684,0.7636275887489319,0.2292741537094116,16250748.0,1000000,bicycle,candidate,lloyd,euclidean,ones,100.0,0.0001,39.0,True,4.153920235694386e-05,0.0469815180180386,0,0,16246985.0,16250748.0,12620991.0,3624929.0,1065.0,281.3446301280003,1.9039272029999663,283.24855733100026,0.6507632789998752,11.017139207000127,f9b61526c99a,2026-09-17T08:14:46
lloyd_wopa,25.346923828125,0.764453113079071,0.2287106961011886,16229300.0,1000000,bicycle,candidate,lloyd,euclidean,opacity,100.0,0.0001,44.0,True,2.919515645771753e-05,0.0492343946989889,0,0,16225556.0,16229300.0,12620991.0,3603500.0,1065.0,317.397368641,1.946985424000104,319.34435406500006,0.8207284410000284,11.081984092999846,f9b61526c99a,2026-09-17T08:20:18
