scene,data_factor,config,source,PSNR,SSIM,LPIPS,zip_bytes,size_bytes,U_PSNR,dPSNR,dSSIM,dLPIPS,zip_pct,size_pct,kmeans_time_s,n_iters,converged
garden,4,baseline,run2,26.881277084350582,0.8424888849258423,0.15159273147583,16449880.0,16445885.0,27.31504440307617,0.0,0.0,0.0,0.0,0.0,433.2370865330013,,
garden,4,lloyd_wopa,run3,26.913719177246094,0.8427398204803467,0.1512675285339355,16417912.0,16413803.0,27.31504440307617,0.032442093,0.000250936,-0.000325203,-0.19433576415147646,-0.19507615430850445,633.2214806429997,100.0,False
garden,4,lloyd_wopa_area,run3,26.963132858276367,0.8423323035240173,0.1507599949836731,16409335.0,16405132.0,27.31504440307617,0.081855774,-0.000156581,-0.000832736,-0.2464759621346735,-0.24780058963077556,641.514312751,100.0,False
bicycle,4,baseline,run2,25.331127166748047,0.7639115452766418,0.2290631979703903,16242031.0,16238295.0,25.5682373046875,0.0,0.0,0.0,0.0,0.0,403.80257976199937,,
bicycle,4,lloyd_wopa,run3,25.346923828125,0.764453113079071,0.2287106961011886,16229300.0,16225556.0,25.5682373046875,0.015796661,0.000541568,-0.000352502,-0.07838305443450544,-0.07845035454768778,317.397368641,44.0,True
bicycle,4,lloyd_wopa_area,run3,25.35771369934082,0.7639615535736084,0.2281242907047271,16219981.0,16216069.0,25.5682373046875,0.026586533,5.0008e-05,-0.000938907,-0.13575888384894652,-0.13687397599316808,404.81844179300015,56.0,True
stump,4,baseline,run4,26.64469146728516,0.7787703275680542,0.2292856574058532,15731194.0,15727518.0,26.93492889404297,0.0,0.0,0.0,0.0,0.0,408.267191637,,
stump,4,lloyd_wopa,run4,26.66986083984375,0.779373824596405,0.2287607342004776,15710705.0,15706996.0,26.93492889404297,0.025169373,0.000603497,-0.000524923,-0.13024440484301625,-0.130484670244857,289.8405083759999,51.0,True
stump,4,lloyd_wopa_area,run4,26.69283103942871,0.7792905569076538,0.2282379567623138,15740146.0,15736366.0,26.93492889404297,0.048139572,0.000520229,-0.001047701,0.05690604285981671,0.056258082171645185,460.7573363460001,81.0,True
bonsai,2,baseline,run4,31.76881599426269,0.9438884854316713,0.1715504080057144,15907878.0,15903973.0,32.62820053100586,0.0,0.0,0.0,0.0,0.0,435.253497103,,
bonsai,2,lloyd_wopa,run4,31.901443481445312,0.9464641213417052,0.1712623089551925,15856031.0,15852190.0,32.62820053100586,0.132627487,0.002575636,-0.000288099,-0.3259202767333269,-0.32559788676703727,280.71782763100055,41.0,True
bonsai,2,lloyd_wopa_area,run4,32.04087829589844,0.945249319076538,0.1713543534278869,15859816.0,15855879.0,32.62820053100586,0.272062302,0.001360834,-0.000196055,-0.30212703416508946,-0.3024024248532098,373.66752283000005,55.0,True
counter,2,baseline,run4,28.92838287353516,0.913530170917511,0.1743880808353424,15995094.0,15991192.0,29.4740047454834,0.0,0.0,0.0,0.0,0.0,409.0485143400001,,
counter,2,lloyd_wopa,run4,29.012176513671875,0.915507674217224,0.173325777053833,15996525.0,15992537.0,29.4740047454834,0.08379364,0.001977503,-0.001062304,0.008946493218475737,0.00841088018954661,534.6821563350004,94.0,True
counter,2,lloyd_wopa_area,run4,29.116920471191406,0.9151911735534668,0.1730268448591232,16034581.0,16030470.0,29.4740047454834,0.188537598,0.001661003,-0.001361236,0.246869446343978,0.24562271530477187,489.5820369390003,86.0,True
kitchen,2,baseline,run4,30.87204933166504,0.9274904727935792,0.123754546046257,15712306.0,15708313.0,31.696407318115234,0.0,0.0,0.0,0.0,0.0,433.5874179129987,,
kitchen,2,lloyd_wopa,run4,30.98431968688965,0.9282066226005554,0.1230197772383689,15679855.0,15675887.0,31.696407318115234,0.112270355,0.00071615,-0.000734769,-0.20653238296147736,-0.2064257313945772,622.3846225040015,92.0,True
kitchen,2,lloyd_wopa_area,run4,31.11947631835937,0.9285764694213868,0.122485376894474,15638347.0,15634260.0,31.696407318115234,0.247426987,0.001085997,-0.001269169,-0.4707074824026436,-0.47142554391422786,587.4438915200008,87.0,True
room,2,baseline,run4,31.98463249206543,0.9330394864082336,0.1768112480640411,15731092.0,15727712.0,32.37018585205078,0.0,0.0,0.0,0.0,0.0,408.14285009299965,,
room,2,lloyd_wopa,run4,32.010887145996094,0.9332002401351928,0.1766143441200256,15704181.0,15700831.0,32.37018585205078,0.026254654,0.000160754,-0.000196904,-0.1710688615895184,-0.17091487941793826,234.01108914399992,41.0,True
room,2,lloyd_wopa_area,run4,32.06923294067383,0.9336980581283568,0.1765708923339843,15697613.0,15694196.0,32.37018585205078,0.084600449,0.000658572,-0.000240356,-0.2128205721509957,-0.2131015623887289,262.5573229959992,46.0,True
treehill,4,baseline,run4,23.23360252380371,0.6557396650314331,0.3322463035583496,15875616.0,15873857.0,23.33470344543457,0.0,0.0,0.0,0.0,0.0,436.5499004760004,,
treehill,4,lloyd_wopa,run4,23.22373390197754,0.6560341119766235,0.3319829404354095,15861687.0,15859915.0,23.33470344543457,-0.009868622,0.000294447,-0.000263363,-0.08773832776000079,-0.08782994580334158,326.35615016500014,48.0,True
treehill,4,lloyd_wopa_area,run4,23.238508224487305,0.656144380569458,0.3312221765518188,15852475.0,15850599.0,23.33470344543457,0.004905701,0.000404716,-0.001024127,-0.14576442262146383,-0.14651763588395816,593.8464713569992,87.0,True
flowers,4,baseline,run4,21.79166030883789,0.6135787963867188,0.344018816947937,16404698.0,16400657.0,22.01067924499512,0.0,0.0,0.0,0.0,0.0,408.6462105610008,,
flowers,4,lloyd_wopa,run4,21.81789207458496,0.6146348118782043,0.3434109687805176,16397737.0,16393615.0,22.01067924499512,0.026231766,0.001056015,-0.000607848,-0.04243296645874972,-0.04293730427994413,354.8578852520004,63.0,True
flowers,4,lloyd_wopa_area,run4,21.835824966430664,0.6144742965698242,0.3425472974777221,16448533.0,16444351.0,22.01067924499512,0.044164658,0.0008955,-0.001471519,0.26721003946552635,0.2664161563771472,566.5149518870003,100.0,False
