dataset,scene,config,kmeans_backend,kmeans_weighting,kmeans_time_s,compress_time_s,peak_mem_bytes,n_iters
mipnerf360,garden,baseline_lib,torchpq,,426.9677122830008,429.3040437459995,1260637184,
mipnerf360,garden,lloyd_wopa,builtin,opacity,673.356424951,675.4959601789997,3373459456,
mipnerf360,garden,lloyd_wopa_area,builtin,opacity_area,645.6325985449994,648.0039542690001,3613755904,
mipnerf360,bicycle,baseline_lib,torchpq,,402.9429139779995,405.4684200689999,1262059520,
mipnerf360,bicycle,lloyd_wopa,builtin,opacity,282.73083705799945,284.8616883909999,3375406592,
mipnerf360,bicycle,lloyd_wopa_area,builtin,opacity_area,338.9526177959997,341.4303566949993,3615178240,
mipnerf360,stump,baseline_lib,torchpq,,404.847229725,407.4711897240004,1262448640,
mipnerf360,stump,lloyd_wopa,builtin,opacity,326.04302473400094,328.3926724510002,3375791104,
mipnerf360,stump,lloyd_wopa_area,builtin,opacity_area,521.7121707949991,524.0832651189994,3375799296,
mipnerf360,bonsai,baseline_lib,torchpq,,398.2907244979997,400.833647296,1260124160,
mipnerf360,bonsai,lloyd_wopa,builtin,opacity,260.95245508800144,263.2947381539998,3372556288,
mipnerf360,bonsai,lloyd_wopa_area,builtin,opacity_area,388.037819526,390.3695987930005,3372575232,
mipnerf360,counter,baseline_lib,torchpq,,405.3269362459996,407.87244660000033,1260409344,
mipnerf360,counter,lloyd_wopa,builtin,opacity,607.5539373970005,609.7931990069992,3374536704,
mipnerf360,counter,lloyd_wopa_area,builtin,opacity_area,555.7807003569997,558.0254807639994,3374552064,
mipnerf360,kitchen,baseline_lib,torchpq,,397.5597128999998,400.1710234509992,1260355072,
mipnerf360,kitchen,lloyd_wopa,builtin,opacity,582.9441971300002,585.3448919849998,3372786688,
mipnerf360,kitchen,lloyd_wopa_area,builtin,opacity_area,599.4767509949997,601.8835134700003,3372804608,
mipnerf360,room,baseline_lib,torchpq,,404.4149540109993,407.1397732210007,1262360576,
mipnerf360,room,lloyd_wopa,builtin,opacity,264.266731406,266.68004243,3375764992,
mipnerf360,room,lloyd_wopa_area,builtin,opacity_area,297.3090565750008,299.74608162500044,3375784960,
mipnerf360,treehill,baseline_lib,torchpq,,400.5233082529994,403.2872599010007,1262404096,
mipnerf360,treehill,lloyd_wopa,builtin,opacity,303.3778876150009,305.8144080719994,3375223296,
mipnerf360,treehill,lloyd_wopa_area,builtin,opacity_area,596.9209823269994,599.4808085929999,3376163840,
mipnerf360,flowers,baseline_lib,torchpq,,404.5002140100005,406.8435391540006,1261862912,
mipnerf360,flowers,lloyd_wopa,builtin,opacity,401.8490451260004,403.8391055640004,3375986176,
mipnerf360,flowers,lloyd_wopa_area,builtin,opacity_area,644.1332598839999,646.1638676309994,3375220224,
tandt,train,baseline,torchpq,,414.9944350730002,417.487547222001,1029027328,
tandt,train,lloyd_wopa,builtin,opacity,241.15141848499843,243.38103645199956,3373821952,
tandt,train,lloyd_wopa_area,builtin,opacity_area,357.3249006549995,359.63556986799813,3374559744,
tandt,truck,baseline,torchpq,,417.83939806299895,420.3240065709979,1028519424,
tandt,truck,lloyd_wopa,builtin,opacity,252.092244337,254.2172979670031,3374644736,
tandt,truck,lloyd_wopa_area,builtin,opacity_area,297.989968924001,300.1328807530008,3374661120,
