Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians,scene,data_factor,variant,clustering,distance,weights,max_iter,tol,n_iters,converged,final_error,kmeans_seed,sort_seed,size_bytes,zip_bytes,png_bytes,shN_bytes,meta_bytes,kmeans_time_s,encode_time_s,compress_time_s,decompress_time_s,eval_time_s,source,ckpt_sha1,gsplat_commit,timestamp,dataset,kmeans_backend,kmeans_weighting,peak_mem_bytes,shn_sha1
lloyd_wopa_area,25.35771369934082,0.7639615535736084,0.2281242907047271,16219981.0,1000000,bicycle,4,candidate,lloyd,euclidean,opacity_area,100.0,0.0001,,,,0,0,16216069,16219981.0,12620991.0,3594013.0,1065.0,338.9526177959997,2.4777388989996325,341.4303566949993,1.2572051170000125,11.192221282999526,run5,122a280de4da86448d1581e9fb27f90ae6f71b8c,3bc8eb6cdf12,2026-09-17T22:33:06,mipnerf360,builtin,opacity_area,3615178240.0,f5445c1d91dd16194304c48d7c23a0ff8333572c
baseline_lib,25.33353042602539,0.7639318704605103,0.2290578335523605,16242176.0,1000000,bicycle,4,baseline,torchpq,manhattan,none,100.0,0.0001,,,,0,0,16238336,16242176.0,12620991.0,3616280.0,1065.0,402.9429139779995,2.525506091000352,405.4684200689999,1.2578766630003884,10.62404278500071,run5,122a280de4da86448d1581e9fb27f90ae6f71b8c,3bc8eb6cdf12,2026-09-17T22:45:57,mipnerf360,torchpq,,1262059520.0,ee6ddb7f1f9e83622cc01b07e500ad8cbf89da77
lloyd_wopa,25.346923828125,0.764453113079071,0.2287106961011886,16229300.0,1000000,bicycle,4,candidate,lloyd,euclidean,opacity,100.0,0.0001,,,,0,0,16225556,16229300.0,12620991.0,3603500.0,1065.0,282.73083705799945,2.1308513330004644,284.8616883909999,0.9921568690006096,10.281067595999955,run5,122a280de4da86448d1581e9fb27f90ae6f71b8c,3bc8eb6cdf12,2026-09-17T22:50:54,mipnerf360,builtin,opacity,3375406592.0,2cb6586d78c18339f718e1d0fb9001f413f85650
baseline_lib,31.76881599426269,0.9438884854316713,0.1715504080057144,15907950.0,1000000,bonsai,2,baseline,torchpq,manhattan,none,100.0,0.0001,,,,0,0,15903973,15907950.0,12348358.0,3554555.0,1060.0,398.2907244979997,2.54292279800029,400.833647296,1.0299306760007312,25.39327581999896,run5,60868efab7cfd97dada0ea6badcb8a2700c7d7c8,3bc8eb6cdf12,2026-09-17T23:11:45,mipnerf360,torchpq,,1260124160.0,5e538d764d434305a5af1cfcee8c62d7303d1d47
lloyd_wopa,31.901443481445312,0.9464641213417052,0.1712623089551925,15856031.0,1000000,bonsai,2,candidate,lloyd,euclidean,opacity,100.0,0.0001,,,,0,0,15852190,15856031.0,12348358.0,3502773.0,1059.0,260.95245508800144,2.3422830659983447,263.2947381539998,1.0030186570002115,28.060395028998755,run5,60868efab7cfd97dada0ea6badcb8a2700c7d7c8,3bc8eb6cdf12,2026-09-17T23:16:38,mipnerf360,builtin,opacity,3372556288.0,218d83a6df0af33cc55a7c4221052bdb1024bbc1
lloyd_wopa_area,32.04087829589844,0.945249319076538,0.1713543534278869,15859816.0,1000000,bonsai,2,candidate,lloyd,euclidean,opacity_area,100.0,0.0001,,,,0,0,15855879,15859816.0,12348358.0,3506462.0,1059.0,388.037819526,2.3317792670004565,390.3695987930005,0.9084172599996236,26.903357938001136,run5,60868efab7cfd97dada0ea6badcb8a2700c7d7c8,3bc8eb6cdf12,2026-09-17T23:23:37,mipnerf360,builtin,opacity_area,3372575232.0,12178f3ef1c9b216aa8012d1d3ca6540af4cc410
baseline_lib,28.92838287353516,0.913530170917511,0.1743880808353424,15995166.0,1000000,counter,2,baseline,torchpq,manhattan,none,100.0,0.0001,,,,0,0,15991192,15995166.0,12512912.0,3477216.0,1064.0,405.3269362459996,2.545510354000726,407.87244660000033,1.0152010420006263,20.884721497999635,run5,50464c36ef6e1b0c2da3012bc7c8b3feb1a410c2,3bc8eb6cdf12,2026-09-17T23:28:34,mipnerf360,torchpq,,1260409344.0,3a09eafcac64c81163ec23675c121b7d7c9fbf26
lloyd_wopa,29.012176513671875,0.915507674217224,0.173325777053833,15996525.0,1000000,counter,2,candidate,lloyd,euclidean,opacity,100.0,0.0001,,,,0,0,15992537,15996525.0,12512912.0,3478561.0,1064.0,607.5539373970005,2.239261609998721,609.7931990069992,1.0082470699999249,20.745414222999894,run5,50464c36ef6e1b0c2da3012bc7c8b3feb1a410c2,3bc8eb6cdf12,2026-09-17T23:39:06,mipnerf360,builtin,opacity,3374536704.0,202fbce63f69abac5fa18c0bf727cae33a65c5a2
lloyd_wopa_area,29.116920471191406,0.9151911735534668,0.1730268448591232,16034581.0,1000000,counter,2,candidate,lloyd,euclidean,opacity_area,100.0,0.0001,,,,0,0,16030470,16034581.0,12512912.0,3516494.0,1064.0,555.7807003569997,2.24478040699978,558.0254807639994,1.2144376750002266,20.742524040999346,run5,50464c36ef6e1b0c2da3012bc7c8b3feb1a410c2,3bc8eb6cdf12,2026-09-17T23:48:47,mipnerf360,builtin,opacity_area,3374552064.0,164659461094b43c38c0eae55eb49add134fa126
baseline_lib,21.79166030883789,0.6135787963867188,0.344018816947937,16404770.0,1000000,flowers,4,baseline,torchpq,manhattan,none,100.0,0.0001,,,,0,0,16400657,16404770.0,12796494.0,3603099.0,1064.0,404.5002140100005,2.3433251440001186,406.8435391540006,0.9899154190006813,9.469754449999527,run5,d0ea4a76881fb22b0c2848903cb0cce0001b06d5,3bc8eb6cdf12,2026-09-18T00:24:33,mipnerf360,torchpq,,1261862912.0,671429105e04fb5384a62b30117b76fb6822de3c
lloyd_wopa,21.81789207458496,0.6146348118782043,0.3434109687805176,16397737.0,1000000,flowers,4,candidate,lloyd,euclidean,opacity,100.0,0.0001,,,,0,0,16393615,16397737.0,12796494.0,3596057.0,1064.0,401.8490451260004,1.9900604380000004,403.8391055640004,0.9073856030008756,9.096434907000004,run5,d0ea4a76881fb22b0c2848903cb0cce0001b06d5,3bc8eb6cdf12,2026-09-18T00:31:27,mipnerf360,builtin,opacity,3375986176.0,11a65a5ea080bc5f5deb1d67b7efb58d0f988f9f
lloyd_wopa_area,21.835824966430664,0.6144742965698242,0.3425472974777221,16448533.0,1000000,flowers,4,candidate,lloyd,euclidean,opacity_area,100.0,0.0001,,,,0,0,16444351,16448533.0,12796494.0,3646793.0,1064.0,644.1332598839999,2.0306077469995216,646.1638676309994,0.9336465730011696,9.15076757099996,run5,d0ea4a76881fb22b0c2848903cb0cce0001b06d5,3bc8eb6cdf12,2026-09-18T00:42:24,mipnerf360,builtin,opacity_area,3375220224.0,2f8d0a7ab75d5693d8049be693eb4018360c2d5f
lloyd_wopa_area,26.963132858276367,0.8423323035240173,0.1507599949836731,16409335.0,1000000,garden,4,candidate,lloyd,euclidean,opacity_area,100.0,0.0001,,,,0,0,16405132,16409335.0,12974323.0,3429744.0,1065.0,645.6325985449994,2.3713557240007503,648.0039542690001,0.8943074509998041,11.652787108999291,run5,e1ac1e31dde161dac584ff107198217b5e90e1db,3bc8eb6cdf12,2026-09-17T22:38:34,mipnerf360,builtin,opacity_area,3613755904.0,d166cdfa04cc805b5ac7caca171e21b4f3031b93
baseline_lib,26.881277084350582,0.8424888849258423,0.15159273147583,16449970.0,1000000,garden,4,baseline,torchpq,manhattan,none,100.0,0.0001,,,,0,0,16445885,16449970.0,12974323.0,3470495.0,1067.0,426.9677122830008,2.3363314629987144,429.3040437459995,1.1902523409999048,11.319153028999608,run5,e1ac1e31dde161dac584ff107198217b5e90e1db,3bc8eb6cdf12,2026-09-17T22:46:25,mipnerf360,torchpq,,1260637184.0,70edfe792927a9b1d3f22b4b95f0d50749d32db5
lloyd_wopa,26.913719177246094,0.8427398204803467,0.1512675285339355,16417912.0,1000000,garden,4,candidate,lloyd,euclidean,opacity,100.0,0.0001,,,,0,0,16413803,16417912.0,12974323.0,3438415.0,1065.0,673.356424951,2.1395352279996587,675.4959601789997,0.9361326560001544,10.975409043000582,run5,e1ac1e31dde161dac584ff107198217b5e90e1db,3bc8eb6cdf12,2026-09-17T22:57:53,mipnerf360,builtin,opacity,3373459456.0,fbae182cf8a8e3bc6dcd32553b9d2fdd3bdb7fc2
baseline_lib,30.87204933166504,0.9274904727935792,0.123754546046257,15712378.0,1000000,kitchen,2,baseline,torchpq,manhattan,none,100.0,0.0001,,,,0,0,15708313,15712378.0,12120869.0,3586380.0,1064.0,397.5597128999998,2.6113105509994057,400.1710234509992,1.3000167360005437,24.044191897999557,run5,8e5e31d4a8d25f458ac55f95a72f442bde2c0f83,3bc8eb6cdf12,2026-09-17T23:37:05,mipnerf360,torchpq,,1260355072.0,e88c56a1c1b0d3c31d3ce6da08e951d978dc07ce
lloyd_wopa,30.98431968688965,0.9282066226005554,0.1230197772383689,15679855.0,1000000,kitchen,2,candidate,lloyd,euclidean,opacity,100.0,0.0001,,,,0,0,15675887,15679855.0,12120869.0,3553954.0,1064.0,582.9441971300002,2.4006948549995286,585.3448919849998,0.975088113998936,23.05304055200031,run5,8e5e31d4a8d25f458ac55f95a72f442bde2c0f83,3bc8eb6cdf12,2026-09-17T23:47:15,mipnerf360,builtin,opacity,3372786688.0,2821dbefe7da7a074ec72ae8f1d119c400addf50
lloyd_wopa_area,31.11947631835937,0.9285764694213868,0.122485376894474,15638347.0,1000000,kitchen,2,candidate,lloyd,euclidean,opacity_area,100.0,0.0001,,,,0,0,15634260,15638347.0,12120869.0,3512327.0,1064.0,599.4767509949997,2.406762475000505,601.8835134700003,1.121502578000218,25.432444738000413,run5,8e5e31d4a8d25f458ac55f95a72f442bde2c0f83,3bc8eb6cdf12,2026-09-17T23:57:44,mipnerf360,builtin,opacity_area,3372804608.0,27fc15c364a7373b36a6f663c76b9111e3119712
baseline_lib,31.98463249206543,0.9330394864082336,0.1768112480640411,15731164.0,1000000,room,2,baseline,torchpq,manhattan,none,100.0,0.0001,,,,0,0,15727712,15731164.0,12434186.0,3292460.0,1066.0,404.4149540109993,2.724819210001442,407.1397732210007,1.2190899589986657,26.664893699999084,run5,843339232b480503676f8cd4e7dd1cea9ad78749,3bc8eb6cdf12,2026-09-18T00:03:25,mipnerf360,torchpq,,1262360576.0,0a0c4ce373bcd7937fe21ac1eb6c8a26c0ac38b2
lloyd_wopa,32.010887145996094,0.9332002401351928,0.1766143441200256,15704181.0,1000000,room,2,candidate,lloyd,euclidean,opacity,100.0,0.0001,,,,0,0,15700831,15704181.0,12434186.0,3265579.0,1066.0,264.266731406,2.413311023999995,266.68004243,1.1736611260002974,26.75565328799894,run5,843339232b480503676f8cd4e7dd1cea9ad78749,3bc8eb6cdf12,2026-09-18T00:08:20,mipnerf360,builtin,opacity,3375764992.0,e83584afee1ab81aadc05e2438ac7f8168fc6538
lloyd_wopa_area,32.06923294067383,0.9336980581283568,0.1765708923339843,15697613.0,1000000,room,2,candidate,lloyd,euclidean,opacity_area,100.0,0.0001,,,,0,0,15694196,15697613.0,12434186.0,3258944.0,1066.0,297.3090565750008,2.4370250499996478,299.74608162500044,0.8246056300013151,26.48352064199935,run5,843339232b480503676f8cd4e7dd1cea9ad78749,3bc8eb6cdf12,2026-09-18T00:13:47,mipnerf360,builtin,opacity_area,3375784960.0,b1a5d7525497091611b721fe86be5388e20eb1c5
baseline_lib,26.64475440979004,0.7787700891494751,0.2292945235967636,15731272.0,1000000,stump,4,baseline,torchpq,manhattan,none,100.0,0.0001,,,,0,0,15727521,15731272.0,12224579.0,3501877.0,1065.0,404.847229725,2.6239599990003626,407.4711897240004,0.9882704029996604,7.049408379999477,run5,52715bdb81d53bf3793b4052e6ed656458d74fb3,3bc8eb6cdf12,2026-09-17T23:01:00,mipnerf360,torchpq,,1262448640.0,1e227306c2b655aa4dc97ba6ecdc98ae8f61813c
lloyd_wopa,26.66986083984375,0.779373824596405,0.2287607342004776,15710705.0,1000000,stump,4,candidate,lloyd,euclidean,opacity,100.0,0.0001,,,,0,0,15706996,15710705.0,12224579.0,3481352.0,1065.0,326.04302473400094,2.349647716999243,328.3926724510002,1.0205134690004345,6.695873331000257,run5,52715bdb81d53bf3793b4052e6ed656458d74fb3,3bc8eb6cdf12,2026-09-17T23:06:37,mipnerf360,builtin,opacity,3375791104.0,c9d36a9501d2485d29a0f06b3d3c2f777441ab60
lloyd_wopa_area,26.69283103942871,0.7792905569076538,0.2282379567623138,15740146.0,1000000,stump,4,candidate,lloyd,euclidean,opacity_area,100.0,0.0001,,,,0,0,15736366,15740146.0,12224579.0,3510722.0,1065.0,521.7121707949991,2.371094324000296,524.0832651189994,1.015403764000439,6.667275338000763,run5,52715bdb81d53bf3793b4052e6ed656458d74fb3,3bc8eb6cdf12,2026-09-17T23:15:29,mipnerf360,builtin,opacity_area,3375799296.0,f9a2d1d25aa883d6eeef4cff5d93969456a19e4b
baseline_lib,23.23360252380371,0.6557396650314331,0.3322463035583496,15875688.0,1000000,treehill,4,baseline,torchpq,manhattan,none,100.0,0.0001,,,,0,0,15873857,15875688.0,12439164.0,3433631.0,1062.0,400.5233082529994,2.763951648001239,403.2872599010007,1.0674958500003413,7.966218106999804,run5,66fcadcf3298034c06227e69e6381e5a539f6980,3bc8eb6cdf12,2026-09-18T00:08:03,mipnerf360,torchpq,,1262404096.0,7d666d945b2950ec46dc0c0ad65414bba7f84ab0
lloyd_wopa,23.22373390197754,0.6560341119766235,0.3319829404354095,15861687.0,1000000,treehill,4,candidate,lloyd,euclidean,opacity,100.0,0.0001,,,,0,0,15859915,15861687.0,12439164.0,3419688.0,1063.0,303.3778876150009,2.436520456998551,305.8144080719994,1.224544116999823,7.55571577199953,run5,66fcadcf3298034c06227e69e6381e5a539f6980,3bc8eb6cdf12,2026-09-18T00:13:18,mipnerf360,builtin,opacity,3375223296.0,d4e9b5f28e8b3971bfd4ff2b801ac9ecffc80669
lloyd_wopa_area,23.238508224487305,0.656144380569458,0.3312221765518188,15852475.0,1000000,treehill,4,candidate,lloyd,euclidean,opacity_area,100.0,0.0001,,,,0,0,15850599,15852475.0,12439164.0,3410372.0,1063.0,596.9209823269994,2.5598262660005275,599.4808085929999,0.8459588830010034,7.471202839999023,run5,66fcadcf3298034c06227e69e6381e5a539f6980,3bc8eb6cdf12,2026-09-18T00:23:27,mipnerf360,builtin,opacity_area,3376163840.0,6be4003e2211ad8ae2686e08418713952a38ba71
uncompressed,22.502086639404297,0.8315284252166748,0.1854654997587204,,1000000,train,1,uncompressed,,,,,,,,,0,0,236000000,,,,,,,,,8.400421737000215,run5,15394ef18333d9edd61facf46874238b45e84de7,3bc8eb6cdf12,2026-09-18T01:19:42,tandt,,,,
baseline,22.33097076416016,0.8244946002960205,0.1942205131053924,15918371.0,1000000,train,1,baseline,torchpq,manhattan,none,100.0,0.0001,,,,0,0,15914416,15918371.0,12522704.0,3390643.0,1069.0,414.9944350730002,2.493112149000808,417.487547222001,1.060398214001907,8.494000480000977,run5,15394ef18333d9edd61facf46874238b45e84de7,3bc8eb6cdf12,2026-09-18T01:26:50,tandt,torchpq,,1029027328.0,57595911df794ade55287d1b47add9a92bd68b7b
lloyd_wopa,22.330245971679688,0.8248854875564575,0.1938666999340057,15930428.0,1000000,train,1,candidate,lloyd,euclidean,opacity,100.0,0.0001,,,,0,0,15926505,15930428.0,12522704.0,3402732.0,1069.0,241.15141848499843,2.2296179670011043,243.38103645199956,0.9786072530005184,8.393279967996932,run5,15394ef18333d9edd61facf46874238b45e84de7,3bc8eb6cdf12,2026-09-18T01:31:03,tandt,builtin,opacity,3373821952.0,8579796b6a313953d804456bcf2619f1f24da929
lloyd_wopa_area,22.391849517822266,0.8246894478797913,0.1938400417566299,15918606.0,1000000,train,1,candidate,lloyd,euclidean,opacity_area,100.0,0.0001,,,,0,0,15914568,15918606.0,12522704.0,3390795.0,1069.0,357.3249006549995,2.3106692129986186,359.63556986799813,0.8947262349975063,8.894949394998548,run5,15394ef18333d9edd61facf46874238b45e84de7,3bc8eb6cdf12,2026-09-18T01:37:13,tandt,builtin,opacity_area,3374559744.0,dfc1ce55c8cef9070c50ce26bb77fed8887caff5
uncompressed,26.009292602539062,0.8908079862594604,0.1251037716865539,,1000000,truck,1,uncompressed,,,,,,,,,0,0,236000000,,,,,,,,,7.693918560000384,run5,4b9c9babe37cf16db99d286be8e6af805a776d6c,3bc8eb6cdf12,2026-09-18T01:17:39,tandt,,,,
baseline,25.8209285736084,0.8852736949920654,0.1324158310890197,16292871.0,1000000,truck,1,baseline,torchpq,manhattan,none,100.0,0.0001,,,,0,0,16288902,16292871.0,12854629.0,3433213.0,1060.0,417.83939806299895,2.484608507998928,420.3240065709979,1.2892987600025665,7.205934493998939,run5,4b9c9babe37cf16db99d286be8e6af805a776d6c,3bc8eb6cdf12,2026-09-18T01:24:48,tandt,torchpq,,1028519424.0,bcc35f821a322f62ae72130a244a855977f4c2ed
lloyd_wopa,25.830982208251957,0.8855726718902588,0.1325156092643737,16285019.0,1000000,truck,1,candidate,lloyd,euclidean,opacity,100.0,0.0001,,,,0,0,16281069,16285019.0,12854629.0,3425380.0,1060.0,252.092244337,2.1250536300030944,254.2172979670031,1.1368490050008404,7.218724695001583,run5,4b9c9babe37cf16db99d286be8e6af805a776d6c,3bc8eb6cdf12,2026-09-18T01:29:11,tandt,builtin,opacity,3374644736.0,6d3beabdc5723fbd53e5cec4e7decb8aaceb1ba8
lloyd_wopa_area,25.865009307861328,0.8855994939804077,0.1322460621595382,16317878.0,1000000,truck,1,candidate,lloyd,euclidean,opacity_area,100.0,0.0001,,,,0,0,16313832,16317878.0,12854629.0,3458143.0,1060.0,297.989968924001,2.142911828999786,300.1328807530008,1.175682936998783,7.257085016997735,run5,4b9c9babe37cf16db99d286be8e6af805a776d6c,3bc8eb6cdf12,2026-09-18T01:34:20,tandt,builtin,opacity_area,3374661120.0,8fb96cf1c34bd01193778caa4351a3699a290ed6
