Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians,scene,variant,shn_mode,group,codebook_bits,n_clusters,kept_coeffs,png_raw,kmeans_seed,sort_seed,size_bytes,zip_bytes,png_bytes,shN_bytes,meta_bytes,kmeans_time_s,compress_time_s,decompress_time_s,eval_time_s,gsplat_commit,timestamp
baseline,25.331127166748047,0.7639115452766418,0.22906319797039032,16242031,1000000,bicycle,baseline,scalar,,6,65536,15,False,0,0,16238295,16242031,12620991,3616239,1065,403.80257976199937,2.286894578999636,1.0218512269984785,9.81570470800034,b0998765ed93,2026-09-16T21:19:10
P_png_raw,25.391742706298828,0.7663517594337463,0.22781115770339966,54640664,1000000,bicycle,decomp,scalar,,6,65536,15,True,0,0,54630767,54640664,0,3616239,470,403.80257976199937,3.487144172999251,1.2157828719991812,9.442038881001281,b0998765ed93,2026-09-16T21:19:26
S_shn_raw,25.505075454711914,0.7705754041671753,0.21803052723407745,179563098,1000000,bicycle,decomp,raw,,,,,False,0,0,179533107,179563098,12620991,166911114,1002,,11.393905856000856,1.6418099980000989,9.450691461999668,b0998765ed93,2026-09-16T21:19:55
F_float_centroids,25.342199325561523,0.7642706632614136,0.22882495820522308,25600635,1000000,bicycle,decomp,float,,,65536,15,False,0,0,25595299,25600635,12620991,12973258,1050,403.80257976199937,2.5203614749989356,0.648835224999857,9.459134777000145,b0998765ed93,2026-09-16T21:20:09
dim_b5,25.30904197692871,0.7632853388786316,0.22976863384246826,15971092,1000000,bicycle,dim,group,dim,5,65536,15,False,0,0,15967615,15971092,12620991,3345538,1086,403.80257976199937,2.3195964049991744,0.5877942939987406,9.453967503000968,b0998765ed93,2026-09-16T21:20:22
dim_b6,25.335933685302734,0.7640450596809387,0.22900983691215515,16350639,1000000,bicycle,dim,group,dim,6,65536,15,False,0,0,16347105,16350639,12620991,3725028,1086,403.80257976199937,2.1341456760001165,0.6378941950006265,9.5549568309998,b0998765ed93,2026-09-16T21:20:34
dim_b7,25.340744018554688,0.7642152905464172,0.228877991437912,16649082,1000000,bicycle,dim,group,dim,7,65536,15,False,0,0,16645516,16649082,12620991,4023439,1086,403.80257976199937,2.0677306140005385,0.6785386760002439,9.588026401001116,b0998765ed93,2026-09-16T21:20:47
dim_b8,25.34218406677246,0.7642645239830017,0.22886230051517487,16928337,1000000,bicycle,dim,group,dim,8,65536,15,False,0,0,16924708,16928337,12620991,4302631,1086,403.80257976199937,2.022845536999739,0.6334044599989284,9.564977856000041,b0998765ed93,2026-09-16T21:21:00
band_b5,25.309017181396484,0.7631153464317322,0.22960151731967926,15915246,1000000,bicycle,band,group,band,5,65536,15,False,0,0,15911770,15915246,12620991,3289692,1087,403.80257976199937,2.410851904000083,0.624270386999342,9.472750398999779,b0998765ed93,2026-09-16T21:21:13
band_b6,25.334232330322266,0.7639895677566528,0.22892284393310547,16295517,1000000,bicycle,band,group,band,6,65536,15,False,0,0,16291960,16295517,12620991,3669882,1087,403.80257976199937,2.089993773999595,0.6495385300004273,9.519566416000089,b0998765ed93,2026-09-16T21:21:26
k32768_dim_b6,25.290082931518555,0.7628755569458008,0.23060573637485504,15468535,1000000,bicycle,kmeans,group,dim,6,32768,15,False,0,0,15464931,15468535,12620991,2842854,1086,203.2983696350002,1.8738818199999514,0.5043296959993313,9.498362666998219,b0998765ed93,2026-09-16T21:25:02
drop3_dim_b6,24.4580078125,0.7532556056976318,0.2335885912179947,15542106,1000000,bicycle,kmeans,group,dim,6,65536,8,False,0,0,15538604,15542106,12620991,2916528,1085,210.26847533199907,1.9466821570003958,0.5559989100001985,9.488877091000177,b0998765ed93,2026-09-16T21:28:45
baseline,25.331283569335938,0.7639626860618591,0.22884581983089447,16217116,1000000,bicycle,baseline,scalar,,6,65536,15,False,1,0,16213362,16217116,12620991,3591306,1065,398.40999265499886,2.276599630999044,0.9812688410002011,9.797194358001434,b0998765ed93,2026-09-16T21:37:20
dim_b5,25.31516456604004,0.7634308934211731,0.22927583754062653,15990223,1000000,bicycle,dim,group,dim,5,65536,15,False,1,0,15986731,15990223,12620991,3364654,1086,398.40999265499886,2.3709373729998333,0.5725992709994898,9.399412702001428,b0998765ed93,2026-09-16T21:37:33
band_b5,25.301218032836914,0.7630578279495239,0.22976677119731903,15913198,1000000,bicycle,band,group,band,5,65536,15,False,1,0,15909702,15913198,12620991,3287624,1087,398.40999265499886,2.410751272998823,0.6461295160006557,9.53726850000021,b0998765ed93,2026-09-16T21:37:47
baseline,25.324731826782227,0.7639457583427429,0.22919286787509918,16268202,1000000,bicycle,baseline,scalar,,6,65536,15,False,2,0,16264442,16268202,12620991,3642386,1065,400.67772835899996,2.246370802999081,0.969104783000148,9.815694679000444,b0998765ed93,2026-09-16T21:45:52
dim_b5,25.31242561340332,0.7634174823760986,0.22987598180770874,15988357,1000000,bicycle,dim,group,dim,5,65536,15,False,2,0,15984869,15988357,12620991,3362792,1086,400.67772835899996,2.3247539610001695,0.688119247000941,9.449354475000291,b0998765ed93,2026-09-16T21:46:05
band_b5,25.309003829956055,0.7632371187210083,0.22976289689540863,15939068,1000000,bicycle,band,group,band,5,65536,15,False,2,0,15935560,15939068,12620991,3313482,1087,400.67772835899996,2.4057682219990966,0.6898653129992454,9.486752881999564,b0998765ed93,2026-09-16T21:46:19
